Compound (+ Cl-),Most Abundant Mass,Mass + e-,% Abundance,,Compound,Average Molecular Weight,Cl Average Weight,Cl Content (mass %)
C1H3Cl2,84.961181,84.961731,0.567620538,,C1H3Cl1,50.48730019,35.45293492,0.702214909
C1H2Cl3,118.922209,118.922759,0.430078779,,C1H2Cl2,84.93227812,70.90586984,0.834851854
C1H1Cl4,154.880287,154.880837,0.417052345,,C1H1Cl3,119.377341,106.3588048,0.890946337
C1Cl5,188.8413,188.84185,0.394993995,,C1Cl4,153.8165329,141.8117397,0.921953818
C2H5Cl2,98.976831,98.977381,0.56141785,,C2H5Cl1,64.51201308,35.45293492,0.549555551
C2H4Cl3,132.937859,132.938409,0.425379082,,C2H4Cl2,98.95368792,70.90586984,0.716556112
C2H3Cl4,168.895937,168.896487,0.412494994,,C2H3Cl3,133.3876129,106.3588048,0.79736643
C2H2Cl5,202.856965,202.857515,0.390677688,,C2H2Cl4,167.8159159,141.8117397,0.845043445
C2H1Cl6,236.817993,236.818543,0.355213749,,C2H1Cl5,202.2664618,177.2646746,0.87639183
C2Cl7,270.779,270.77955,0.313997702,,C2Cl6,236.6421735,212.6726162,0.898709698
C3H7Cl2,112.992481,112.993031,0.555282942,,C3H7Cl1,78.53333277,35.45293492,0.451438054
C3H6Cl3,146.953509,146.954059,0.420730741,,C3H6Cl2,112.9830316,70.90586984,0.627579813
C3H5Cl4,182.911587,182.912137,0.407987445,,C3H5Cl3,147.42245,106.3588048,0.721455957
C3H4Cl5,216.872615,216.873165,0.386408547,,C3H4Cl4,181.8382587,141.8117397,0.779878452
C3H3Cl6,250.833643,250.834193,0.351332141,,C3H3Cl5,216.2684191,177.2646746,0.819651225
C3H2Cl7,284.794671,284.795221,0.310566484,,C3H2Cl6,250.6255732,212.6726162,0.848567101
C3H1Cl8,320.752749,320.753299,0.301159896,,C3H1Cl7,284.7196157,248.1578203,0.871586665
C3Cl9,354.71375,354.7143,0.293380687,,C3Cl8,319.4101354,283.5324144,0.88767507
C4H9Cl2,127.008131,127.008681,0.549215073,,C4H9Cl1,92.5667722,35.45293492,0.3829985
C4H8Cl3,160.969159,160.969709,0.416133195,,C4H8Cl2,127.0060801,70.90586984,0.558287208
C4H7Cl4,196.927237,196.927787,0.403529151,,C4H7Cl3,161.4390943,106.3588048,0.658816907
C4H6Cl5,230.888265,230.888815,0.382186058,,C4H6Cl4,195.8368345,141.8117397,0.724132107
C4H5Cl6,264.849293,264.849843,0.34749295,,C4H5Cl5,230.3219721,177.2646746,0.769638576
C4H4Cl7,298.810321,298.810871,0.307172761,,C4H4Cl6,264.6280453,212.6726162,0.803666202
C4H3Cl8,334.768399,334.768949,0.297868964,,C4H3Cl7,298.6834737,248.1578203,0.830838805
C4H2Cl9,368.729427,368.729977,0.290174762,,C4H2Cl8,333.4331838,283.5324144,0.850342522
C4H1Cl10,402.690455,402.691005,0.274827105,,C4H1Cl9,367.4193259,318.7146053,0.867441048
C4Cl11,436.65145,436.652,0.254506953,,C4Cl10,402.2624572,354.4084688,0.881037896
C5H11Cl2,141.023781,141.024331,0.543213511,,C5H11Cl1,106.5924123,35.45293492,0.332602801
C5H10Cl3,174.984809,174.985359,0.411585888,,C5H10Cl2,141.0269532,70.90586984,0.502782399
C5H9Cl4,210.942887,210.943437,0.399119576,,C5H9Cl3,175.4506221,106.3588048,0.606203634
C5H8Cl5,244.903915,244.904465,0.37800971,,C5H8Cl4,209.8754671,141.8117397,0.675694695
C5H7Cl6,278.864943,278.865493,0.343695712,,C5H7Cl5,244.3321867,177.2646746,0.725506848
C5H6Cl7,312.825971,312.826521,0.303816122,,C5H6Cl6,278.5890726,212.6726162,0.763391809
C5H5Cl8,348.784049,348.784599,0.294613993,,C5H5Cl7,312.5972462,248.1578203,0.793857986
C5H4Cl9,382.745077,382.745627,0.28700387,,C5H4Cl8,347.4496403,283.5324144,0.816038877
C5H3Cl10,416.706105,416.706655,0.271823924,,C5H3Cl9,381.4676216,318.7146053,0.835495825
C5H2Cl11,450.667133,450.667683,0.251725821,,C5H2Cl10,416.2695377,354.4084688,0.851391795
C5H1Cl12,486.625211,486.625761,0.244101428,,C5H1Cl11,450.2303999,389.6005103,0.86533586
C5Cl13,520.5862,520.58675,0.240438265,,C5Cl12,483.8518404,424.4552299,0.877242152
C6H13Cl2,155.039431,155.039981,0.537277531,,C6H13Cl1,120.6171974,35.45293492,0.293929354
C6H12Cl3,189.000459,189.001009,0.407088273,,C6H12Cl2,155.04507,70.90586984,0.457324247
C6H11Cl4,224.958537,224.959087,0.394758186,,C6H11Cl3,189.4560793,106.3588048,0.561390298
C6H10Cl5,258.919565,258.920115,0.373878999,,C6H10Cl4,223.8818996,141.8117397,0.633422085
C6H9Cl6,292.880593,292.881143,0.339939968,,C6H9Cl5,258.336834,177.2646746,0.686176539
C6H8Cl7,326.841621,326.842171,0.300496164,,C6H8Cl6,292.6263372,212.6726162,0.726771958
C6H7Cl8,362.799699,362.800249,0.291394591,,C6H7Cl7,326.4896664,248.1578203,0.760078636
C6H6Cl9,396.760727,396.761277,0.283867627,,C6H6Cl8,361.4068731,283.5324144,0.784524135
C6H5Cl10,430.721755,430.722305,0.268853561,,C6H5Cl9,395.3838033,318.7146053,0.806089179
C6H4Cl11,464.682783,464.683333,0.248975081,,C6H4Cl10,430.204379,354.4084688,0.823814182
C6H3Cl12,500.640861,500.641411,0.241434003,,C6H3Cl11,464.2066066,389.6005103,0.839282563
C6H2Cl13,534.601889,534.602439,0.237810869,,C6H2Cl12,497.7946982,424.4552299,0.852671255
