mz,ms1score,,,,,,,,,,,,,,,ms1score,ms1score,Bins,,Bin,Frequency,,,
398.017039,-4.500880232,-4.500880232,,,,,,,,,,,,,,-10.19993958,-10,-6,,? -5,292,,,
398.1158447,-0.015349541,,,,,,,,,,,,,,,-10.19992341,-10,-5,,-5,413,,,
398.1159566,-0.015349541,,,,,,,,,,,,,,,-10.15974735,-10,-4,,-4,723,,,
398.1462809,-0.474268732,-0.474268732,-4.713390901,-4.713390901,,,,,,,,,,,,-10.15029848,-10,-3,,-3,491,,,
398.1510213,0.435974304,,,,,,,,,,,,,,,-10.15029848,-10,-2,,-2,350,,,
398.1811422,0,,,,,,,,,,,,,,,-10.15029848,-10,-1,,-1,614,,,
398.2082825,-0.008545074,,,,,,,,,,,,,,,-10.15029848,-10,0,,0,3169,,,
398.2082825,-0.008545074,,,,,,,,,,,,,,,-10.14357537,-10,1,,1,809,,,
398.2295227,-1.075593521,,,,,,,,,,,,,,,-10.1358879,-10,,,> 1,0,,,
398.3185425,-4.448966099,-2.832252342,,,,,,,,,,,,,,-9.913548367,-9.9,,,,,,,
398.3182882,-1.350260645,-4.543213839,-4.072635997,-5.761225401,,,,,,,,,,,,-9.900066289,-9.9,,,,,,,
398.3185425,-4.903511554,-2.559525069,,,,,,,,,,,,,,-9.86795457,-9.9,,,,,,,
398.3182882,-1.350260645,-4.543213839,-4.197635997,-5.761225401,,,,,,,,,,,,-9.722574759,-9.7,,,,,,,
398.3182882,-1.350260645,-4.543213839,-4.197635997,-5.761225401,,,,,,,,,,,,-9.654210452,-9.7,,,,,,,
398.4088033,-1.020568062,,,,,,,,,,,,,,,-9.654210452,-9.7,,,,,,,
398.4088033,-0.020568062,,,,,,,,,,,,,,,-9.654210452,-9.7,,,,,,,
398.9778137,-0.982461463,-3.103149795,-5.926808913,,,,,,,,,,,,,-9.654210452,-9.7,,,,,,,
398.9863485,0,,,,,,,,,,,,,,,-9.654210452,-9.7,,,,,,,
398.9863485,0,,,,,,,,,,,,,,,-9.654210452,-9.7,,,,,,,
398.9863485,0,,,,,,,,,,,,,,,-9.562593251,-9.6,,,,,,,
398.0171204,-4.556758317,-4.556758317,,,,,,,,,,,,,,-9.562326616,-9.6,,,,,,,
398.0171204,-4.538616082,-4.538616082,,,,,,,,,,,,,,-9.504255052,-9.5,,,,,,,
399.0259399,0,,,,,,,,,,,,,,,-9.498931163,-9.5,,,,,,,
399.0714925,0,,,,,,,,,,,,,,,-9.464179387,-9.5,,,,,,,
399.0978902,-6.066607742,,,,,,,,,,,,,,,-9.464179387,-9.5,,,,,,,
399.10849,0,,,,,,,,,,,,,,,-9.35589164,-9.4,,,,,,,
399.10849,0,,,,,,,,,,,,,,,-9.345918584,-9.3,,,,,,,
399.1197611,-7.91469779,-8.655822473,,,,,,,,,,,,,,-9.320515035,-9.3,,,,,,,
399.1337992,-4.087144091,-0.275029191,,,,,,,,,,,,,,-9.320072842,-9.3,,,,,,,
399.1337992,-4.087144091,-0.275029191,,,,,,,,,,,,,,-9.249692081,-9.2,,,,,,,
399.142629,0.952634351,,,,,,,,,,,,,,,-9.249692081,-9.2,,,,,,,
399.142629,-0.047365649,,,,,,,,,,,,,,,-9.212902344,-9.2,,,,,,,
399.1813965,-0.011238179,-0.011238179,,,,,,,,,,,,,,-9.212902344,-9.2,,,,,,,
399.1934713,-2.452545442,,,,,,,,,,,,,,,-9.210293728,-9.2,,,,,,,
399.193929,-0.231198458,,,,,,,,,,,,,,,-9.210293728,-9.2,,,,,,,
399.1941528,-0.392597687,,,,,,,,,,,,,,,-9.166932836,-9.2,,,,,,,
399.1941732,-0.356415035,,,,,,,,,,,,,,,-9.115242123,-9.1,,,,,,,
399.1940511,-0.481623777,,,,,,,,,,,,,,,-9.115242123,-9.1,,,,,,,
399.202474,0.996360748,,,,,,,,,,,,,,,-9.097806968,-9.1,,,,,,,
399.202535,0.485533154,,,,,,,,,,,,,,,-9.082099243,-9.1,,,,,,,
399.2177734,0.573671106,0.573671106,-0.315217782,-0.315217782,-0.315217782,-0.315217782,,,,,,,,,,-9.07652297,-9.1,,,,,,,
399.2177734,0.418115551,0.418115551,-0.381884449,-0.381884449,-0.381884449,-0.381884449,,,,,,,,,,-9.07652297,-9.1,,,,,,,
399.2177734,0.574602466,0.574602466,-0.425397534,-0.425397534,-0.425397534,-0.425397534,,,,,,,,,,-9.059345429,-9.1,,,,,,,
399.2539876,0,,,,,,,,,,,,,,,-9.043637705,-9,,,,,,,
399.2743327,0,,,,,,,,,,,,,,,-8.936527167,-8.9,,,,,,,
399.2906596,-0.064946629,-0.064946629,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,,,,-8.936527167,-8.9,,,,,,,
399.2906596,-0.064946629,-0.064946629,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,-0.01995459,,,,-8.907527082,-8.9,,,,,,,
399.3272603,-1.980177348,-3.553377117,,,,,,,,,,,,,,-8.883727369,-8.9,,,,,,,
399.3272196,0.108752184,-3.099641781,,,,,,,,,,,,,,-8.85921504,-8.9,,,,,,,
397.901886,0,,,,,,,,,,,,,,,-8.840091471,-8.8,,,,,,,
397.901886,0,,,,,,,,,,,,,,,-8.787497329,-8.8,,,,,,,
397.9745789,-4.595219855,,,,,,,,,,,,,,,-8.787497329,-8.8,,,,,,,
399.9778646,0,,,,,,,,,,,,,,,-8.777776657,-8.8,,,,,,,
399.9778646,0,,,,,,,,,,,,,,,-8.777776657,-8.8,,,,,,,
399.9855754,-5.14448972,-9.07652297,,,,,,,,,,,,,,-8.767271424,-8.8,,,,,,,
399.9855754,-5.14448972,-9.07652297,,,,,,,,,,,,,,-8.765693891,-8.8,,,,,,,
397.9965515,0,,,,,,,,,,,,,,,-8.756001659,-8.8,,,,,,,
397.9965515,0,,,,,,,,,,,,,,,-8.722407491,-8.7,,,,,,,
400.0228577,-7.748367578,,,,,,,,,,,,,,,-8.722407491,-8.7,,,,,,,
400.0300903,-0.721381466,,,,,,,,,,,,,,,-8.660563807,-8.7,,,,,,,
400.0300903,-0.721381466,,,,,,,,,,,,,,,-8.660563807,-8.7,,,,,,,
400.033254,0,,,,,,,,,,,,,,,-8.655822473,-8.7,,,,,,,
399.0436401,-1.643607602,-6.243020884,,,,,,,,,,,,,,-8.651562681,-8.7,,,,,,,
399.0436401,-1.643607602,-6.243020884,,,,,,,,,,,,,,-8.651562681,-8.7,,,,,,,
400.0859375,-1.46035647,-1.46035647,-2.85342703,,,,,,,,,,,,,-8.645114613,-8.6,,,,,,,
400.1057129,-5.773215428,,,,,,,,,,,,,,,-8.602032769,-8.6,,,,,,,
400.1117249,-5.052996306,,,,,,,,,,,,,,,-8.602032769,-8.6,,,,,,,
400.1302999,-0.475894626,,,,,,,,,,,,,,,-8.595698189,-8.6,,,,,,,
400.1302999,-0.475894626,,,,,,,,,,,,,,,-8.592598488,-8.6,,,,,,,
400.1408386,-5.276332731,-4.305952435,,,,,,,,,,,,,,-8.53032813,-8.5,,,,,,,
400.1409709,0,,,,,,,,,,,,,,,-8.53032813,-8.5,,,,,,,
400.1408386,-5.276332731,-4.305952435,,,,,,,,,,,,,,-8.51918529,-8.5,,,,,,,
400.1499736,-0.331341619,-0.331341619,-0.219087077,,,,,,,,,,,,,-8.490829598,-8.5,,,,,,,
400.1655273,-5.191770863,,,,,,,,,,,,,,,-8.478746014,-8.5,,,,,,,
400.1655273,-4.85843753,,,,,,,,,,,,,,,-8.473413615,-8.5,,,,,,,
400.1966756,-3.807494418,-5.118128228,,,,,,,,,,,,,,-8.458556049,-8.5,,,,,,,
399.1940918,-0.42585948,,,,,,,,,,,,,,,-8.409699642,-8.4,,,,,,,
400.2062683,-2.132201853,,,,,,,,,,,,,,,-8.379034119,-8.4,,,,,,,
399.2024536,0.485533154,,,,,,,,,,,,,,,-8.370486056,-8.4,,,,,,,
400.2164103,-8.592598488,,,,,,,,,,,,,,,-8.370486056,-8.4,,,,,,,
400.2203064,-4.007577189,-4.007577189,,,,,,,,,,,,,,-8.365795909,-8.4,,,,,,,
399.2178345,0.619046911,0.619046911,-0.380953089,-0.380953089,-0.380953089,-0.380953089,,,,,,,,,,-8.335490576,-8.3,,,,,,,
400.2578634,-4.83335792,-3.135129833,,,,,,,,,,,,,,-8.334049878,-8.3,,,,,,,
399.2539368,0,,,,,,,,,,,,,,,-8.329884248,-8.3,,,,,,,
400.2943929,-0.527575786,-0.527575786,-3.835424935,-3.835424935,-3.835424935,-3.835424935,-3.835424935,-3.835424935,-3.835424935,-3.835424935,-3.835424935,-3.835424935,,,,-8.326995545,-8.3,,,,,,,
400.2963359,0,,,,,,,,,,,,,,,-8.320670992,-8.3,,,,,,,
399.3272095,-0.231431949,-2.989549552,,,,,,,,,,,,,,-8.314392159,-8.3,,,,,,,
400.3305461,-0.985970241,-0.235970241,-4.113596643,,,,,,,,,,,,,-8.304655484,-8.3,,,,,,,
398.9778748,-1.007632886,-3.725647632,-6.40226757,,,,,,,,,,,,,-8.271236638,-8.3,,,,,,,
400.9823303,-2.407784742,-2.407784742,-5.509715695,,,,,,,,,,,,,-8.271236638,-8.3,,,,,,,
400.9847209,0,,,,,,,,,,,,,,,-8.227941982,-8.2,,,,,,,
400.9847209,0,,,,,,,,,,,,,,,-8.224744993,-8.2,,,,,,,
400.9935404,-6.000095777,-1.373771504,,,,,,,,,,,,,,-8.224744993,-8.2,,,,,,,
400.9935404,-6.000095777,-1.373771504,,,,,,,,,,,,,,-8.224744993,-8.2,,,,,,,
401.019694,-5.020731954,-5.645590332,,,,,,,,,,,,,,-8.173114862,-8.2,,,,,,,
399.0438232,0,,,,,,,,,,,,,,,-8.164849337,-8.2,,,,,,,
399.0438232,0,,,,,,,,,,,,,,,-8.112313994,-8.1,,,,,,,
401.0511576,0,,,,,,,,,,,,,,,-8.073617791,-8.1,,,,,,,
401.0506083,-5.639908379,,,,,,,,,,,,,,,-8.073617791,-8.1,,,,,,,
401.0506083,-5.639908379,,,,,,,,,,,,,,,-8.073617791,-8.1,,,,,,,
401.0873922,-4.578073224,,,,,,,,,,,,,,,-8.055311629,-8.1,,,,,,,
401.0873922,-4.578073224,,,,,,,,,,,,,,,-8.034742589,-8,,,,,,,
401.0868632,0,,,,,,,,,,,,,,,-8.034742589,-8,,,,,,,
401.0873922,-4.578073224,,,,,,,,,,,,,,,-8.034742589,-8,,,,,,,
401.1133423,-0.623433917,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1133423,-0.75676725,-1.690100584,,,,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1246541,-3.595219855,-5.903524977,-5.903524977,-6.756842882,-6.756842882,,,,,,,,,,,-8.018985424,-8,,,,,,,
401.1243083,-4.738076998,-4.738076998,-4.738076998,-4.738076998,-8.326995545,,,,,,,,,,,-7.994397021,-8,,,,,,,
401.1334229,0,,,,,,,,,,,,,,,-7.988054763,-8,,,,,,,
401.1334229,0,,,,,,,,,,,,,,,-7.988054763,-8,,,,,,,
401.1334229,0,,,,,,,,,,,,,,,-7.971242711,-8,,,,,,,
401.1538493,-3.8296437,,,,,,,,,,,,,,,-7.962246337,-8,,,,,,,
400.1499023,-0.533022291,-0.533022291,-0.328330775,,,,,,,,,,,,,-7.948661028,-7.9,,,,,,,
401.1607768,0.018574993,0.018574993,0.018574993,0.018574993,,,,,,,,,,,,-7.947272174,-7.9,,,,,,,
401.1605937,0.01898586,0.01898586,0.01898586,0.01898586,,,,,,,,,,,,-7.934472985,-7.9,,,,,,,
401.1731873,-2.292265799,-2.292265799,-2.292265799,,,,,,,,,,,,,-7.91469779,-7.9,,,,,,,
401.1733704,-1.034042358,-1.034042358,-1.034042358,-5.770900753,,,,,,,,,,,,-7.873049428,-7.9,,,,,,,
401.1732686,-3.010370761,-3.010370761,-3.010370761,-6.030377141,,,,,,,,,,,,-7.840091471,-7.8,,,,,,,
401.1731262,-3.555508552,-3.555508552,-3.555508552,,,,,,,,,,,,,-7.835436448,-7.8,,,,,,,
401.190684,-2.037972704,-2.589929683,,,,,,,,,,,,,,-7.820275178,-7.8,,,,,,,
401.190684,-4.037972704,-4.589929683,,,,,,,,,,,,,,-7.790429343,-7.8,,,,,,,
401.1997375,-0.940694887,-2.973781972,,,,,,,,,,,,,,-7.790429343,-7.8,,,,,,,
401.1998088,-0.650498808,-0.712005453,,,,,,,,,,,,,,-7.753899665,-7.8,,,,,,,
401.2123413,0,,,,,,,,,,,,,,,-7.748367578,-7.7,,,,,,,
401.2123413,0,,,,,,,,,,,,,,,-7.73138602,-7.7,,,,,,,
401.2158407,0,,,,,,,,,,,,,,,-7.668310933,-7.7,,,,,,,
401.2179871,-0.003639252,-0.003639252,-0.003639252,-0.003639252,,,,,,,,,,,,-7.656344105,-7.7,,,,,,,
401.223053,-4.166648427,-5.595219855,,,,,,,,,,,,,,-7.639032536,-7.6,,,,,,,
401.223053,-4.166648427,-5.595219855,,,,,,,,,,,,,,-7.639032536,-7.6,,,,,,,
401.2336426,-0.014018499,,,,,,,,,,,,,,,-7.639032536,-7.6,,,,,,,
401.2336426,-1.014018499,,,,,,,,,,,,,,,-7.6379533,-7.6,,,,,,,
401.2486471,-0.474027587,,,,,,,,,,,,,,,-7.6379533,-7.6,,,,,,,
