m/z,Retention Time (min.),Peak Intensity - Dust 11,Peak Intensity - Dust 12,Peak Intensity - Dust 13,Peak Intensity - Dust 16,Peak Intensity - Dust 19,Peak Intensity - Dust 2,Peak Intensity - Dust 20,Peak Intensity - Dust 21,Peak Intensity - Dust 22,Peak Intensity - Dust 23,Peak Intensity - Dust 24,Peak Intensity - Dust 25,Peak Intensity - Dust 26,Peak Intensity - Dust 29,Peak Intensity - Dust 3,Peak Intensity - Dust 30,Peak Intensity - Dust 33,Peak Intensity - Dust 34,Peak Intensity - Dust 4,Peak Intensity - Dust 5,Peak Intensity - Dust 6,Peak Intensity - Dust 7,Peak Intensity - Dust 8,Peak Intensity - Dust 9,MedInt,All Formula Matches,Isotope Signal Score,Mass Error Score,MS1 Score,Neutral Loss Score,Characteristic Ion Score,Ion Mode Score,Adducts,Adduct Score,MS2 Score,RT Score,Weighted Scores,Final (Highest) Score,Formula,IUPAC,CAS Number,Primary Reported Use,SMILES,Orig Cmpd ID,Final Cmpd ID (by m/z),ClID
395.0320231,9.534716667,6.805938636,6.299867599,5.569173324,6.823766367,6.031906809,6.103684274,5.522915075,5.504702688,4.580740997,6.455192918,6.520937438,3.58610719,6.260928542,6.293474843,5.557207393,6.362168469,5.997369071,5.76172788,3.75525867,5.631334389,6.24802387,6.347331967,6.51695948,5.815090596,6.067795541,C16H13ClN4O4;C16H12ClN5O3,-0.0148447705803278;-0.707468911291004,0.00995033085316809;-4.46341439605411,0.64510556027284;-4.67088330734511,;0;0,0,0;0,[M+Cl]-;[M+Cl]-,0;0,0;0,-0.110151229040228;-0.0575460556706896,0.534954331232612;-0.0575460556706896,0.534954331,C16H13ClN4O4,C.I. Pigment Yellow 6,4106-76-7,Azo Dye,CC(=O)C(N=Nc1ccc(Cl)cc1[N+]([O-])=O)C(=O)Nc2ccccc2,428,318,1
252.9830119,9.771116667,6.574257274,5.356889521,5.712411132,6.529361528,5.677683985,6.757477224,5.044431712,5.198769812,5.41909115,5.737194979,5.984392279,4.757957604,5.953572304,6.146043767,5.726071555,5.829631742,5.583531844,5.381177969,3.79570691,5.946900575,5.406920687,6.640999796,5.743185442,5.3001501,5.719241343,C12H8Cl2O2;C8H14O4S3,0.00924839793657563;-0.491444227400101,0.00995033085316809;-3.29925057950422,0.162055871646887;-4.79069480690432,;0;0.5,0,0;0,[M-H]-;[M-H-H2O]-,0;0,1;0,-0.000492111760982067;-0.105200607544107,1.16156375988591;-4.39589541444843,1.16156376,C12H8Cl2O2,Diclosan,3380-30-1,Pesticide,C1=CC(=CC=C1OC2=C(C=C(C=C2)Cl)O)Cl,120,99,2
431.1397603,11.05828333,5.285138987,5.880652523,5.905302096,5.602828419,5.891992699,5.923638585,5.987412853,5.48546899,5.623774456,5.736760271,5.569534655,5.600400364,5.935337917,6.028577708,6.393381438,5.880629764,5.601016126,5.683473858,5.808501854,5.687712405,5.671642476,5.57104524,5.507215507,6.049325468,5.712236338,C22H28ClN3O3S;C22H28ClN3O3S;C28H22N2O4;C28H22N2O4;C28H22N2O4;C25H22ClN3O2,-0.553419987785115;-0.553419987785115;0.000578899624615673;0.000578899624615673;0.000578899624615673;-0.0486755034400295,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-4.55869668025885,-0.143469656931947;-0.143469656931947;-0.789470769522216;-0.789470769522216;-0.789470769522216;-5.20737218369888,;0;0;0;0;0;0,0,0;0;0;0;0;-0.5,[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M]-,0;0;0;0;0;0.5,1;1;0.280135005553853;0.428926392372336;0.38086252944818;0,-0.628773473987641;-0.141503246113851;-0.0802016484732252;-0.0885528138293588;-0.0885528138293588;-0.288834889651926,1.22775686908041;1.7150270969542;-0.309402406887735;-0.0201707986069028;-0.116298524455215;-0.288834889651926,1.715027097,C22H28ClN3O3S,"2-[6-[(2-chloro-4-methylsulfonylphenyl)diazenyl]-2,2,4,7-tetramethyl-3,4-dihydroquinolin-1-yl]ethanol",63134-03-2,Azo Dye,CC1CC(C)(C)N(CCO)c2cc(C)c(cc12)N=Nc3ccc(cc3Cl)[S](C)(=O)=O,482,353,3
383.0778503,9.9616,5.72657848,5.84945554,4.952135754,6.492023558,5.493948925,5.95580806,5.174038082,4.045630564,0,5.959821348,5.452790826,0,5.850513944,5.710827856,5.637424993,5.677668905,5.794194424,5.505055433,0,4.128678578,3.881365847,5.901016071,6.150504921,5.705734388,5.705734388,C15H18ClN5O3S;C20H16O8;C23H16ClN3O2;C23H16ClN3O2,-0.551240958652405;0.00938169912563201;-0.53790685042805;-0.53790685042805,0.00995033085316809;-4.08655595765311;-4.53984276674139;-4.53984276674139,0.151017064508455;-4.46178964314287;-5.2315957710156;-5.2315957710156,;0;0;0;0,0,0;0;0;0,[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-,1;1;0;0,0;0;0;0,-0.121126183062566;-0.528348592614474;-0.636109835839793;-0.251125857166298,1.02989088144588;-3.99013823575734;-5.86770560685539;-5.4827216281819,1.029890881,C15H18ClN5O3S,"1-chloro-3-[N-ethyl-3-methyl-4-[(5-nitro-1,3-thiazol-2-yl)diazenyl]anilino]propan-2-ol",70865-21-3,Azo Dye,CCN(CC(O)CCl)c1ccc(N=Nc2sc(cn2)[N+]([O-])=O)c(C)c1,414,310,4
417.2200419,13.23313333,5.487241411,5.610684844,5.483281258,5.482375744,5.642994884,5.697104727,5.61685506,5.5329299,5.656572802,5.888280787,5.679640023,5.70221355,5.708190279,5.703671059,5.55009185,5.717509199,5.607986775,5.898788649,5.613510559,5.692220132,5.47243175,5.748957152,5.460732697,5.871249466,5.649783843,C24H35O4P;C25H34O3;C25H34O3;C24H33ClO;C24H33ClO,0.00937888699316801;-0.0454225876103292;-0.0454225876103292;-0.0454225876103292;-0.0454225876103292,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.352662551179669;0.297861076576172;0.297861076576172;0.297861076576172;0.297861076576172,0,0,-0.5;-0.5;-0.5;0;0,[M-H]-;[M+Cl]-;[M+Cl]-;[M+CH2O2-H]-;[M+CH2O2-H]-,1;0;0;0;0,0.765968886221025;0;0;0.302106746648647;0,-0.921784938587709;-0.683287135543149;-0.765074855703045;-0.147668177269261;-0.395658614842891,-0.921784938587709;-0.683287135543149;-0.765074855703045;0.754406392604205;-0.0977975382667193,0.754406393,C24H33ClO,2-chloro-1-dodecyl-3-phenoxybenzene,55398-87-3,Unknown,CCCCCCCCCCCCc1cccc(Oc2ccccc2)c1Cl,465,343,5
624.9060465,8.650883333,0,0,0,0,0,5.647607762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.647607762,C13H24Cl6O8P2,-0.005290755,0.009950331,1.004659576,;0,0,0,[M+CH2O2-H]-,1,1,-0.007333694,2.997325882,2.997325882,C13H24Cl6O8P2,[2-[bis(2-chloroethoxy)phosphoryloxymethyl]-3-chloro-2-(chloromethyl)propyl] bis(2-chloroethyl) phosphate,38051-10-4,OPFR,ClCCO[P](=O)(OCCCl)OCC(CCl)(CCl)CO[P](=O)(OCCCl)OCCCl,581,416,6
477.1085917,10.42015,5.558650756,5.616035483,5.507056302,5.581541783,5.7526462,5.745242746,5.557746915,5.640035858,5.635499989,5.645999696,5.725043656,5.638201379,5.5402913,5.607049492,5.25664665,5.670428482,5.733197968,5.816529753,5.572398839,5.647486702,5.57818043,5.574575496,5.635246931,5.599304355,5.625641207,C23H21ClN6O5;C28H18N2O6;C28H18N2O6;C28H18N2O6;C26H32Cl3OP,-0.0751346091091415;-0.0364840630447364;-0.0364840630447364;-0.0364840630447364;-0.571660159560234,0.00995033085316809;-3.108301754961;-3.108301754961;-3.108301754961;-4.15726709155922,0.934815721744027;-3.14478581800574;-3.14478581800574;-3.14478581800574;-5.72892725111945,0,0,0;0;0;-0.5;0,[M-H-H2O]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-,0;1;1;1;0,0;0;0;0;0.441459908092112,-0.117662648256023;-0.0127296846156367;-0.0766389024724122;-0.0265718075412293;-3.89700750968068,0.817153073488004;-2.15751550262138;-2.22142472047815;-0.0265718075412293;-8.74301494461591,0.817153073,C23H21ClN6O5,"N-[2-[(2-chloro-4,6-dinitrophenyl)diazenyl]-5-(diethylamino)phenyl]benzamide",72906-16-2,Azo Dye,CCN(CC)c1ccc(N=Nc2c(Cl)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(=O)c3ccccc3)c1,530,387,7
526.0263468,10.21426667,5.471636094,5.523158015,4.997137954,6.077227009,5.309793097,5.868610682,5.079871215,5.064646548,4.690209686,5.677563869,5.913328343,3.912474298,5.59015149,5.658364803,4.830072256,5.721368628,5.814850202,4.823998899,0,4.998913279,5.550449229,5.766911739,5.690711886,5.170718282,5.523158015,C20H20BrClN4O6;C24H17Cl3N6O3,-0.056341627312664;-1.07204965969486,0.00995033085316809;-4.5064847231072,0.453608703540504;-5.57853438280206,0,0.5;0,0;0,[M]-;[M-H-H2O]-,0.5;0,0;0,-0.000874897521777716;-0.0190000483060079,1.45273380601872;-0.0190000483060079,1.452733806,C20H20BrClN4O6,methyl 3-[4-[(2-bromo-6-chloro-4-nitrophenyl)diazenyl]-N-(3-methoxy-3-oxopropyl)anilino]propanoate,59709-38-5,Azo Dye,COC(=O)CCN(CCC(=O)OC)c1ccc(cc1)N=Nc2c(Cl)cc(cc2Br)[N+]([O-])=O,560,404,8
239.1208191,10.67148333,5.424591125,5.425477006,5.423893043,5.49987975,5.554944189,5.60384669,5.45720728,5.489185831,5.624334768,5.44633704,5.611761234,5.640525038,5.465923199,5.510423602,5.317947503,5.672395583,5.57677737,5.598469453,5.520946771,5.688133192,5.415712507,4.007830677,5.42333339,5.597855549,5.505151676,C14H21ClO;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O,-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.00302066789011628;-0.,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181;0.00692966296305181,0,0,0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5,[M-H]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0,-0.000129624297071066;-0.372110989649768;-0.236495764555981;-0.481563951886784;-0.236495764555981;-0.319851402323204;-0.591017545122248;-0.133292148419734;-1.10453560815998;-0.275588012417443;-0.123985061598976;-0.689626444662867;-0.689626444662867;-0.650,1.00680003866598;-0.372110989649768;-0.236495764555981;-0.481563951886784;-0.236495764555981;-0.319851402323204;-0.591017545122248;-0.133292148419734;-1.10453560815998;-0.275588012417443;-0.123985061598976;-0.689626444662867;-0.689626444662867;-0.650610158321042;-0.532450374802479;-0.611570325943988;-0.234084930599852;-0.372110989649768;-0.319851402323204;-0.591017545122248;-0.13982246299042,1.006800039,C14H21ClO,"2-chloro-4-(2,4,4-trimethylpentan-2-yl)phenol",17199-24-5,Other,CC(C)(C)CC(C)(C)c1ccc(O)c(Cl)c1,85,72,9
395.0134583,10.96193333,5.283694842,5.250407993,5.280516589,5.237215592,5.196844321,5.441098111,5.26518661,5.433035742,5.364515848,5.455454587,5.341409514,5.671570118,5.293442976,5.290144215,5.00854525,5.316001684,5.307840676,5.4941589,5.231546641,5.456446554,5.143806997,5.173649736,5.453200145,5.294269668,5.293856322,C16H12Cl2N4O4,-0.011865701,0.009950331,0.902846535,;0,0,0,[M-H]-,1,0,-0.359956642,1.542889893,1.542889893,C16H12Cl2N4O4,C.I. Pigment Yellow 3,6486-23-3,Azo Dye,CC(=O)C(N=Nc1ccc(Cl)cc1[N+]([O-])=O)C(=O)Nc2ccccc2Cl,432,317,10
