Formula,C20H20BrClN4O6,C13H24Cl6O8P2,C9H15Cl6O4P,C12H7Cl3O2,C16H15Cl3N4O4,C20H20Cl2N4O6,C16H12Cl2N4O4,C16H16Cl2N4O3,C16H16Cl2N4O2,C14H8Cl2N2O2,C6H4Cl2N2O2,C9H9Cl2NO3,C9H9Cl2NO,C12H8Cl2O2,C23H25ClN6O10,C23H21ClN6O5,C22H24ClN5O7,C15H18ClN5O3S,C17H15ClN4O5,C24H17ClN4O4,C17H15ClN4O4,C16H13ClN4O4,C16H17ClN4O3,C14H13ClN4O3,C13H10ClN3O6S,C6H4ClN3O4,C22H28ClN3O3S,C16H10ClN3O3,C12H10ClN3,C6H3ClN2O5,C26H35ClN2O4,C13H15ClN2O4,C14H13ClN2O2,C13H11ClN2O2,C13H9ClN2O,C13H10ClNO,C15H23ClO2,C24H33ClO,C16H17ClO,C14H21ClO,C13H11ClO,C22H45Cl
dust11,296234.8125,0,311729.8125,901629.875,0,515766.0938,5.56E+06,15671.69922,495662.5313,110133.3906,129353.25,214754.7969,1712035.125,3751952,163177.6406,361951.8125,0,532817.5,58081.80859,32769.47656,103575.8359,6396444.5,46823.59766,360721.5625,0,253351.6406,192814.1875,118954.4844,0,142586.125,93123.35938,255154.3281,75653.10938,0,12283.06348,103524.3438,41189.52344,307072.8438,112259.2813,265822.125,25084.01172,0
dust12,333547.75,0,0,71187.5,76279.90625,315995.6875,2.70E+05,0,202606.4063,49871.35156,80440.32031,5691.745605,113238.0391,227451.875,235124.0938,413081.25,2160139.75,707058.8125,0,20729.25391,7855.817383,1994654.125,53447.22656,150488.0781,0,210971.4375,759718.1875,57631.45703,0,70000.49219,47000.56641,16667.28125,45357.94922,0,35661.96875,0,35042.64844,408023.1875,20094.13477,266364.9063,39629.62891,0
dust13,99343.15625,0,4200.54834,105597.0859,0,72355.85938,3.97E+05,0,36847.65625,105229.9375,9719.813477,27417.03711,161840.1094,515716.625,35172.5,321407.7188,0,89564.46875,0,0,0,370828.6875,9981.008789,16668.49023,0,96677.375,804085.25,22067.82617,0,27026.97461,34242.96094,59769.85547,11615.47559,0,49540.39063,9155.911133,20641.35547,304285.5,188593.3594,265395.1875,7108.632324,0
dust16,1194612.375,0,32039708,951275.6875,56264.61328,882799.5,1.53E+06,0,750663,156653.5156,251799.5156,176800.9844,1752605.875,3383463.75,1008956.063,381541.5,0,3104728,26177.75,56636.57813,12478.69043,6664481.5,631067.0625,45017.43359,0,642305.6875,400708.375,141500.9844,0,544181.125,194371.125,256159.4844,151419.3125,0,33351.26953,26685.85938,103457.5,303651.7188,135734.1719,316140.2188,20075.98633,11160.01953
dust19,204076.5469,0,25338.00586,108169.9688,4566.856934,113117.7734,8.44E+04,0,61138.99609,4502.449707,48676.47656,48435.9375,165514.4688,476084.4375,95105.11719,565778.1875,0,311852.2813,0,0,9224.385742,1076234.25,20547.43359,20883.62695,0,104039.4453,779817,34361.88281,0,73048.92969,75277.42188,158455.5,21614.01367,0,93782.54688,0,18095.12109,439536.4375,74381.01563,358875.8125,29464.61133,13496.95898
dust2,738942.5625,444229.875,0,1516467.25,51692.41797,261086.1719,1.75E+07,268926.8125,161835.2188,56439.84375,21345.28125,364623.6875,3199831.25,5721069.5,420496.125,556215.0625,0,903250.1875,157255.2344,113475.0859,0,1269650.75,79521.4375,58130.12891,0,234073.125,838761.6875,47391.59766,0,133174.1406,124627.2813,672922.625,57900.51563,13728.6123,28712.97656,23844.70117,192782.4375,497857.125,152975.4219,401649,10893.33691,21034.24609
dust20,120190.7969,0,0,24816.37891,4214.894043,49257.11328,1.08E+05,0,18676.93164,7754.175293,14834.43945,3247.2771,37259.72266,110772.4375,36050.83984,361199.3125,0,149292.5313,0,0,0,333361.2188,19520.2207,5041.117676,0,46395.89063,971433,24156.89063,0,23503.43359,15670.02734,77739.07813,18924.89258,0,20034,0,13944.58594,413861.5313,9004.572266,286554.5313,0,128189.6172
dust21,116050.375,0,3484510.5,39037.42969,0,58958.28125,8.63E+05,0,12366.89355,22072.05469,10666.61914,7589.84668,50392.44531,158041.0156,0,436551.875,0,11107.86426,0,0,0,319670.5938,55913.92188,6452.925293,0,94306.70313,305822.1875,15569.5791,0,126671.3438,44378.94141,57326.02734,13016.53516,0,0,0,10032.21289,341137.8438,27465.14453,308450.75,5102.68457,0
dust22,49001.53516,0,0,61521.19531,0,25477.94922,2.07E+07,174320.2188,0,6666.901367,16150.98926,20759.07617,74180.1875,262476.9375,2582.105713,432016.1563,0,0,218483.6094,0,4253.858398,38083.86328,9396.150391,0,0,112721.8594,420508.1875,24606.68164,0,13397.35156,45007.50781,24568.27539,14156.32617,0,0,2244.25293,13398.91211,453495.3125,13443.53906,421051.0625,0,0
dust23,475952.7813,0,0,143187.0938,18091.95117,274634.625,2.30E+06,0,702751.9375,82049.13281,98424.45313,24998.9668,170962.4688,546002.9375,208225.0313,442588.0625,16484.43945,911635.75,0,0,18631.46289,2852285,59084.63672,120198.1563,0,274039.125,545456.6875,84600.67969,0,174967.4688,80680.07813,91414.3125,79098.26563,0,16676.375,15313.85938,46360.25,773180.3125,221821.1406,279471.1875,1240668.25,30239.18164
