ï..mz,rt,dust11,dust12,dust13,dust16,dust19,dust2,dust20,dust21,dust22,dust23,dust24,dust25,dust26,dust29,dust3,dust30,dust33,dust34,dust4,dust5,dust6,dust7,dust8,dust9,SampleID,Final,CpdID,avg,Common Name,Class,IUPAC Name (if no other info available)
230.0490621,9.531166667,100,100,100,100,100,100,100,100,100,100,100,448170.8125,100,100,100,100,100,100,100,100,2624.803711,100,100,100,12,C12H10ClN3,1,18874.81734,,Chlorinated Azo Dye,
243.0329742,10.91928333,100,100,100,100,100,13728.6123,100,100,100,100,100,242328.4375,100,100,100,100,33933.51953,100,100,9440.490234,100,100,100,100,12,C13H11ClN2O2,2,12559.62748,,Color Photographic Material,N-(4-amino-5-chloro-2-hydroxyphenyl)benzamide
298.0723674,10.69753333,255154.3281,16667.28125,59769.85547,256159.4844,158455.5,672922.625,77739.07813,57326.02734,24568.27539,91414.3125,55986.42578,29819.11914,86285.94531,48791.30078,43559.05859,28687.50391,482791.0625,148233.6875,337853.2188,331088.6875,14526.44043,231925.7969,127417.5469,60008.16016,6,C13H15ClN2O4,3,154047.9467,,Color Photographic Material,
279.0095825,9.668716667,12283.06348,35661.96875,49540.39063,33351.26953,93782.54688,28712.97656,20034,100,100,16676.375,27661.11133,86031.32813,9135.411133,19829.85547,12638.17969,7135.848145,100,100,100,6203.575684,161940,20165.59961,58115.05469,238254.4063,24,C13H9ClN2O,4,39068.87338,,Chlorinated Azo Dye,
258.0520528,8.416416667,75653.10938,45357.94922,11615.47559,151419.3125,21614.01367,57900.51563,18924.89258,13016.53516,14156.32617,79098.26563,101835.3672,3988.266113,265316.9063,34276.24609,9729.337891,97684.48438,38686.98828,30440.79492,2601.525879,32838.62109,49415.29688,69756.32031,99482.26563,30917.2793,13,C14H13ClN2O2,5,56488.58732,,Disperse Dye Intermediate,
355.0370483,9.534766667,360721.5625,150488.0781,16668.49023,45017.43359,20883.62695,58130.12891,5041.117676,6452.925293,100,120198.1563,123223.0078,100,84123.64844,59920.30859,13613.67773,52271.39453,57105.27344,29226.05078,100,21747.69531,114723.0547,129708.6563,197005.3438,33838.50391,1,C14H13ClN4O3,6,70850.33895,,Chlorinated Azo Dye,
239.1208191,10.67148333,265822.125,266364.9063,265395.1875,316140.2188,358875.8125,401649,286554.5313,308450.75,421051.0625,279471.1875,409035.7188,437043.875,292363.5313,323909.4375,207944.5313,470322.3125,377378.6875,396706.625,331853.7813,487678.0313,260442.8906,10181.94336,265053.4063,396146.25,20,C14H21ClO,7,326493.1585,,Color Photographic Material,
306.9860331,10.85663333,110133.3906,49871.35156,105229.9375,156653.5156,4502.449707,56439.84375,7754.175293,22072.05469,6666.901367,82049.13281,21760.47852,832086.6875,32194.8457,9139.228516,47040.30469,26485.48047,57759.94922,100,9954.87793,49488.99609,420261.4688,58063.26953,88650.16406,65879.84375,12,C14H8Cl2N2O2,8,96676.59782,Disperse Violet 28,Chloroanthraquinone Dye,
383.0778503,9.9616,532817.5,707058.8125,89564.46875,3104728,311852.2813,903250.1875,149292.5313,11107.86426,100,911635.75,283655.25,100,708784.0625,513839.9375,433935.3125,476067.9063,622578.9375,319930.3438,100,13448.64648,7609.67041,796188.8125,1414180.75,507848.75,4,C15H18ClN5O3S,9,534153.1573,,Chlorinated Azo Dye,
327.0417684,10.93128333,118954.4844,57631.45703,22067.82617,141500.9844,34361.88281,47391.59766,24156.89063,15569.5791,24606.68164,84600.67969,53507.35156,109317.5,45784.75391,56007.32422,23095.13867,37588.37891,34984.44922,37484.12891,25962.55664,28997.45703,39032.24609,51139.71484,62682.10547,60220.39063,4,C16H10ClN3O3,10,51526.89832,Pigment Red 6,Chlorinated Azo Dye,
