ï..mz,rt,dust11,dust12,dust13,dust16,dust19,dust2,dust20,dust21,dust22,dust23,dust24,dust25,dust26,dust29,dust3,dust30,dust33,dust34,dust4,dust5,dust6,dust7,dust8,dust9,SampleID,formula.pred,isoscore,mserror,ms1score,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,rtscore,allscore,allscore0,SMILES,Formula,MedInt,AvgInt,Name,Class,ClAzoDye,CpdID,Reference (if no info on Pubchem),Other Info,IUPAC
255.2327474,12.08478333,65867428,244215088,47420672,51941896,156978704,337930560,208422336,121132256,154110768,252861776,187175904,180237536,196242624,197837072,176044928,69719768,254089376,253162080,187070000,43161568,12475937,34835128,41049516,222052608,6,C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H32O2;C16H34O3;C16H34O3;C16H34O3;C15H30;C15H30;C15H30;C15H30,-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.00506549788907446;-0.,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;1.00488483296409;-0.995115167035906;-0.995115167035906;-0.995115167035906;-0.995115167035906,5009;9195;9235;11699;12539;16194;63441;64281;71185;140;2780;3519;5926;8447;10023;10558;12842;13008;14775;14776;17497;19899;20305;20562;21845;26947;34107;36339;39140;42830;43231;58799;61765;62300,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0,0,0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;0;0;0;0;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;0;0;-0.5;-0.5;-0.5;-0.5;0;0;0;0;0;0;0,0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.743491875956099;0.743491875956099;0.743491875956099;0;0;0;0,-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.23963301708981;-0.434887905378923;-0.361440827012024;-0.32742100792545;-0.434887905378921;,2.1185064975415;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;-0.38637833542259;2.26525181587428;2.06999692758517;2.14344400595207;1.67746382503864;2.06999692758517;-0.434887905378923;-0.541208560213636;1.69029137603952;-0.65735250778383;-0.320052385226115;-0.320052385226115;-0.320052385226115;1.33579760228291;2.24847787014312;-0.434887905378923;-0.539584730999001;-1.24306829278164;-0.31459345692457;1.13657026084708;1.13657026084708;0.989794184342358;-1.26886346077528;-1.23474818412572;-1.43000307241483;-1.53632372724954,2.265251816,CCCCCCCCCCCCC(CC)C(O)=O,C16H32O2,1.78E+08,1.54E+08,(Palmitic Acid),Fatty Acid,FALSE,1,-,Isomer of palmitic acid,2-ethyltetradecanoic acid 
431.1400248,11.04053333,22788004,42487080,27606820,19224380,29126858,47801864,24150868,23625040,29202022,49836068,39588204,27883504,24913060,32858514,18687406,29896004,49798048,52873048,33184904,40165972,23075386,24644942,30077042,50023840,18,C28H22N2O4;C28H22N2O4;C28H22N2O4;C22H28ClN3O3S;C22H28ClN3O3S;C25H22ClN3O2,0.000494411049817417;0.000494411049817417;0.000494411049817417;-0.553415005876559;-0.553415005876559;-0.0487302825842214,0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.53618527371727;-2.53618527371727;-3.29108355747598,-0.489555258097015;-0.489555258097015;-0.489555258097015;-2.58960027959383;-2.58960027959383;-3.3398138400602,9583;14736;16911;10550;20512;20901,[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M]-,;0;0;0;0;0;0,0,0;0;0;0;0;-0.5,0;0;0;0;0;0.5,0.28289355570327;0.455992656461111;0.409450521528715;1;1;0,-0.0721153599267579;-0.0800450416481815;-0.0800450416481815;-0.605745370767817;-0.130691828740899;-0.273296513519824,0.00411649338276715;0.342385013177025;0.249300743312233;-1.19534565036165;-0.720292108334728;-0.273296513519824,0.342385013,Cc1ccc(Nc2ccc(O)c3C(=O)c4c(Nc5ccc(C)cc5)ccc(O)c4C(=O)c23)cc1,C28H22N2O4,2.95E+07,3.31E+07,Toluidine Blue Base,Dye Precursor?,FALSE,2,-,-,-
285.1262309,11.06276667,6472943.5,11138057,7680349,5929796.5,9505443,13249703,7412362.5,5733974.5,7429298,13032647,11693935,6900066.5,6979954,9331796,5283517,3245536.25,13430057,13390431,9258460,11158775,6756558,8146461.5,8819505,12890397,17,C14H23O4P;C14H23O4P;C14H23O4P;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C14H21ClO;C14H24N2S2,0.00973494001081059;0.00973494001081059;0.00973494001081059;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.0426706349957327;-0.495103898933978,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-3.21652577685872,-0.980314729136021;-0.980314729136021;-0.980314729136021;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;-1.03272030414256;,8971;18200;20890;3281;11774;12785;12918;15802;41850;63516;64527;64660;71036;15227;3406,[M-H]-;[M-H]-;[M-H]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+CH2O2-H]-;[M-H]-,0,0,-0.5;0;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5,1;1;1;0;0;0;0;0;0;0;0;0;0;0;1,0.886985210757909;0.886985210757909;0.886985210757909;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0.706371818097682;0;0,-0.791570953700803;-0.525061226351926;-0.75062148687726;-0.25304763581996;-0.38625339306646;-0.183127854059709;-0.293896700833701;-0.324597022901613;-0.324597022901613;-0.38625339306646;-0.183127854059709;-0.293896700833701;-0.298540802188091;-0.058347336,-0.791570953700803;0.381609255269962;0.156048994744628;-0.25304763581996;-0.38625339306646;-0.183127854059709;-0.293896700833701;-0.324597022901613;-0.324597022901613;-0.38625339306646;-0.183127854059709;-0.293896700833701;-0.298540802188091;-1.0910676406,0.381609255,CCCCCCCCc1ccc(O[P](O)(O)=O)cc1,C14H23O4P,8.48E+06,8.95E+06,-,OPFR,FALSE,3,-,Isomer of DPP,(4-octylphenyl) dihydrogen phosphate
277.1445109,12.00016667,5335051.5,12986910,5535211.5,4514680,867642.0625,12603968,1196280.875,3851689.5,4725634.5,5259700.5,5350230,3547983.75,15194406,4074115.5,898018.5625,8497450,1511286.5,23716744,5207445.5,3181476,4784362,6812191,6015378.5,7473744.5,18,C16H22O4;C16H22O4;C16H22O4;C16H22O4;C16H22O4;C16H22O4;C16H24O5;C15H20O2;C15H20O2;C15H20O2,0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792;0.00994938172648792,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,1.01989971257966;1.01989971257966;1.01989971257966;1.01989971257966;1.01989971257966;1.01989971257966;1.01989971257966;0.019899712579656;0.019899712579656;0.019899712579656,1290;1293;8076;25824;34218;41034;51816;40154;4381;14431,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,;0;0;0;0.5;0;0;0;0;0;0,0,-0.5;-0.5;-0.5;0;-0.5;-0.5;0;0;0;0,0;0;0;0;0;0;0;1;1;1,0.948628521072044;0.948628521072044;0.948628521072044;0.948628521072044;0.948628521072044;0.948628521072044;0.246725886549669;0.520482906101993;0.520482906101993;0.520482906101993,-1.98153162714208;-1.58120782133564;-1.58120782133564;-1.24907586690392;-1.98153162714208;-2.60962493046484;-1.86501837756487;-2.911690640612;-2.09460391537042;-1.43013750971313,-1.98153162714208;-1.58120782133564;-1.58120782133564;1.21945236674778;-1.98153162714208;-2.60962493046484;-0.598392778435544;-1.37130802193035;-0.554221296688767;0.11024510896852,1.219452367,CCCCCCC(C)OC(=O)c1ccccc1C(O)=O,C16H22O4,5.23E+06,6.38E+06,MOP,Phthalate,FALSE,4,-,-,Mono-2-octyl phthalate
409.3113607,12.44401667,2845794.25,6143618,3788138.5,2817621,4740339.5,6258675,6872018,2931249.75,5039640.5,3558647.75,5168004.5,5669357.5,4565852.5,5241829,3845201.25,4836246.5,4816543.5,4279106.5,5222761,5944745.5,2984409.75,931649.6875,2589934.75,8563039,24,C28H42O2;C28H42O2;C28H42O2;C28H42O2;C28H42O2,0.00989441491691567;0.00989441491691567;0.00989441491691567;0.00989441491691567;0.00989441491691567,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0198447457700838;0.0198447457700838;0.0198447457700838;0.0198447457700838;0.0198447457700838,4768;12424;12856;58626;60498,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-,0,0,0;0;-0.5;-0.5;-0.5,1;1;1;1;1,0,-0.154321354072;-0.000110265913757576;-0.245630035470099;-0.245630035470099;-0.277929132493884,0.86552339169808;1.01973447985632;-0.245630035470099;-0.245630035470099;-0.277929132493884,1.01973448,CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)c2cc(cc(c2O)C(C)(C)C)C(C)(C)C,C28H42O2,4.78E+06,4.57E+06,-,Chromophore?,FALSE,5,-,"Isomer of gamma-tocotrienol (one of the Vitamin E's, found in palm oil)","2,4-ditert-butyl-6-(3,5-ditert-butyl-2-hydroxyphenyl)phenol"
381.3159485,12.31585,10489593,2764781.75,3140965.5,6532884.5,9939703,15864425,2356631.5,48519.51172,62873.44922,7669863.5,1551710.875,68173,7462866.5,11060193,6719699.5,3232391.25,16940006,4398567,50347.23047,290305.1563,919297,5069772.5,3918193.75,21244676,24,C27H44O2,0.009923421,0.009950331,0.519873752,49,[M-H-H2O]-,0,0,0,0,0.040069824,-0.059030952,0.500912624,0.500912624,CC(C)=CCC/C(C)=C/CC\C(C)=C\CCC(=O)OC\C=C(C)\CCC=C(C)C,C27H44O2,4.16E+06,5.91E+06,Gefarnate,Pharmaceutical,FALSE,6,-,-,-
249.1498108,12.88291667,3148747,1285856.5,3404901.5,4281808,2495723.5,7321030,381319.625,3213572,3241640.75,2561827.25,4199309.5,1697691.25,16053315,3727056.5,720996.9375,7168664.5,1135104.75,4696617,4309307.5,1915783.75,902189.375,5726173.5,6655353.5,967069,13,C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C15H22O3;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O;C14H20O,0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478;0.00994841308284478,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;1.01989874393601;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987;-0.980101256063987,31628;3281;11774;12785;12918;15802;41850;63516;64527;64660;71036;1133;1232;1690;8114;12628;13151;14326;16548;19442;21801;23131;23147;31856;43745;47085;51998;54778;64370;64893,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622;0.963220368207622,-3.79936529102099;-2.47657850625341;-2.86343709248953;-2.24583455319904;-2.60112020962009;-2.69094706525202;-2.69094706525202;-2.86343709248953;-2.24583455319904;-2.60112020962009;-2.61490033031704;-3.65135592042578;-3.1939102666907;-3.97919204111539;-3.1,-0.779466547084982;0.543320237682599;0.156461651446481;0.774064190736967;0.418778534315918;0.328951678683993;0.328951678683993;0.156461651446481;0.774064190736967;0.418778534315918;-2.63178121817341;-3.66823680828214;-3.21079115454706;-3.99607292897175;-3,0.774064191,CCCCCCCCC(=O)c1cc(O)ccc1O,C15H22O3,3.23E+06,3.80E+06,-,-,FALSE,7,-,Isomer of 2-ethylhexyl salicylate (sunscreen component which absorbs UVB),"1-(2,5-dihydroxyphenyl)nonan-1-one"
233.154719,10.95261667,2151833,2906296,2756497.75,2597098,2914199.25,3753009,3441939.25,3184615.25,3227875,2996014.75,3196910.25,2629248.75,2482137,5367116,2140665,4209054.5,3425615.25,3086093.75,2439976,3535578.75,2333497,2262391.75,2112130.75,3113637.75,14,C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H24O3;C15H24O3;C15H24O3;C14H20;C14H20;C14H20;C14H20;C14H20;C14H20,0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935;0.00733768808544935,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;0.517288018938617;-0.982711981061383;-0.982711981061383;-0.982711981061383;-0.982711981061383;-0.982711981061383;-0.982711981061383,2383;7939;10440;11960;11982;16935;22584;27215;32971;53863;54605;59538;60975;60976;61474;61484;62182;63702;63724;65978;66500;20728;25682;58005;1144;6950;12639;15289;54162,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,;0;0;0;0;0.5;0;0.5;0;0;0.5;0.5;0.5;0.5;0;0;0;0;0.5;0.5;0;0.5;0;0;0;0;0;0;0;0,0,-0.5;-0.5;0;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0,0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.732505859882533;0.732505859882533;0.732505859882533;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253;0.906554282355253,-0.140473834763371;-0.84483727038558;-0.0730627472014786;-0.202412162468469;-0.404503232973511;-0.215794278243532;-0.340845151343048;-0.3883186399275;-0.793856583293628;-0.195027219932275;-0.133900238886403;-0.358477378103961;-0.936294232183003;-0.9362942,-0.140473834763371;-0.84483727038558;2.35077955409239;-0.202412162468469;-0.404503232973511;2.20804802305034;-0.340845151343048;-0.3883186399275;-0.793856583293628;-0.195027219932275;-0.133900238886403;-0.358477378103961;-0.936294232183003;-0.936294232183,2.350779554,CCCCCCCCc1ccc(cc1)C(O)=O,C15H22O2,2.96E+06,3.01E+06,4-Octylbenzoic Acid ,"Fatty Acid, Unsaturated",FALSE,8,-,-,4-octylbenzoic acid 
439.2855937,11.8951,2380142.25,2882997.5,2909529.25,2150905,2712861,3190060.5,2086887.75,2658255.75,2645150.75,565106.875,2855958,3204160,1952242.75,2663196.25,1710896.5,2760027,2986429.25,3823236.25,2181500.75,3506028.25,2314345.5,2515554,2623087.5,3242621.75,18,C28H42O5;C27H38O2,-0.0364088374208944;-0.0364088374208944,0.00995033085316809;0.00995033085316809,0.306874826765607;-1.02645850656773,52555;45552,[M-H-H2O]-;[M+CH2O2-H]-,;0.5;0,0,0;0,0;0,0;0.110478177662673,-0.0103781942442307;-0.616989896060431,0.796496632521376;-1.42249204730281,0.796496633,CC(C)C1CC[C@H]2C(CC[C@H]3[C@](C)(CO)CCC[C@]23C)C1.OC(=O)c4ccccc4C(O)=O,C28H42O5,2.66E+06,2.61E+06,"Dihydroabietyl alcohol, phthalic anhydride ester","Polymer, 2 units",FALSE,9,-,-,   
227.20165,10.86763333,1983845.25,1297978.75,2580302.5,3110312.25,3122325.25,12789584,2371840,864240.0625,1180019.5,8415391,1223437.5,1288348.625,1575884.375,2469440.75,3454764.75,836431.0625,8757083,6640977,2723410.25,4045963.75,1071291,3494496.75,3075042,4855979.5,6,C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H28O2;C14H30O3;C14H30O3;C14H30O3;C14H30O3;C14H30O3;C13H26;C13H26;C13H26,-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.00214853377851068;-0.,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741;0.00780179707465741,14657;15956;709;2795;3049;6567;6735;7834;9488;11981;13394;16268;16998;19568;19569;20590;30715;32810;32966;37525;42573;47947;54173;54269;58950;59535;61384;63723;65136;69355;13404;26243;28571;52819;65146;8638,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,0,-0.5;-0.5;0;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,0,-0.0483316826345938;-0.0483316826345938;-0.0290560768259904;-0.0397806153633606;-0.00770437145559581;-0.186680913138419;-0.0664152728170952;-0.0253247782300364;-0.0268904307197069;-0.0664152728170958;-0.0753803295895568;-0.111502618779614;-0.0268904307197,-0.0483316826345938;-0.0483316826345938;0.97874572024867;-0.0397806153633606;-0.00770437145559581;-0.186680913138419;0.941386524257565;-0.0253247782300364;-0.0268904307197069;-0.0664152728170958;0.932421467485103;-0.111502618779614;-0.0268904307197069;-0.,0.97874572,CCCCCCCCCCCCCC(O)=O,C14H28O2,2.65E+06,3.47E+06,Myristic Acid,Fatty Acid,FALSE,10,-,-,Tetradecanoic acid
