ï..mz,Final,avg,Common Name,Colour,Type,Class
580.133016,C23H25ClN6O10,224368.1077,Disperse Blue 79,Blue,Disperse Dye,Chlorinated Azo Dye
348.0996094,C16H17ClN4O3,78096.81185,Disperse Red 13,Red,Disperse Dye,Chlorinated Azo Dye
432.0166117,C16H15Cl3N4O4,29016.34984,Disperse Brown 1,Brown,Disperse Dye,Chlorinated Azo Dye
306.9860331,C14H8Cl2N2O2,96676.59782,Disperse Violet 28,Violet,Disperse Dye,Chloroanthraquinone Dye
215.9817301,C6H4ClN3O4,205087.0243,,Yellow_a,Disperse Dye Intermediate,Yellow Disperse Dye Intermediate
216.9658508,C6H3ClN2O5,113158.9502,,Yellow_b,Disperse Dye Intermediate,Yellow Disperse Dye Intermediate
395.0320231,C16H13ClN4O4,1709674.046,Pigment Yellow 6,Yellow_a,Pigment,Chlorinated Azo Dye
395.0134583,C16H12Cl2N4O4,219564.6332,Pigment Yellow 3,Yellow_b,Pigment,Chlorinated Azo Dye
327.0417684,C16H10ClN3O3,51526.89832,Pigment Red 6,Red_a,Pigment,Chlorinated Azo Dye
460.0948181,C24H17ClN4O4,18789.1696,Pigment Red 14,Red_b,Pigment,Chlorinated Azo Dye
273.0914612,C14H17ClN4O,68796.59562,Ethoxazene Hydrochloride,Red_c,Pigment,Azo Dye
