"mz5ppm","matches5ppm"
151,40
153,2
154,15
155,34
157,49
159,28
161,33
163,55
164,48
165,41
167,35
168,40
169,86
170,9
171,53
172,40
173,39
174,10
175,39
176,14
177,41
178,32
179,19
180,34
181,64
182,15
183,45
184,38
185,33
186,9
187,18
188,5
189,35
190,35
191,29
192,20
193,48
194,16
195,36
196,9
197,55
198,18
199,45
200,30
201,16
202,5
203,27
204,5
205,62
206,44
207,39
208,9
209,13
210,13
211,28
212,8
213,29
214,29
215,14
216,10
217,11
218,13
219,24
220,20
221,21
222,10
223,15
224,3
225,17
226,7
227,19
228,24
229,12
230,7
231,16
232,6
233,11
234,10
235,23
236,6
237,19
238,5
239,19
240,12
241,21
242,8
243,10
244,2
245,8
246,9
247,8
248,4
249,21
250,6
251,6
252,5
253,24
254,5
255,13
256,6
257,13
258,6
259,8
260,2
261,6
262,9
263,8
264,6
265,8
266,6
267,10
268,6
269,12
270,5
271,6
272,8
273,5
274,6
275,5
276,7
277,9
278,5
279,6
280,6
281,15
282,4
283,9
284,6
285,9
286,4
287,5
288,2
289,7
290,4
291,5
292,6
293,8
294,5
295,9
296,5
297,4
298,7
299,6
300,8
301,6
302,5
303,6
304,3
305,5
306,6
307,7
308,4
309,5
310,4
311,6
312,4
313,6
314,3
315,4
316,3
317,4
318,3
319,5
320,3
321,6
322,4
323,7
324,4
325,4
326,5
327,6
328,3
329,5
330,3
331,5
332,3
333,5
334,2
335,5
336,4
337,7
338,2
339,6
340,6
341,3
342,6
343,5
344,4
345,5
346,6
347,5
348,5
349,4
350,3
351,4
352,5
353,5
354,3
355,5
356,5
357,5
358,4
359,4
360,3
361,4
362,2
363,2
364,4
365,3
366,2
367,4
368,5
369,5
370,2
371,4
372,3
373,4
374,5
375,2
376,2
377,2
378,4
379,3
380,2
381,2
382,2
383,5
384,3
385,5
386,4
387,3
388,4
389,3
390,2
391,3
392,3
393,4
394,3
395,4
396,3
397,2
398,4
399,3
400,4
401,4
402,4
403,3
404,4
405,2
406,3
407,4
408,2
409,3
410,3
411,4
412,3
413,4
414,3
415,4
416,3
417,3
418,6
419,2
420,3
421,3
422,3
423,6
424,4
425,3
426,3
427,5
428,6
429,5
430,3
431,3
432,3
433,3
434,2
435,3
436,2
437,4
438,1
439,2
440,2
441,2
442,3
443,3
444,3
445,2
446,2
447,3
448,3
449,3
450,3
451,3
452,4
453,3
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,3
462,2
463,3
464,3
465,4
466,3
467,2
468,2
469,3
470,2
471,5
472,3
473,3
474,4
475,3
476,2
477,1
478,3
479,2
480,1
481,2
482,2
483,2
484,1
485,2
486,1
487,2
488,4
489,3
490,2
491,3
492,3
493,2
494,3
495,3
496,1
497,1
498,2
499,3
500,1
501,2
502,2
503,4
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,3
512,2
513,2
514,1
515,4
516,2
517,1
518,1
519,2
520,2
521,2
522,2
523,1
524,2
