mz10ppm,matches10ppm,mz5ppm,matches5ppm,mz1ppm,matches1ppm
151.040095,36,151.040095,35,151.040095,35
151.0764567,52,151.0764567,44,151.0764567,43
151.0764771,52,151.0764771,44,151.0764771,43
151.9992421,21,151.9992421,13,151.9992421,0
152.0211182,9,152.0211182,0,152.0211182,0
153.092097,26,153.092097,26,153.092097,24
153.9801737,4,153.9801737,2,153.9801737,0
153.9801737,4,153.9801737,2,153.9801737,0
154.0635732,32,154.0635732,21,154.0635732,13
154.8886922,0,154.8886922,0,154.8886922,0
154.9995372,19,154.9995372,9,154.9995372,1
155.0172119,6,155.0172119,6,155.0172119,4
155.0714111,46,155.0714111,34,155.0714111,32
155.1078186,58,155.1078186,57,155.1078186,57
156.0194397,3,156.0194397,0,156.0194397,0
157.087031,35,157.087031,34,157.087031,34
157.0870972,35,157.0870972,34,157.0870972,34
157.1232605,57,157.1232605,49,157.1232605,31
157.1234283,49,157.1234283,49,157.1234283,49
157.1234283,49,157.1234283,49,157.1234283,49
157.1234589,49,157.1234589,49,157.1234589,49
157.1235046,49,157.1235046,49,157.1235046,49
158.3388316,0,158.3388316,0,158.3388316,0
158.3468679,0,158.3468679,0,158.3468679,0
158.3468679,0,158.3468679,0,158.3468679,0
158.3470612,0,158.3470612,0,158.3470612,0
159.0815175,44,159.0815175,42,159.0815175,42
159.1390279,17,159.1390279,15,159.1390279,15
160.970932,6,160.970932,0,160.970932,0
160.970932,6,160.970932,0,160.970932,0
161.0609487,35,161.0609487,35,161.0609487,34
161.0819448,33,161.0819448,31,161.0819448,31
163.0764923,57,163.0764923,55,163.0764923,55
163.0765177,57,163.0765177,55,163.0765177,55
163.1127625,61,163.1127625,60,163.1127625,60
164.0841675,53,164.0841675,48,164.0841675,38
164.0842692,53,164.0842692,48,164.0842692,38
165.0195516,11,165.0195516,10,165.0195516,0
165.0195516,11,165.0195516,10,165.0195516,0
165.0557607,46,165.0557607,41,165.0557607,40
165.0559743,43,165.0559743,41,165.0559743,0
165.09198,55,165.09198,48,165.09198,46
165.0921173,55,165.0921173,48,165.0921173,46
167.0015361,4,167.0015361,1,167.0015361,0
167.0445557,8,167.0445557,3,167.0445557,3
167.0713552,49,167.0713552,40,167.0713552,39
167.0714162,49,167.0714162,40,167.0714162,39
167.1077169,49,167.1077169,35,167.1077169,35
167.1077525,49,167.1077525,35,167.1077525,35
167.1078339,36,167.1078339,35,167.1078339,35
167.1441243,66,167.1441243,66,167.1441243,66
