mz,rt,dust11.mzXML,dust12.mzXML,dust13.mzXML,dust16.mzXML,dust19.mzXML,dust2.mzXML,dust20.mzXML,dust21.mzXML,dust22.mzXML,dust23.mzXML,dust24.mzXML,dust25.mzXML,dust26.mzXML,dust29.mzXML,dust3.mzXML,dust30.mzXML,dust33.mzXML,dust34.mzXML,dust4.mzXML,dust5.mzXML,dust6.mzXML,dust7.mzXML,dust8.mzXML,dust9.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,formulacount,mserrorcount,MS1scorecount,MS1scorefail,MS2scorecount,MS2scorefail,neutralscorecount,neutralscorefail,chascorecount,chascorefail,adductscorecount,adductscorefail,ionmodescorecount,ionmodescorefail,isoscorecount,isoscorefail,temp.scorecount,temp.scorefail,temp.scorevalues
398.017039,10.91928333,659722.0625,100,8128.977051,235839.7656,100,1559888.25,100,131116.2656,2422386.5,177636.2188,21768.2832,36333932,690948.3125,734419.6875,107093.5469,100,100,47056.07422,100,755005.4375,14452.93359,186555.7188,100,100,12,C21H12ClNO3;C21H12ClNO3,-4.60517018598809;-4.60517018598809,0.00995033085316809;0.00995033085316809,-4.50088023249341;-4.50088023249341,Clc1ccc(NC(=O)c2ccccc2)c3C(=O)c4ccccc4C(=O)c13;Clc1cccc2C(=O)c3c(NC(=O)c4ccccc4)cccc3C(=O)c12,1171;3220,[M+Cl]-;[M+Cl]-,;0;0,0,0;0,0;0,0;0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,-4.50088023249341;-4.50088023249341
398.1158447,11.09666667,2731242.25,379746.9688,435060.7188,3272725.75,232579.6094,1278833.625,244854.75,490118.625,271796.4688,2508831,844633.5625,233655.0781,852577.9375,530763.875,58685.26953,100,270122.5313,44172.18359,476872.0313,837365.25,1635109,2116732.25,605724.8125,136202.625,4,C20H24Cl2N2O2,-0.717607565,0.009950331,-0.015349541,CCCCN(CCOC(=O)Nc1ccc(Cl)c(Cl)c1)c2cccc(C)c2,37100,[M]-,;0,0,0,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0.484650459
398.1159566,11.1082,2731242.25,379746.9688,268682.625,1554101.25,211145.2031,890267,244854.75,326935.4375,147302.1563,1388048.5,634802.3125,154280.4219,679575.25,530763.875,58685.26953,100,119672.1641,44172.18359,427355.9063,742196.375,1029958.688,2116732.25,543227.3125,184047.5938,1,C20H24Cl2N2O2,-0.717607565,0.009950331,-0.015349541,CCCCN(CCOC(=O)Nc1ccc(Cl)c(Cl)c1)c2cccc(C)c2,37100,[M]-,;0,0,0,0.5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0.484650459
398.1462809,11.1592,100,100,100,329827.75,100,224259.5313,100,100,100,189163.5938,23799.0957,100,45729.46875,22936.1543,100,100,13368.5791,25531.63672,100,64257.30078,8652.864258,164401.2188,40984.30469,100,4,C24H19N3O3;C24H19N3O3;C20H26O6;C20H26O6,-0.484219062822032;-0.484219062822032;-0.536653930952325;-0.536653930952325,0.00995033085316809;0.00995033085316809;-4.17673696984759;-4.17673696984759,-0.474268731968864;-0.474268731968864;-4.71339090079991;-4.71339090079991,COc1ccc(NC(=O)C2=Cc3ccccc3C(=N/Nc4ccccc4)/C2=O)cc1;C\C(N)=N/OC(=O)c1ccc(/C=C/c2ccc(cc2)c3oc4ccccc4n3)cc1;CCCCOC(=O)C=C.OC(=O)CC(=C)C(O)=O.C=Cc1ccccc1;C=COCCCCOC(=O)c1cccc(c1)C(=O)OCCCCOC=C,15426;32852;18180;47562,[M]-;[M]-;[M+Cl]-;[M+Cl]-,0,0,0;0;-0.5;-0.5,0.5;0.5;0;0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,0.025731268031136;0.025731268031136;-5.21339090079991;-5.21339090079991
398.1510213,11.35448333,254116.0781,100,100,276125.3438,100,850078.75,100,100,100,327786.625,23799.0957,100,45729.46875,22936.1543,11105.31543,100,13368.5791,28831.93555,100,85784.46094,12288.04395,274816.9688,66626.25,24265.28125,6,C24H23N3O4,-0.023976027,0.009950331,0.435974304,CCN(CCOC(=O)c1ccc(cc1)C(=O)OC)c2ccc(C=C(C#N)C#N)c(C)c2,22997,[M-H-H2O]-,;0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.435974304
398.1811422,10.76703333,80213.69531,47215.78906,78383.39844,21962.34961,107131.8438,75052.35156,63257.44141,50766.67188,56512.21875,62060.19531,46438.42188,85071.19531,83796.23438,43259.5625,94667.50781,100,144853.9219,79466.58594,133143.2969,112977.3828,37903.87891,93805.15625,39061.83984,65474.10938,17,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
398.2082825,11.92533333,65315.47266,88482.125,71561.70313,58911.60938,74521.09375,84185.84375,59589.12109,59036.57031,73746.38281,71098.60938,75232.9375,109582.4609,52640.82422,69301.36719,27578.04883,100,89019.10156,105923.9297,64569.15234,86355.23438,54237.15234,67905.75781,51588.80469,107917.6797,12,C21H27N3O2,-0.018495405,0.009950331,-0.008545074,CCN(CC)c1ccc(NC2=CC(=NC(=O)C(C)C)C(=O)C=C2)c(C)c1,17383,[M+CH2O2-H]-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-0.008545074
398.2082825,11.92533333,65315.47266,88482.125,71561.70313,62040.77344,80170.25,84185.84375,66395.53125,59036.57031,73746.38281,66253.95313,44818.63281,109582.4609,59198.03906,69301.36719,64193.73438,100,89019.10156,107622.2813,64569.15234,86355.23438,54237.15234,83858.14844,59827.60938,107917.6797,12,C21H27N3O2,-0.018495405,0.009950331,-0.008545074,CCN(CC)c1ccc(NC2=CC(=NC(=O)C(C)C)C(=O)C=C2)c(C)c1,17383,[M+CH2O2-H]-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-0.008545074
398.2295227,8.2423,12432.68652,7699.686035,6312.26123,6486.354004,11987.48047,18308.9668,8360.587891,6167.661133,9141.543945,107524.0391,6411.397461,6060.123535,8188.016113,10466.9873,7768.984375,100,12615.6748,19614.17578,6746.093262,8340.018555,6327.18457,5028.151855,8495.289063,7336.347656,10,C21H35ClN2O3,-0.085543852,0.009950331,-1.075593521,[Cl-].CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,12289,[M-H]-,0,0,-0.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.575593521
398.3185425,12.42051667,58078.65625,46163.31641,32249.88477,52290.58984,108031.9297,211876.5938,44164.25391,22340.84961,20212.83789,181163.375,57308.875,17291.38281,16305.41504,283574.3125,69447.46094,100,88821.08594,80590.28125,28467.37695,47078.95703,13826.51563,45707.69531,71810.36719,103596.2109,14,C27H42O2;C24H46O2S,-0.0330919152497831;-0.485210976091164,-2.79916042651064;-3.96375512336227,-2.83225234176042;-4.44896609945344,CCCCCC1CCC(CC1)c2ccc(cc2)C(=O)OC3CCC(CCC)CC3;CCCCCCCCCCCC(=O)SC(=O)CCCCCCCCCCC,40064;15790,[M]-;[M-H]-,0,0,0;-0.5,0.5;1,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,-2.33225234176042;-3.94896609945344
