mz,rt,X100_300_Neg_JeansA.mzXML,X100_300_Neg_JeansB.mzXML,X100_300_Neg_JeansC.mzXML,X100_300_Neg_JeansD.mzXML,X100_300_Neg_JeansDx.mzXML,X100_300_Neg_JeansE.mzXML,X100_300_Neg_JeansF.mzXML,X100_300_Neg_JeansG.mzXML,X100_300_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore
102.9319509,7.899833333,33713.95313,74906.02344,47230.34766,67332.25,14840.29102,45115.95313,124901.2656,94250.54688,76606.97656,7,0,0,0,0,0,0,0,0,0,0,0,0
102.9568303,4.8139,157532.3125,148450.1406,150942.6406,156143.5313,143180.5469,147987.75,131940.9844,216104.0313,236417.2969,9,0,0,0,0,0,0,0,0,0,0,0,0
102.9567261,4.844366667,49185.02344,59952.25781,59768.88672,62532.75781,50759.22656,65772.1875,76260.20313,100213.3359,88186.01563,8,0,0,0,0,0,0,0,0,0,0,0,0
110.9757512,8.7505,169243.9531,268476.6875,164559.7344,287853.2813,159720.4844,276818.625,320042.5313,321719.6563,233251.6875,8,0,0,0,0,0,0,0,0,0,0,0,0
113.9262873,7.899833333,523136.125,549379.3125,512579.25,650988.125,358937.8125,583506,893568.5625,673251.25,637082,7,0,0,0,0,0,0,0,0,0,0,0,0
112.9855804,4.844366667,69005.8125,88297.54688,75293.03125,87946.69531,91264.90625,98632.82813,97643.8125,117885.7891,96107.35938,8,0,0,0,0,0,0,0,0,0,0,0,0
115.9207255,7.899833333,21919550,27043254,26569032,29116916,15606729,27568858,41565536,33807212,30636926,7,0,0,0,0,0,0,0,0,0,0,0,0
116.9209798,7.899833333,3014605.25,3770980.75,3660966.5,3993770,2296049.75,3697689.25,5569323.5,4659759.5,4168208.25,7,0,0,0,0,0,0,0,0,0,0,0,0
115.920639,0.725148333,308664.875,501844.875,536276.3125,470576.7188,518519.5938,542068.9375,545385.4375,623563.125,542379.6875,8,0,0,0,0,0,0,0,0,0,0,0,0
116.92099,7.093133333,273180.4688,331672.6563,398630.9063,385640.6563,421693.2188,410104.1875,416418.8125,405801.8125,490312.3438,9,0,0,0,0,0,0,0,0,0,0,0,0
116.9210256,7.875133333,1030553.188,1135326.375,1474892.875,1793962.875,1301428.875,1222623.5,2511704,3324899.25,2599264.5,8,0,0,0,0,0,0,0,0,0,0,0,0
115.9207535,7.899833333,833548.25,973979.75,1016950.75,1032298.125,569660.3125,1004590.188,1467678.125,1246771.875,1215680.625,7,0,0,0,0,0,0,0,0,0,0,0,0
116.9208984,8.734833333,211516.7813,105765.8047,142314.0156,230826.6875,137781.1563,293947.2813,171956.8281,152987.9375,137608.2188,6,0,0,0,0,0,0,0,0,0,0,0,0
116.9210129,7.899833333,231044.2969,322728.8125,299284.7188,308200.1563,167103.2969,292438.2188,389469.5938,366621.125,320667.0938,7,0,0,0,0,0,0,0,0,0,0,0,0
118.9241765,7.175383333,551700.625,669327.9375,697774.25,827490.3125,591213.8125,911449.5625,1125374.75,1180697.5,1068122.5,8,0,0,0,0,0,0,0,0,0,0,0,0
119.9243011,6.849033333,49907.09766,62913.90234,67341.61719,69000.99219,56920.65234,72750.52344,85961.5,107348.7656,93627.84375,8,0,0,0,0,0,0,0,0,0,0,0,0
124.8945465,0.725613333,59457.00781,129622.5313,62957.875,88902.57813,82698.61719,70410.60156,73597.28125,61524.85547,58163.53125,2,0,0,0,0,0,0,0,0,0,0,0,0
