mz,rt,X100_300_Neg_jgu1.mzXML,X100_300_Neg_jgu2.mzXML,X100_300_Neg_jgw1.mzXML,X100_300_Neg_jgw2.mzXML,X100_300_Neg_nju1.mzXML,X100_300_Neg_nju2.mzXML,X100_300_Neg_njw1.mzXML,X100_300_Neg_njw2.mzXML,X100_300_Neg_oju2.mzXML,X100_300_Neg_ojw1.mzXML,formula.pred,SMILES,allscore,
297.2436625,7.3249,243032953.3,223480665.3,233450601.3,202734345.3,75670097.25,70153425.25,44711553.25,37524409.25,187697225.3,156889840,C18H34O3,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O,2.41989573,
297.2436625,7.3249,243032953.3,223480665.3,233450601.3,202734345.3,75670097.25,70153425.25,44711553.25,37524409.25,187697225.3,156889840,C18H34O3,CCCCCC[C@H](O)C/C=C/CCCCCCCC(O)=O,2.41989573,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,OC(=O)/C=C/c1ccccc1O,2.41988492,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,OC(=O)C(=O)Cc1ccccc1,2.41988492,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,OC(=O)/C=C/c1ccc(O)cc1,2.41988492,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COc1ccc(CC(O)=O)cc1OC,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,CCCC(=O)c1cc(O)c(O)cc1O,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COc1ccc(OC)c(CC(O)=O)c1,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,OCCOC(=O)COc1ccccc1,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COC(=O)C1C2CC(C=C2)C1C(O)=O,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,CCOC(=O)Cc1ccc(O)cc1O,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,CC(=O)OCCOc1cccc(O)c1,2.419839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,CCOC(=O)C(O)c1ccc(O)cc1,2.419839499,
155.026947,5.691083333,925516.1758,151573.2852,727309.7383,736154.6133,207629.0196,208173.2071,782243.5508,620413.0508,2750316.676,1806010.125,C8H9ClO,CC(O)c1ccc(Cl)cc1,2.419354135,
155.026947,5.691083333,925516.1758,151573.2852,727309.7383,736154.6133,207629.0196,208173.2071,782243.5508,620413.0508,2750316.676,1806010.125,C8H9ClO,Cc1cc(C)c(Cl)c(O)c1,2.419354135,
235.1340027,11.91406667,170359.0625,100,100,100,100,100,100,100,100,259266.4531,C14H20O3,CCCCCCCC(=O)c1cc(O)ccc1O,2.419245972,
166.0509491,5.022216667,869694.8672,473853.8672,960065.7422,740071.5547,144411.4922,244381.0547,100,100,514440.5547,1570652.875,C8H9NO3,OC(=O)CNc1ccc(O)cc1,2.416194434,
166.0509491,5.022216667,869694.8672,473853.8672,960065.7422,740071.5547,144411.4922,244381.0547,100,100,514440.5547,1570652.875,C8H9NO3,N[C@@H](C(O)=O)c1ccc(O)cc1,2.416194434,
166.0509491,5.022216667,869694.8672,473853.8672,960065.7422,740071.5547,144411.4922,244381.0547,100,100,514440.5547,1570652.875,C8H9NO3,N[C@H](C(O)=O)c1ccc(O)cc1,2.416194434,
185.0819244,3.1704,100,2142602.781,2731393.281,2249103.781,100,100,100,100,100,757486.3125,C9H14O4,COC(=O)C(C)=C.CC(=C)C(O)=O,2.415576743,
185.0819244,3.1704,100,2142602.781,2731393.281,2249103.781,100,100,100,100,100,757486.3125,C9H14O4,CCOC(=O)C=C.CC(=C)C(O)=O,2.415576743,
185.0819244,3.1704,100,2142602.781,2731393.281,2249103.781,100,100,100,100,100,757486.3125,C9H14O4,CCCCOC(=O)CC(=C)C(O)=O,2.415576743,
185.0819244,3.1704,100,2142602.781,2731393.281,2249103.781,100,100,100,100,100,757486.3125,C9H14O4,COC(=O)C=C.OC(=O)C=C.C=C,2.415576743,
187.051295,3.79125,100,100,100,100,100,100,100,100,109024.6846,97723.82031,C10H8N2O2,Nc1cccc2c1cccc2[N+]([O-])=O,2.019895891,
187.051295,3.79125,100,100,100,100,224387.0284,252969.0596,328628.0596,324751.9346,921038.6221,397355,C10H8N2O2,Nc1cccc2c1cccc2[N+]([O-])=O,2.019895891,
203.1289266,4.391016667,362703.043,346414.8867,1476097.074,1253161.449,455150.1992,488977.5117,319052.5742,567898.1992,2577969.074,9000612,C10H20O4,CC(C)(CO)COC(=O)C(C)(C)CO,2.019894944,
203.1289266,4.391016667,362703.043,346414.8867,1476097.074,1253161.449,455150.1992,488977.5117,319052.5742,567898.1992,2577969.074,9000612,C10H20O4,CC(O)CC(C)(C)O.CC(=O)OC=C,2.019894944,
203.1289266,4.391016667,362703.043,346414.8867,1476097.074,1253161.449,455150.1992,488977.5117,319052.5742,567898.1992,2577969.074,9000612,C10H20O4,CCCCOC(O)C(=O)OCCCC,2.019894944,
233.1548055,6.606266667,100,100,100,100,100,100,100,100,550998.375,1268519.375,C15H22O2,CCCCCCCCc1ccc(cc1)C(O)=O,2.019892613,
233.1548055,6.606266667,100,100,100,100,100,100,100,100,550998.375,1268519.375,C15H22O2,CCCCCCCCOc1ccc(C=O)cc1,2.019892613,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,COc1ccc(cc1)C(=O)C=O,2.01988492,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,CC(=O)Oc1ccc(C=O)cc1,2.01988492,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,COC(=O)c1ccc(C=O)cc1,2.01988492,
163.040095,5.404483333,100,100,100,100,100,100,100,100,16575972.69,3530310.75,C9H8O3,Oc1ccc2OC(=O)CCc2c1,2.01988492,
297.1530965,9.625716667,36392610.75,59791762.75,226593874.8,135758850.8,18070334.75,39583558.75,100,32973650.75,100,268943040,C16H26O3S,CCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O,2.01984249,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COc1cc(C=O)cc(OC)c1OC,2.019839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,CCOC(=O)c1ccc(O)c(OC)c1,2.019839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COc1ccc(C=O)c(OC)c1OC,2.019839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,CCOC(=O)c1c(C)cc(O)cc1O,2.019839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COc1cc(OC)c(C=O)cc1OC,2.019839499,
195.0662587,3.700033333,15387431.57,18220027.57,11935094.57,15474082.57,100,100,100,100,8994930.574,1834337.75,C10H12O4,COC(=O)c1c(C)cc(O)c(C)c1O,2.019839499,
275.1654256,6.800216667,531129.8032,558926.0532,676761.8657,525861.7407,100,100,100,100,2351132.491,2779244.75,C17H24O3,CC(C)C1CCC(C)CC1OC(=O)c2ccccc2O,2.01967223,
275.1654256,6.800216667,531129.8032,558926.0532,676761.8657,525861.7407,100,100,100,100,2351132.491,2779244.75,C17H24O3,CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2,2.01967223,
275.1654256,6.800216667,559335.4282,646247.1782,108341.2485,446202.5532,100,100,100,112421.9751,435125.022,1106497.25,C17H24O3,CC(C)C1CCC(C)CC1OC(=O)c2ccccc2O,2.01967223,
275.1654256,6.800216667,559335.4282,646247.1782,108341.2485,446202.5532,100,100,100,112421.9751,435125.022,1106497.25,C17H24O3,CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2,2.01967223,
203.0826009,1.398315,100,100,703620.9604,838310.1479,100,100,100,100,100,10988.82031,C11H12N2O2,NC(Cc1c[nH]c2ccccc12)C(O)=O,2.019524601,
203.0826009,1.398315,100,100,703620.9604,838310.1479,100,100,100,100,100,10988.82031,C11H12N2O2,N[C@H](Cc1c[nH]c2ccccc12)C(O)=O,2.019524601,
205.1233673,6.050016667,3878087.988,3819176.238,4810283.988,4780821.988,517693.6758,718745.3633,164870.0196,225103.4258,2881103.988,1066914.25,C13H18O2,CCCCCCOc1ccc(C=O)cc1,2.019412422,
205.1233673,6.050016667,3878087.988,3819176.238,4810283.988,4780821.988,517693.6758,718745.3633,164870.0196,225103.4258,2881103.988,1066914.25,C13H18O2,CCCCCCc1ccc(cc1)C(O)=O,2.019412422,
205.1233673,6.050016667,3878087.988,3819176.238,4810283.988,4780821.988,517693.6758,718745.3633,164870.0196,225103.4258,2881103.988,1066914.25,C13H18O2,CCCc1ccc(cc1)C(=O)C(C)(C)O,2.019412422,
205.1233673,6.050016667,3878087.988,3819176.238,4810283.988,4780821.988,517693.6758,718745.3633,164870.0196,225103.4258,2881103.988,1066914.25,C13H18O2,CCCCC=O.O=CCc1ccccc1,2.019412422,
205.1233673,6.050016667,3878087.988,3819176.238,4810283.988,4780821.988,517693.6758,718745.3633,164870.0196,225103.4258,2881103.988,1066914.25,C13H18O2,CC(C)c1ccc(cc1)C(=O)C(C)(C)O,2.019412422,
235.1340027,11.91406667,170359.0625,100,100,100,100,100,100,100,100,259266.4531,C14H20O3,CCCCCCCOC(=O)c1ccc(O)cc1,2.019245972,
205.9417674,5.950583333,7353270.638,10890343.64,8905309.638,8986234.638,885609.0127,1226081.013,215832.919,304819.4502,100,65041.09375,C6H3Cl2NO3,Oc1c(Cl)cc(cc1Cl)[N+]([O-])=O,2.018724039,
154.9906006,3.996016667,100,100,100,100,3391448.732,4806410.482,520824.9824,492439.6699,100,192355.4531,C7H5ClO2,Oc1ccc(Cl)cc1C=O,2.016747267,
154.9906006,3.996016667,100,100,100,100,3391448.732,4806410.482,520824.9824,492439.6699,100,192355.4531,C7H5ClO2,OC(=O)c1ccccc1Cl,2.016747267,
154.9906006,3.996016667,100,100,100,100,3391448.732,4806410.482,520824.9824,492439.6699,100,192355.4531,C7H5ClO2,OC(=O)c1cccc(Cl)c1,2.016747267,
166.0509491,5.022216667,869694.8672,473853.8672,960065.7422,740071.5547,144411.4922,244381.0547,100,100,514440.5547,1570652.875,C8H9NO3,COC(=O)c1ccc(O)c(N)c1,2.016194434,
166.0509491,5.022216667,869694.8672,473853.8672,960065.7422,740071.5547,144411.4922,244381.0547,100,100,514440.5547,1570652.875,C8H9NO3,OCCc1cccc(c1)[N+]([O-])=O,2.016194434,
166.0509491,5.022216667,869694.8672,473853.8672,960065.7422,740071.5547,144411.4922,244381.0547,100,100,514440.5547,1570652.875,C8H9NO3,OCCc1ccccc1[N+]([O-])=O,2.016194434,
162.9537354,5.86445,100,100,100,100,139472.8135,171159.8135,100,100,100,63142.55859,C6H4Cl2O,Oc1cccc(Cl)c1Cl,2.015533396,
162.9537354,5.86445,100,100,100,100,139472.8135,171159.8135,100,100,100,63142.55859,C6H4Cl2O,Oc1ccc(Cl)c(Cl)c1,2.015533396,
162.9537354,5.86445,100,100,100,100,139472.8135,171159.8135,100,100,100,63142.55859,C6H4Cl2O,Oc1ccc(Cl)cc1Cl,2.015533396,
162.9537354,5.86445,100,100,100,100,139472.8135,171159.8135,100,100,100,63142.55859,C6H4Cl2O,Oc1cc(Cl)cc(Cl)c1,2.015533396,
162.9537354,5.86445,100,100,100,100,139472.8135,171159.8135,100,100,100,63142.55859,C6H4Cl2O,Oc1cccc(Cl)c1Cl,2.015533396,
157.0239563,5.691083333,314548.625,138235.0313,286052.6563,319239.75,100,100,191777.1563,238740.6406,925334.1875,580247.9375,C8H9ClO,CC(O)c1ccc(Cl)cc1,2.014456566,
157.0239563,5.691083333,314548.625,138235.0313,286052.6563,319239.75,100,100,191777.1563,238740.6406,925334.1875,580247.9375,C8H9ClO,Cc1cc(C)c(Cl)c(O)c1,2.014456566,
234.1944834,7.494033333,268992.7813,147380.4688,100,186531.7188,100,100,313381.9688,253106.1875,253123.5469,275895.6875,C16H26O,CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,2.014124369,
234.1944834,7.494033333,268992.7813,147380.4688,100,186531.7188,100,100,313381.9688,253106.1875,253123.5469,275895.6875,C16H26O,CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,2.014124369,
