"mz","rt","X100_300_Neg_jgu1.mzXML","X100_300_Neg_jgu2.mzXML","X100_300_Neg_jgw1.mzXML","X100_300_Neg_jgw2.mzXML","X100_300_Neg_nju1.mzXML","X100_300_Neg_nju2.mzXML","X100_300_Neg_njw1.mzXML","X100_300_Neg_njw2.mzXML","X100_300_Neg_oju2.mzXML","X100_300_Neg_ojw1.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","chracaterscore","ionmodescore","adductscore","MS2score","allscore","temp.scorevalues"
102.9568532,0.795633333,555453.59375,768725.09375,1195645.09375,1388104.96875,195848.78125,161269.46875,175596.59375,127298.59375,130085.65625,821113.5625,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
103.0400111,0.886278333,100,100,173056.21875,276950.87505,100,100,100,100,444476.21875,548780.4375,9,"C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2","0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006","CCC(Br)C(O)=O;CCOC(=O)CBr;CC(=O)OCCBr;CC(C)(Br)C(O)=O;OC(=O)CCCBr;COC(=O)CCBr;BrCC1OCCO1;COC(=O)C(C)Br","1135;2718;6487;8167;9232;10302;11204;11961","[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-","0;0;0;0;0;0;0;0","0","0;0;0;0;0;0;0;0","0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5","0;0;0;0;0;0;0;0","0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201",0
103.0400162,4.19545,100,100,100,100,100,100,100,100,411726.65625,111301.875,9,"C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2;C4H7BrO2","0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247;0.00902376106003247","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006;0.0189740919132006","CCC(Br)C(O)=O;CCOC(=O)CBr;CC(=O)OCCBr;CC(C)(Br)C(O)=O;OC(=O)CCCBr;COC(=O)CCBr;BrCC1OCCO1;COC(=O)C(C)Br","1135;2718;6487;8167;9232;10302;11204;11961","[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-","0;0;0;0;0;0;0;0","0","0;0;0;0;0;0;0;0","0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5","0;0;0;0;0;0;0;0","0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201;0.518974091913201",0
104.013471,6.071483333,121081.0781,164448.3906,119215.8047,185675.7969,100,100,100,100,100,100,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
104.0352503,0.740908333,453335.79296875,425227.60546875,4977323.73046875,4975360.73046875,325913.66796875,421047.98046875,1041533.85546875,673938.85546875,826410.41796875,193487.875,3,"C5H9Cl;C5H9Cl;C5H8;C5H8;C5H8;C5H8;C5H8;C5H8;C5H8;C5H8;C5H8;C5H8;C5H11ClO;C5H11ClO","-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808;-0.534141337223808","-1.97113441823539;-1.97113441823539;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;-3.84128501614172;0.00995033085316809;0.00995033085316809","-2.50527575545919;-2.50527575545919;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-4.37542635336552;-0.524191006370639;-0.524191006370639","CC(C)=CCCl;ClC1CCCC1;CC(=C)C=C;C/C=C/C=C;C1CC=CC1;C=CCC=C;CCCC","","","","","","","","",NA
104.9539286,0.795633333,363727.5546875,172345.8671875,393036.7421875,541038.5546875,111466.3359875,100,100,100,100,300320.25,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
105.0171814,5.463616667,100,100,100,100,159653.375,343890.375,593849.5,401194.25,358554.5,1595349.75,7,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
105.0216344,6.135666667,100,100,100235.526842969,100,100,100,100,100,100,44972.06641,3,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
105.0556157,0.905896667,240799.395557812,327431.176757812,158920.520557813,184755.629857813,100,100,100,100,100,28366.85547,2,"C4H9BrO2","0.009023761","0.009950331","0.018974092","COC(CBr)OC","12916","[M-Br+O]-","0","0","0","0.5","0","0.518974092",0
106.0164464,4.3719,100,100,100,100,100,100,100,104226.625,100,689289.6875,8,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
