mz,rt,X300_500_Neg_jgu1.mzXML,X300_500_Neg_jgu2.mzXML,X300_500_Neg_jgw1.mzXML,X300_500_Neg_jgw2.mzXML,X300_500_Neg_nju1.mzXML,X300_500_Neg_nju2.mzXML,X300_500_Neg_njw1.mzXML,X300_500_Neg_njw2.mzXML,X300_500_Neg_oju2.mzXML,X300_500_Neg_ojw1.mzXML,formula.pred,SMILES,allscore
325.3112996,10.24765,68552448.75,54231012.75,35881176.75,36594308.75,145530056.8,186265576.8,179919704.8,144106536.8,100,18640148,C21H42O2,CCCCCCCCCCCCCCCCCC(CC)C(O)=O,2.419899734
353.3059387,8.378933333,100,100,100,100,946669.8438,345417.8438,1343025.219,100,100,559613.125,C22H42O3,CCCCCCCC[C@H]1O[C@H]1CCCCCCCCCCCC(O)=O,2.415624565
325.3112996,10.24765,68552448.75,54231012.75,35881176.75,36594308.75,145530056.8,186265576.8,179919704.8,144106536.8,100,18640148,C21H42O2,CCCCCCCC\C=C/CCCCCCCCOCCCO,2.019899734
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,6935630.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H42O2,CCCCCCCC\C=C/CCCCCCCCOCCCO,2.019897693
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,6935630.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H42O2,CCCCCCCCCCCCCCCCCC(CC)C(O)=O,2.019897693
356.1869303,7.729583333,100,100,100,100,100,169080.1406,100,100,100,906996.375,C21H27NO4,CCCCOC(=O)C=C.OC(=O)C=C.C=CC#N.C=Cc1ccccc1,2.019596555
356.1868998,7.732516667,100,100,100,100,226157.7031,169080.1406,100,100,100,906996.375,C21H27NO4,CCCCOC(=O)C=C.OC(=O)C=C.C=CC#N.C=Cc1ccccc1,2.019434844
405.3140157,11.34235,1110456.729,1092672.229,2278269.479,2878659.729,100,100,100,100,100,100,C22H47O4P,CCCCCCCCCCCCCCCCCCCCCCO[P](O)(O)=O,2.019415058
393.1455688,5.018883333,229606.2344,100,100,112157.3828,100,100,100,100,100,435623.9688,C21H20N2O3,CC(=O)Nc1ccccc1CCNC(=O)c2ccc3ccccc3c2O,2.019232898
353.3059387,8.378933333,100,100,100,100,946669.8438,345417.8438,1343025.219,100,100,559613.125,C22H42O3,CCCCCCC(O)C\C=C/CCCCCCCC(=O)OCCCC,2.015624565
384.3117676,6.779166667,100,100,100,100,100,100,100,100420.25,442520.6875,109392.3906,C22H43NO4,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(=O)N(CCO)CCO,2.008096209
384.3117676,6.779166667,100,100,100,100,100,100,100,100420.25,442520.6875,109392.3906,C22H43NO4,CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O.C1COCCN1,2.008096209
367.3328044,7.0303,485556.1973,445965.166,385782.5723,529956.7285,100,100,100,100,100,100,C22H44N2O2,CCCCCCCC/C=C/CCCCCCCC(=O)N(CCN)CCO,1.991514374
367.3328044,7.0303,485556.1973,445965.166,385782.5723,529956.7285,100,100,100,100,100,100,C22H44N2O2,CCCCCCCC/C=C/CCCCCCCC(=O)NCCNCCO,1.991514374
354.1207987,4.887316667,4441388.5,5354487.5,3747378.75,7021855.5,100,100,100,100,100,100,C17H17N5O4,Nc1nc(N)nc(n1)c2ccccc2.OC(=O)c3ccccc3O.C=O,1.974612049
455.3164673,8.173983333,100,100,100,100,429407.8135,647681.9385,436466.3447,449029.7822,613983.001,835215.9375,C29H44O4,CCCCCCCCCCCCCCCCCCOc1ccc2c(O)c(ccc2c1)C(O)=O,1.870093561
364.0186768,6.328166667,603165.4473,622128.6348,759018.6348,585160.5098,100,100,100,100,100,25918.35742,C15H11Cl2N5O2,[O-][N+](=O)c1ccc(N=Nc2ccc(NCCC#N)c(Cl)c2)c(Cl)c1,1.789031368
423.0767314,6.098666667,521249.9561,364239.6436,853518.7061,721624.0186,391461.7998,289528.2686,321118.6123,235071.9717,794781.7686,310917.0625,C20H16N4O5S,CC1=NN(c2ccc3cc(O)cc(c3c2)[S](O)(=O)=O)C(=O)C1N=Nc4ccccc4,1.711770747
362.0217896,6.328166667,3967253.391,4390260.391,4767373.891,4026864.141,100,100,100,100,258440.0469,169705.6406,C15H11Cl2N5O2,[O-][N+](=O)c1ccc(N=Nc2ccc(NCCC#N)c(Cl)c2)c(Cl)c1,1.700438038
