mz,rt,X500_700_Neg_jgu1.mzXML,X500_700_Neg_jgu2.mzXML,X500_700_Neg_jgw1.mzXML,X500_700_Neg_jgw2.mzXML,X500_700_Neg_nju1.mzXML,X500_700_Neg_nju2.mzXML,X500_700_Neg_njw1.mzXML,X500_700_Neg_njw2.mzXML,X500_700_Neg_oju2.mzXML,X500_700_Neg_ojw1.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,temp.scorevalues
502.8922831,6.412066667,100,100,100,100,100,100,100,100,550367.8516,178742.8906,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.1162313,4.93065,900525.5,605823.9375,612293.9375,739993.8125,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.1162313,4.93065,361846.125,313575.6875,319890.1563,312301.375,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.1191508,5.313483333,245907.4063,182892.5156,321134.8125,209349.125,463714.2813,444124.5313,525285.5,524402.875,100,100,7,C34H16O2;C34H16O2,-0.554093389021068;-0.554093389021068,-4.36604878318186;-4.36604878318186,-4.92014217220293;-4.92014217220293,O=C1c2ccccc2c3ccc4c5ccc6c7ccccc7C(=O)c8ccc(c9ccc1c3c49)c5c68;O=C1c2ccccc2c3ccc4c5ccc6C(=O)c7ccccc7c8ccc(c9ccc1c3c49)c5c68,3209;3641,[M+CH2O2-H]-;[M+CH2O2-H]-,0;0,0,0;0,1;1,0;0,-3.92014217220293;-3.92014217220293,0
503.1530355,5.4532,605523.0186,630135.3311,411539.1748,759290.3936,100,100,100,100,100,100,4,C21H23BrN6O8;C25H33Cl2NO3;C24H31ClN4O5S,0.00750301713611933;-1.02217491206519;-0.0611699597498906,0.00995033085316809;-2.36507902087862;0.00995033085316809,0.267453347989287;-4.38725393294382;-1.05121962889672,CCOC(=O)CC(C)Nc1cc(NC(C)=O)c(cc1OC)N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O;CCC(C)(C)c1ccc(OCC(=O)Nc2cc(Cl)c(C)c(Cl)c2O)c(c1)C(C)(C)CC;CN(C)CCCNC(=O)CC[S](=O)(=O)c1ccc(cc1)N2CCC(=N2)c3ccc(Cl)cc3.OC=O,38865;16157;34697,[M-Br+O]-;[M+Cl]-;[M-H-H2O]-,0;0;0,0,0;0;0,0.5;0;0,0;0;0,0.767453347989287;0;-1.05121962889672,0
503.2179464,6.584916667,100,100,100,100,100,100,104884.375,118820.4844,100,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.3057963,9.426433333,100,100,100,100,220473.7969,308132.0313,100,433452.875,100,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.3742879,8.988533333,100,100,100,100,100,156966.5566,494359.4941,150697.8535,100,84163.88281,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.374115,8.9927,100,100,100,100,520943.8066,333068.9629,766792.5566,810196.8066,100,101489.7969,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.3921204,11.87556667,100,100,100,100,380690.5938,450994.3438,337573.9375,338986.9688,100,401069.0938,6,C29H58O2S2,-0.489205332,0.009950331,-1.479255001,CCCCCCCCCCCCSC(C)(CCC(O)=O)SCCCCCCCCCCCC,11052,[M]-,0,0,0,0.5,0,-0.979255001,0
503.8422343,8.199333333,100,116564.0234,131317.1406,173504.0938,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.2703857,3.713883333,852963.6328,1158267.008,696500.5703,969640.5078,100,100,100,100,100,100,2,C34H36N2O2;C30H35N3O4,-0.00979495921185363;-0.535540993789244,0.00995033085316809;0.00995033085316809,0.000155371641314465;-0.525590662936076,CCCCn1c(C)c(c2ccccc12)C3(OC(=O)c4ccccc34)c5c(C)n(CCCC)c6ccccc56;CC([O-])=O.Cc1ccc(Nc2ccc(NCCC[N+](C)(C)C)c3C(=O)c4ccccc4C(=O)c23)c(C)c1,20606;41004,[M-H]-;[M]-,0;0,0,-0.5;0,0;0.5,0;0,0;-0.025590662936076,0
