"mz","rt","X500_700_Pos_jgu1.mzXML","X500_700_Pos_jgu2.mzXML","X500_700_Pos_jgw1.mzXML","X500_700_Pos_jgw2.mzXML","X500_700_Pos_nju1.mzXML","X500_700_Pos_nju2.mzXML","X500_700_Pos_njw1.mzXML","X500_700_Pos_njw2.mzXML","X500_700_Pos_oju2.mzXML","X500_700_Pos_ojw1.mzXML","formula.pred","SMILES","allscore"
"503.1198425","3.826433333","20881293.1289062","22551827.1289062","21121693.1289062","21982443.1289062","100","100","100","100","100","100","C23H23IN2O","[I-].CCN1C(C=Cc2ccccc12)=Cc3occ(c4ccccc4)[n+]3CC","0"
"503.1198425","3.826433333","20881293.1289062","22551827.1289062","21121693.1289062","21982443.1289062","100","100","100","100","100","100","C22H25ClN2O8","[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+]","0"
"503.2519938","5.149983333","6748790","8310173","3065946.75","3730832.75","100","100","100","100","100","165368.8906","C20H36O13","OCCO.OCCOCCO.OCCOCCOCCO.OC(=O)c1ccc(cc1)C(O)=O","-5.313056273"
"503.2968241","7.385166667","305871.97265625","369185.72265625","443770.03515625","340038.87895625","100","100","100","100","100","100","C24H42N2O9","CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O.OCCCOCCCO.OC(=O)CCCCC(O)=O","0"
"503.2968241","7.385166667","305871.97265625","369185.72265625","443770.03515625","340038.87895625","100","100","100","100","100","100","C23H38N2O8","CC(CCNC(=O)OCCOC(=O)C(C)=C)CC(C)(C)CNC(=O)OCCOC(=O)C(C)=C","0"
"503.2968241","7.385166667","305871.97265625","369185.72265625","443770.03515625","340038.87895625","100","100","100","100","100","100","C23H38N2O8","OCCO.OC(=O)CCCCC(O)=O.O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O","0"
"503.2968241","7.385166667","305871.97265625","369185.72265625","443770.03515625","340038.87895625","100","100","100","100","100","100","C23H38N2O8","CC(CCNC(=O)OCCOC(=O)C(C)=C)CC(C)(C)CNC(=O)OCCOC(=O)C(C)=C","0"
"503.2968241","7.385166667","305871.97265625","369185.72265625","443770.03515625","340038.87895625","100","100","100","100","100","100","C34H32N2","C(N(Cc1ccccc1)c2cccc(c2)N(Cc3ccccc3)Cc4ccccc4)c5ccccc5","-1.54771349094014"
"503.2972616","5.2242","100","117124.22265625","100","136933.87895625","100","100","100","100","100","2972672.75","C34H32N2","C(N(Cc1ccccc1)c2cccc(c2)N(Cc3ccccc3)Cc4ccccc4)c5ccccc5","-3.51677450882703"
"503.2972616","5.2242","100","117124.22265625","100","136933.87895625","100","100","100","100","100","2972672.75","C24H42N2O9","CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O.OCCCOCCCO.OC(=O)CCCCC(O)=O","-4.60021229528449"
"503.3499146","9.81815","100","100","100","100","1044902.125","1054047.25","2170087.75","1194133.625","100","52010.23438","C32H48O3","O=C(CCCCCCCCCCCCCCCCCc1ccccc1)OCCOc2ccccc2","0"
"503.3499146","9.81815","100","100","100","100","1044902.125","1054047.25","2170087.75","1194133.625","100","52010.23438","C32H48O3","CCCCCCCCCCCCCCOc1ccc(cc1)C(=O)Oc2ccc(CC(C)CC)cc2","0"
"503.4656881","10.61083333","100","100","100","100","100","100","100","100","1056233.625","241473.1875","C33H56O2","CCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CC=C2C1)[C@H](C)CCCC(C)C","-0.479046234"
"504.3256531","8.074983333","269309.892578125","106282.080078125","100","100","3741408.95507812","3562932.45507812","1523581.20507812","2994162.70507812","8040574.70507812","12955070","C25H42O8","CCCCOC(=O)C=C.CCCCC(CC)COC(=O)C=C.CC(=O)OC=C.OC(=O)C=C","-5.92156653"
"504.3368937","3.65385","6209632.22753906","6259470.22753906","5508933.72753906","5766613.72753906","100","123320.836939062","100","100","100","275130.5313","C22H46O11","CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)COCC(CO)(CO)CO","-4.90737479212124"
"504.3368937","3.65385","6209632.22753906","6259470.22753906","5508933.72753906","5766613.72753906","100","123320.836939062","100","100","100","275130.5313","C24H42N2O7","CCC(CO)(CO)CO.CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O.O=C2CCCCCO2","-5.93842990882366"
"504.3391317","7.378233333","130373.14450625","100","292980.47270625","211119.01950625","779121.50390625","427893.69140625","459767.84770625","317304.28520625","100","100","C22H47NO8S","CCCCCCCCCC(CCCCCCCC(O)=O)O[S](O)(=O)=O.OCCNCCO","-0.0168698111300998"
"504.3391317","7.378233333","130373.14450625","100","292980.47270625","211119.01950625","779121.50390625","427893.69140625","459767.84770625","317304.28520625","100","100","C30H46O6","CC(C)C1CC[C@H]2C(CC[C@H]3[C@](C)(CO)CCC[C@]23C)C1.OCCO.O=C4OC(=O)c5ccccc45","-4.51812622976609"
"504.4615275","7.031833333","374657.701221875","271586.888721875","379766.794921875","319364.607421875","366990.169921875","450896.607421875","188257.513721875","354104.138721875","100","100","C30H63O3P","CCCCCCCCCCOP(OCCCCCCCCCC)OCCCCCCCCCC","0"
"504.4615275","7.031833333","374657.701221875","271586.888721875","379766.794921875","319364.607421875","366990.169921875","450896.607421875","188257.513721875","354104.138721875","100","100","C30H63O3P","CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OCCCCCCCC(C)C","0"
"504.4615275","7.031833333","374657.701221875","271586.888721875","379766.794921875","319364.607421875","366990.169921875","450896.607421875","202111.498021875","354104.138721875","100","100","C30H63O3P","CCCCCCCCCCOP(OCCCCCCCCCC)OCCCCCCCCCC","0"
"504.4615275","7.031833333","374657.701221875","271586.888721875","379766.794921875","319364.607421875","366990.169921875","450896.607421875","202111.498021875","354104.138721875","100","100","C30H63O3P","CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OCCCCCCCC(C)C","0"
"504.4694621","10.61083333","100","100","100","100","100","100","100","100","401006.1563","69918.28125","C33H56O2","CCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CC=C2C1)[C@H](C)CCCC(C)C","-5.020486428"
"505.0725301","6.04575","6338158.2734375","5351911.2734375","3943155.2734375","7467406.7734375","100","100","100","100","100","974848.1875","C21H16N2O7S2","Cc1ccc(cc1)[S](=O)(=O)Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S](O)(=O)=O","-4.829480381"
"505.1618551","6.290083333","485766.7813","342950.6563","206054.5469","255912.1875","421084.4063","473914.2188","356606.2813","448133.3438","476269.7813","685673.1875","C26H29ClO8","CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3.O=C4OC(=O)C=C4","0"
"505.1618551","6.290083333","485766.7813","342950.6563","206054.5469","255912.1875","421084.4063","473914.2188","356606.2813","448133.3438","476269.7813","685673.1875","C34H17NO2","Nc1ccc2C(=O)c3ccc4c5ccc6C(=O)c7ccccc7c8ccc(c9ccc(c2c1)c3c49)c5c68","0"
"505.1670125","5.4254","1901284.625","1931608","2188293","2107269.5","177264.5313","115389.5703","128830.7422","121792.3359","104138.6172","100","C24H31ClN4O5S","CN(C)CCCNC(=O)CC[S](=O)(=O)c1ccc(cc1)N2CCC(=N2)c3ccc(Cl)cc3.OC=O","0"
"505.1670125","5.4254","1901284.625","1931608","2188293","2107269.5","177264.5313","115389.5703","128830.7422","121792.3359","104138.6172","100","C24H25ClN4O3S","CCN(Cc1ccccc1)c2cccc(NC(=O)CN=Nc3ccc(cc3Cl)[S](C)(=O)=O)c2","-4.24013799178901"
"505.1618551","6.290083333","485766.7813","529231.1875","365463.0938","385948","421084.4063","473914.2188","356606.2813","448133.3438","378112.7188","685673.1875","C26H29ClO8","CC(=C)C(O)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3.O=C4OC(=O)C=C4","0"
"505.1618551","6.290083333","485766.7813","529231.1875","365463.0938","385948","421084.4063","473914.2188","356606.2813","448133.3438","378112.7188","685673.1875","C34H17NO2","Nc1ccc2C(=O)c3ccc4c5ccc6C(=O)c7ccccc7c8ccc(c9ccc(c2c1)c3c49)c5c68","0"
"505.1670125","5.4254","1901284.625","1931608","2188293","2107269.5","177264.5313","115389.5703","128830.7422","121792.3359","104138.6172","100","C24H31ClN4O5S","CN(C)CCCNC(=O)CC[S](=O)(=O)c1ccc(cc1)N2CCC(=N2)c3ccc(Cl)cc3.OC=O","0"
"505.1670125","5.4254","1901284.625","1931608","2188293","2107269.5","177264.5313","115389.5703","128830.7422","121792.3359","104138.6172","100","C24H25ClN4O3S","CCN(Cc1ccccc1)c2cccc(NC(=O)CN=Nc3ccc(cc3Cl)[S](C)(=O)=O)c2","-4.21720036603448"
"505.1857707","6.030866667","296431.5313","386013.9063","242243.4688","230356.8438","115304.2109","100","100","140866.1094","100","3424573.5","C23H32N6O4S2","CCN(CC[N+](C)(C)C)c1ccc(N=Nc2snc(n2)c3ccccc3)c(C)c1.CO[S]([O-])(=O)=O","0"
"505.1857707","6.030866667","296431.5313","386013.9063","242243.4688","230356.8438","115304.2109","100","100","140866.1094","100","3424573.5","C22H28N6O6S","CCN(CCOC(=O)c1ccccc1)c2ccc(cc2)N=Nc3nn(C)c[n+]3C.CO[S]([O-])(=O)=O","-2.77164540346177"
"505.2748413","3.020833333","966904.466796875","1508288.09179688","898946.341796875","1016879.59179688","100","100","100","100","100","100","C27H36ClN3O3","CCCCCCCCOC(=O)CCc1cc(n2nc3ccc(Cl)cc3n2)c(O)c(c1)C(C)(C)C","-2.08885293656581"
"505.2748413","3.020833333","966904.466796875","1508288.09179688","898946.341796875","1016879.59179688","100","100","100","100","100","100","C27H36ClN3O3","CCCCC(CC)COC(=O)CCc1cc(n2nc3ccc(Cl)cc3n2)c(O)c(c1)C(C)(C)C","-2.08885293656581"
"505.3254089","7.8966","100","100","100","100","3648398","4798228","1720173.375","4241102","1457817.125","2308029.75","C31H38N2O3","CCN(CC)C1=C[C@@H]2Oc3cc(N(CC)CC)c(C)cc3C(=C2C=C1C)c4ccccc4C(=O)OC","-1.479111337"
"505.3405151","8.846316667","100","100","100","100","2557273.82226562","1811231.32226562","501348.166065625","1162904.82226562","100","100","C22H46O11","CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)COCC(CO)(CO)CO","-4.990144154"
