"mz","rt","X500_700_Neg_jgu1.mzXML","X500_700_Neg_jgu2.mzXML","X500_700_Neg_jgw1.mzXML","X500_700_Neg_jgw2.mzXML","X500_700_Neg_nju1.mzXML","X500_700_Neg_nju2.mzXML","X500_700_Neg_njw1.mzXML","X500_700_Neg_njw2.mzXML","X500_700_Neg_oju2.mzXML","X500_700_Neg_ojw1.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","chracaterscore","ionmodescore","adductscore","MS2score","allscore","temp.scorevalues"
502.856170654297,1.195275,53765.328125,29073.751953125,38904.1640625,37389.79296875,152289.3125,158169.671875,145563.71875,140649.75,197434.671875,148485.609375,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
502.892283121745,6.41206666666667,100,100,100,100,100,100,100,100,733648.25,178742.890625,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
502.893798828125,0.956815,131864.3125,96671.6015625,154735.75,112024.4765625,341333.375,304582.71875,250952.171875,303628.03125,340884.1875,270326.1875,5,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
502.893798828125,0.956815,131864.3125,96671.6015625,154735.75,146693.625,341333.375,304582.71875,250952.171875,303628.03125,340884.1875,270326.1875,5,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.116231282552,4.93065,900525.5,605823.9375,612293.9375,739993.8125,11998.5458984375,100,100,100,100,100,1,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.116231282552,4.93065,361846.125,313575.6875,319890.15625,312301.375,41374.0390625,23077.38671875,78322.0859375,97262.5625,24705.5078125,100,1,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.119150797526,5.31348333333333,245907.40625,182892.515625,321134.8125,209349.125,463714.28125,444124.53125,525285.5,524402.875,24705.5078125,100,7,"C34H16O2;C34H16O2","-0.554093389021068;-0.554093389021068","-4.36604878318186;-4.36604878318186","-4.92014217220293;-4.92014217220293","O=C1c2ccccc2c3ccc4c5ccc6c7ccccc7C(=O)c8ccc(c9ccc1c3c49)c5c68;O=C1c2ccccc2c3ccc4c5ccc6C(=O)c7ccccc7c8ccc(c9ccc1c3c49)c5c68","3209;3641","[M+CH2O2-H]-;[M+CH2O2-H]-","0;0",0,"0;0","1;1","0;0","-3.92014217220293;-3.92014217220293",0
503.153035481771,5.4532,629319.8125,653932.125,435335.96875,783087.1875,100,100,100,100,100,100,4,"C21H23BrN6O8;C25H33Cl2NO3;C24H31ClN4O5S","0.00750301713611933;-1.02217491206519;-0.0611699597498906","0.00995033085316809;-2.36507902087862;0.00995033085316809","0.267453347989287;-4.38725393294382;-1.05121962889672","CCOC(=O)CC(C)Nc1cc(NC(C)=O)c(cc1OC)N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O;CCC(C)(C)c1ccc(OCC(=O)Nc2cc(Cl)c(C)c(Cl)c2O)c(c1)C(C)(C)CC;CN(C)CCCNC(=O)CC[S](=O)(=O)c1ccc(cc1)N2CCC(=N2)c3ccc(Cl)cc3.OC=O","38865;16157;34697","[M-Br+O]-;[M+Cl]-;[M-H-H2O]-","0;0;0",0,"0;0;0","0.5;0;0","0;0;0","0.767453347989287;0;-1.05121962889672",0
503.217946370443,6.58491666666667,100,100,100,100,51212.171875,88766.6328125,104884.375,118820.484375,100,100,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.305796305339,9.42643333333333,100,100,100,100,220473.796875,308132.03125,90588.5546875,433452.875,100,100,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.354746500651,9.65786666666667,100,100,100,100,92689.46875,97220.140625,107510.984375,122208.46875,100,100,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.374287923177,8.98853333333333,100,100,100,100,123155.53125,184812.8125,522205.75,178544.109375,100,84163.8828125,7,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.374114990234,8.9927,100,100,100,100,548790.0625,360915.21875,794638.8125,838043.0625,100,101489.796875,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.392120361328,11.8755666666667,100,100,100,39020.69921875,380690.59375,450994.34375,337573.9375,338986.96875,100,401069.09375,6,"C29H58O2S2","-0.489205331567466","0.00995033085316809","-1.4792550007143","CCCCCCCCCCCCSC(C)(CCC(O)=O)SCCCCCCCCCCCC","11052","[M]-","0",0,"0","0.5","0","-0.9792550007143",0
503.84223429362,8.19933333333333,86483.625,116564.0234375,131317.140625,173504.09375,100,100,100,100,100,100,4,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.270385742188,3.71388333333333,891703.625,1197007,735240.5625,1008380.5,100,100,100,100,100,100,2,"C34H36N2O2;C30H35N3O4","-0.00979495921185363;-0.535540993789244","0.00995033085316809;0.00995033085316809","0.000155371641314465;-0.525590662936076","CCCCn1c(C)c(c2ccccc12)C3(OC(=O)c4ccccc34)c5c(C)n(CCCC)c6ccccc56;CC([O-])=O.Cc1ccc(Nc2ccc(NCCC[N+](C)(C)C)c3C(=O)c4ccccc4C(=O)c23)c(C)c1","20606;41004","[M-H]-;[M]-","0;0",0,"-0.5;0","0;0.5","0;0","0;-0.025590662936076",0
504.871846516927,1.161955,73785.171875,34545.203125,91975.890625,74146.9765625,131129.515625,147431.65625,148238.171875,149234.453125,131630.8125,146704.640625,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
502.892272949219,6.44083333333333,100,100,100,100,100,100,100,100,1361784.5,446793.5625,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
502.955627441406,8.27073333333333,100,84491.3203125,51062.546875,119264.3984375,100,100,147461.25,492198.8125,100,114085.25,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
505.14794921875,7.0959,527514.4375,250773.3125,215708.890625,281232.03125,100,100,100,100,100,100,1,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
503.218444824219,6.52645,69236.5078125,100,100,100,213219.34375,205586.6875,321679.84375,326726.40625,212590.171875,21223.8828125,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
505.220581054688,5.85143333333333,103020.0234375,100,59866.640625,80161.7734375,71998.28125,63323.9296875,95311.0625,112790.21875,149015.34375,171357.875,10,"C24H38O9","-0.0781990169750662","0.00995033085316809","-0.0682486861218981","COC(=O)C(C)=C.CC(O)COC(=O)C(C)=C.C=CC(=O)OCCCCCCOC(=O)C=C","28552","[M+Cl]-","0",0,"-0.5","0","0","0",0
