mz,rt,X700_900_Neg_jgu1.mzXML,X700_900_Neg_jgu2.mzXML,X700_900_Neg_jgw1.mzXML,X700_900_Neg_jgw2.mzXML,X700_900_Neg_nju1.mzXML,X700_900_Neg_nju2.mzXML,X700_900_Neg_njw1.mzXML,X700_900_Neg_njw2.mzXML,X700_900_Neg_oju2.mzXML,X700_900_Neg_ojw1.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,temp.scorevalues
702.5443115,11.42436667,493224.4688,200853.7656,100,222265.3125,711437.125,697882.5,768371.4375,808208.1875,100,247379.3438,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.5801595,9.988366667,81908.39063,92139.44531,775691.5625,353594,605087.8125,441477.0313,1375665.5,606398.4375,246450.8125,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.5921631,11.05656667,4158025.5,4350386.5,1932563.125,1018392.688,100,100,81461.82813,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.5921631,10.94578333,4158025.5,4350386.5,4312507,4788403,100,100,185398.4531,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.6160482,9.678233333,97654.95313,123406.8906,2793739.25,2741452,1529348.75,1369935.75,1050751.125,1420719.125,100,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.6172078,9.63275,97654.95313,123406.8906,2355699.25,2741452,1408507,2022256.375,1277776.25,793143.875,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.4307658,6.744883333,100,100,100,100,100,100,1038588.5,100,198803,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.4794922,7.0677,100,100,100,100,100,100,100,100,515870.7813,541903.8125,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.5015462,7.65475,100,100,100,100,76154.73438,87595.46094,499549.2188,69485.30469,100,221770.6094,7,C45H68NO3P,-0.600488153,0.009950331,-0.733394965,CCC(C)(C)c1ccc(OP(Oc2ccc(cc2)C(C)(C)CC)Oc3ccc(cc3)C(C)(C)CC)cc1.C4CCC(CC4)NC5CCCCC5,36657,[M]-,0,0,0,0.5,0,-0.233394965,0
703.5152588,8.082083333,873934.125,381386.1563,372579.25,557240.75,100,43462.13672,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.5479126,11.41855,230244.4844,90937.5625,100,141977.5469,201959.7188,268802,388528.625,327840.9688,100,150805.7969,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.5831909,10.10525,76260.52344,135002.5781,406672.5313,147372.8438,181108.5313,192108.25,656512.875,345102.75,100,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.5831909,10.10525,100,100,406672.5313,100,244021.5938,192108.25,598261.875,345102.75,100,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.5956421,11.05656667,1672584.125,1886048,923266.125,436051.125,100,39895.36719,59461.63281,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.5956624,10.94578333,1672584.125,1886048,1767107.25,2188285.5,100,100,79271.53906,118808.8359,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
