mz,rt,X700_900_Pos_jgu1.mzXML,X700_900_Pos_jgu2.mzXML,X700_900_Pos_jgw1.mzXML,X700_900_Pos_jgw2.mzXML,X700_900_Pos_nju1.mzXML,X700_900_Pos_nju2.mzXML,X700_900_Pos_njw1.mzXML,X700_900_Pos_njw2.mzXML,X700_900_Pos_oju2.mzXML,X700_900_Pos_ojw1.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,temp.scorevalues
702.5190633,9.05885,47332012,55357624,54372148,38814340,277959.1875,232914.1406,169611.1563,410691.375,100,113641.5859,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.5342,7.638516667,793106.375,1771505.5,1794096.125,1072595.5,11931986,7452881,6892633.5,5204452.5,10045276,7758147.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.5342,7.638516667,793106.375,1771505.5,1794096.125,1072595.5,11931986,7452881,6892633.5,5204452.5,6373659,6833563.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.5613403,7.044133333,2043314.375,1345289.875,1105012.375,1304685.75,54558.81641,46094.66797,100,64451.44922,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.599589,11.9121,100,100,100,100,168207.5156,161314.5625,421039.9688,667724.4375,100,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.6122437,7.664666667,808933.3125,220001.7813,350694.0938,898786.5,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.6184082,8.599133333,100,100,100,100,3500850.25,4033618.5,564220.5,3316697.5,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.6489665,8.5977,1028687.625,1958265.125,1498117.625,3409015.5,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.8019002,11.02676667,256043.1406,161167.0156,318331.0313,167216.7813,100,100,100,54396.65625,100,35720.97266,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.00059,10.0645,526795.25,595989.5,885047.875,870785.375,100,100,228262.2031,100,100,79547.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.0145467,10.38516667,463819,532671.625,903953.9375,728893.625,100,100,100,100,100,100,3,C26H28BrIN2O2S2,-0.669196591,-3.68808593,-5.357282521,[I-].CCN1C(Sc2cc(C)c(C)cc12)=CC(CC)=Cc3sc4ccc(Br)cc4[n+]3CCC(O)=O,33913,[M+CH3OH+H]+,0,0,0,0,0,-5.357282521,0
