"mz","rt","X300_500_Neg_Blank1.mzXML","X300_500_Neg_Blank2.mzXML","X300_500_Neg_JeansA.mzXML","X300_500_Neg_JeansB.mzXML","X300_500_Neg_JeansC.mzXML","X300_500_Neg_JeansD.mzXML","X300_500_Neg_JeansDx.mzXML","X300_500_Neg_JeansE.mzXML","X300_500_Neg_JeansF.mzXML","X300_500_Neg_JeansG.mzXML","X300_500_Neg_JeansGx.mzXML","MeOH_20190615135739.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
303.200256347656,7.12118333333333,100,100,3404.296875,100,86558.2734375,100,100,3309.44018554688,318679.21875,491643.125,206153.890625,100,10,"C14H27NO3","-0.484014473720788","-3.90529914677465","-5.38931362049543","CCCCC(CC)C(=O)NCCCCCC(O)=O","42863","[M+CH2O2-H]-","0","0","0","0",0,"-5.38931362049543"
304.914733886719,0.636528333333333,47738.6171875,44795.6015625,111267.5234375,44283.66015625,40872.296875,49329.2109375,47019.51171875,36085.4296875,36889.02734375,44868.94921875,38585.65234375,37317.3515625,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
305.176127115885,6.12595,73912.421875,129466.3515625,105610.7265625,128426.75,59825.08203125,126346.7109375,166198.515625,109989.8125,111445.921875,92040.5078125,128770.1015625,113376.578125,7,"C18H26O4;C18H26O4;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2","0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674","0.00995033085316809;0.00995033085316809;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852","-0.980719451633365;-0.980719451633365;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173","CCCCCOC(=O)c1ccccc1C(=O)OCCCCC;CCCCCCCCCCOC(=O)c1ccccc1C(O)=O;COc1cc(ccc1O)C2CC3CCC2(C)C3(C)C;COc1cc(ccc1O)C2CC3CC2C(C)(C)C3C;COc1ccc(cc1O)C2CC3CC2C(C)(C)C3C;COc1cccc(C2CC3CC2C(C)(C)C3C)c1O;C[C@@H]1CC[C@@H](C(C)C)[C@@H](C1)OC(=O)c2ccccc2;CC(C)COC(=O)C(C)=C.Cc1ccccc1C=C;COc1ccccc1O.CC2(C)C3CCC(C3)C2=C;COc1c(C=O)c(C)cc2c1C(C)(C)CCC2(C)C","3931;17038;4014;14472;14720;14721;14722;22028;22521;38055","[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","-0.5;0;0;0;0;0;0;0;0;0","1;1;0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0;0;0",0,"0;0.019280548366635;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173"
305.216349283854,6.08648333333333,100,100,100,100,275003.40625,4153.4765625,100,9912.583984375,6631.71533203125,33310.90234375,15857.8935546875,100,5,"C15H33NO6;C15H33NO6;C14H29NO3;C14H29NO3;C14H29NO3","-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974","OCCCOCCN(CCOCCCO)CCOCCCO;COCCOCCN(CCOCCOC)CCOCCOC;CCCCCCCCCC(=O)N(CCO)CCO;CCCCCCCCCC(O)=O.C1COCCN1;CC(C)CCCCCOCCCNCCC(O)=O","21641;35334;390;16226;37520","[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0;0","0;0;0;0;0","0",0,"-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974"
305.216349283854,6.08648333333333,100,100,100,100,393151.6875,4189.9697265625,2972.07568359375,17376.462890625,9324.3828125,9776.072265625,4997.130859375,100,5,"C15H33NO6;C15H33NO6;C14H29NO3;C14H29NO3;C14H29NO3","-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974","OCCCOCCN(CCOCCCO)CCOCCCO;COCCOCCN(CCOCCOC)CCOCCOC;CCCCCCCCCC(=O)N(CCO)CCO;CCCCCCCCCC(O)=O.C1COCCN1;CC(C)CCCCCOCCCNCCC(O)=O","21641;35334;390;16226;37520","[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0;0","0;0;0;0;0","0",0,"-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974"
307.159067789714,5.0669,6782.1181640625,7363.43017578125,8644.96875,13715.271484375,61334.6796875,8238.228515625,5558.119140625,4519.05029296875,248196.5,123588.453125,40885.609375,4635.865234375,9,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
307.195231119792,7.04898333333333,16468.744140625,10734.884765625,9240666,6407192.5,35775508,6266628.5,1175465.375,42469.76171875,8865967,13775270,3425748.25,15328.0380859375,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
307.195271809896,7.33,10930.7373046875,10675.4716796875,9240666,4152419,8402588,6266628.5,875957.8125,23216.14453125,212275.9375,1134923.5,2795575.75,14296.537109375,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
308.19862874349,7.04898333333333,100,100,1514831.75,1070896.125,5970147,969300,192653.5,5890.24853515625,1312804.375,2188113.25,518139.40625,100,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
307.1953125,7.04898333333333,100,100,229539.46875,114935.375,5379940,74996.078125,26804.052734375,3507.39331054688,35397.640625,188664.3125,54463.23828125,100,5,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
