"mz","rt","X100_300_Neg_JeansA.mzXML","X100_300_Neg_JeansB.mzXML","X100_300_Neg_JeansC.mzXML","X100_300_Neg_JeansD.mzXML","X100_300_Neg_JeansDx.mzXML","X100_300_Neg_JeansE.mzXML","X100_300_Neg_JeansF.mzXML","X100_300_Neg_JeansG.mzXML","X100_300_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","allscore"
110.9757512,8.7505,100,100,100,100,100,100,103428.8359875,105105.9609875,100,8,"0","0","0","0","0","0","0","0","0","0","0","0"
113.9262873,7.899833333,100,100,100,100,100,100,232062.71875,100,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
115.9207255,7.899833333,100,100,100,100,100,100,11005818,3247494,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
116.9209798,7.899833333,100,100,100,100,100,100,1367414.625,457850.625,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
118.9241765,7.175383333,100,100,100,146560.15625,100,230519.40625,444444.59375,499767.34375,387192.34375,8,"0","0","0","0","0","0","0","0","0","0","0","0"
128.0353241,0.72515,100,100,100,100,100,100,146150.41801875,100,100,7,"C5H7NO3;C5H9NO4;C5H9NO4;C5H9NO4;C5H9NO4;C5H7NO3;C5H7NO3;C7H8;C7H8;C7H8;C7H11ClO;C7H11ClO","0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;-0.534270619625091;-0.534270619625091;-0.534270619625091;-0.534270619625091;-0.534270619625091","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;-0.524320288771923;-0.524320288771923;-0.524320288771923;-0.524320288771923;-0.524320288771923","OC(=O)C1CCC(=O)N1;NC(CCC(O)=O)C(O)=O;NC(CCC(O)=O)C(O)=O;CCOC(=O)C(C)[N+]([O-])=O;NC(CCC(O)=O)C(O)=O;CC1(C)OC(=O)NC1=O;CCOC(=O)CN=C=O;Cc1ccccc1;C1C2C=CC1C=C2;C","","","","","","",""
128.9285583,7.899833333,100,100,100,100,100,100,107266.37888125,100,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
128.9496155,8.631016667,564184.328125,635985.328125,716227.953125,901758.953125,440367.015625,709019.453125,1286385.203125,1267907.078125,1051557.828125,7,"0","0","0","0","0","0","0","0","0","0","0","0"
128.9494324,7.328383333,100,100,100,100,100,100,115241.171925,100,120104.171925,9,"0","0","0","0","0","0","0","0","0","0","0","0"
132.9002228,7.318816667,100,100,100,100,100,100,557443.8125,439092.9375,235789.9375,7,"0","0","0","0","0","0","0","0","0","0","0","0"
132.9234619,7.899833333,100,100,100,100,100,100,903601.875,389639.375,109308.125,7,"0","0","0","0","0","0","0","0","0","0","0","0"
134.8650462,9.665816667,100,100,100,284106.375,100,100,144952.1875,100,100,4,"0","0","0","0","0","0","0","0","0","0","0","0"
134.8946686,7.318816667,100,100,100,100,100,100,10071406,8889592,5231329,7,"0","0","0","0","0","0","0","0","0","0","0","0"
135.8947856,7.318816667,100,100,100,100,100,100,1106190,910273.25,524785.125,7,"0","0","0","0","0","0","0","0","0","0","0","0"
135.9709727,8.718016667,100,100,100,173147.21875,100,274280.59375,278368.71875,202796.84375,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
136.8916931,7.318816667,100,145798.125,100,100,100,100,3128418.875,2891136.375,1605536.375,7,"0","0","0","0","0","0","0","0","0","0","0","0"
137.8918304,7.318816667,100,100,100,100,100,100,369317.703125,313364.140625,190673.015625,7,"0","0","0","0","0","0","0","0","0","0","0","0"
138.0196381,3.30395,100,100,114276.45700625,100,100,100,100,100,100,3,"C6H5NO3;C6H5NO3;C6H5NO3;C6H4BrNO2;C8H7Cl;C8H7Cl;C8H7Cl;C8H6;C8H9ClO;C8H9ClO;C8H9ClO;C8H9ClO;C8H9ClO","0.0098520836392541;0.0098520836392541;0.0098520836392541;0.0098520836392541;-0.534379521581436;-0.534379521581436;-0.534379521581436;-0.534379521581436;-0.534379521581436;-0.534379521581436;-0.534379521581436;-0.534379521581436;-0.534379521581436","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0198024144924222;0.0198024144924222;0.0198024144924222;0.0198024144924222;-0.524429190728268;-0.524429190728268;-0.524429190728268;-0.524429190728268;-0.524429190728268;-0.524429190728268;-0.524429190728268;-0.524429190728268;-0.524429190728268","Oc1ccc(cc1)[N+]([O-])=O;Oc1ccccc1[N+]([O-])=O;OC(=O)C1=CNC(=O)C=C1;[O-][N+](=O)c1ccccc1Br;Cl\C=C/c1ccccc1;Clc1ccc(C=C)cc1;Cl/C=C/c1ccccc1;C","","","","","","",""
142.9290009,7.899833333,100,100,100,100,100,100,180851.25,100,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
144.9234721,7.899833333,100,100,100,100,100,100,4434110.5,1646647.5,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
145.9236399,7.899833333,100,100,100,100,100,100,400990.5,117752.5,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
146.9218292,7.899833333,100,100,100,100,100,100,152891.171875,100,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
146.9386444,3.496116667,106148.6328625,100,100,100,100,100,100,100,100,1,"0","0","0","0","0","0","0","0","0","0","0","0"
147.9576416,0.87534,100,100,100,100,100,100,131584.536107813,100,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
153.8686015,7.86705,225132.2890625,104091.6640625,100,100,100,100,100,100,100,1,"0","0","0","0","0","0","0","0","0","0","0","0"
153.8686218,7.86705,130542.1953625,100,100,100,100,100,100,100,100,1,"0","0","0","0","0","0","0","0","0","0","0","0"
157.0118663,0.87534,100,100,100,100,100,100,605157.67578125,100,100,7,"0","0","0","0","0","0","0","0","0","0","0","0"
