"mz","rt","Sample with Max Intensity","Formula","SMILES","Match Score"
"303.2002563","7.121183333","100_300_Neg_JeansG.mzXML","C14H27NO3","CCCCC(CC)C(=O)NCCCCCC(O)=O","-5.38931362"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","OCCCOCCN(CCOCCCO)CCOCCCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","COCCOCCN(CCOCCOC)CCOCCOC","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(=O)N(CCO)CCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(O)=O.C1COCCN1","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CC(C)CCCCCOCCCNCCC(O)=O","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","OCCCOCCN(CCOCCCO)CCOCCCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","COCCOCCN(CCOCCOC)CCOCCOC","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(=O)N(CCO)CCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(O)=O.C1COCCN1","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CC(C)CCCCCOCCCNCCC(O)=O","-0.474045003050974"
"309.1532186","5.043216667","100_300_Neg_JeansC.mzXML","C15H21NO3","OC(=O)C=C.C=Cc1ccccc1.C2COCCN2","-4.964184517"
"309.1743368","5.77165","100_300_Neg_JeansF.mzXML","C14H30O5S","CCCCCCCCCCCCOCCO[S](O)(=O)=O","1.01875958231955"
"309.1743368","5.77165","100_300_Neg_JeansF.mzXML","C13H28O3S","CCCCCCCCCCCCC[S](O)(=O)=O","0.0187595823195453"
"309.1743368","5.77165","100_300_Neg_JeansF.mzXML","C17H26N2O","CCN1c2cc(NC(=O)CC)ccc2C(C)CC1(C)C","0"
"309.1746521","5.680033333","100_300_Neg_JeansC.mzXML","C14H30O5S","CCCCCCCCCCCCOCCO[S](O)(=O)=O","-3.353092577"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C16H25NO5","CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O","0.525906218339095"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H18N8","Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2","0.02555029410782"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C16H27NO6","CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C","-0.474093781660905"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H23NO3","CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1","-0.474093781660905"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H23NO3","CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO","-0.474093781660905"
