Formula [M-H]-,Lock
C4H5O3,101.02442
C5H7O3,115.04007
C6H11O2,115.076455
C6H7O3,127.04007
C7H11O2,127.076455
C6H9O3,129.05572
C7H13O2,129.092105
C6H7O4,143.034985
C7H11O3,143.07137
C5H7O5,147.0299
C8H11O3,155.07137
C8H13O3,157.08702
C9H17O2,157.123405
C7H11O4,159.066285
C9H6O3,162.032245
C9H13O3,169.08702
C8H11O4,171.066285
C9H15O3,171.10267
C10H19O2,171.139055
C8H13O4,173.081935
C9H17O3,173.11832
C8H6O5,182.022075
C9H13O4,185.081935
C10H17O3,185.11832
C9H15O4,187.097585
C12H15O2,191.107755
C10H15O4,199.097585
C11H19O3,199.13397
C8H9O6,201.040465
C9H13O5,201.07685
C10H15O5,215.0925
C14H27O2,227.201654
C10H15O6,231.087415
C15H29O2,241.217305
C16H29O2,253.217305
C16H31O2,255.232955
C17H31O2,267.232954
C16H31O3,271.22787
C18H31O2,279.232954
C18H33O2,281.248605
C18H35O2,283.264255
C18H33O3,297.24352
