Lock,,,,POS lock mz from drinking water:,mz,formula,real mz,mz-e,POS lock mz from jeans Round 1:,mz,formula,real mz,mz-e
81.069875,,,,,81.070425,C6H9,81.070425,81.069875,,102.0917,C5H12ON,102.091889,102.091339
93.069875,,,,,93.070425,C7H9,93.070425,93.069875,,102.128,C6H16N,102.128274,102.127724
102.091339,,,,,105.070425,C8H9,105.070425,105.069875,,103.1249,C5H15N2,103.123523,103.122973
102.127724,,,,,139.11229,C9H15O,139.11229,139.11174,,103.1342,C6H17N,103.136099,103.135549
103.122973,,,,,151.042199,C11H5N,151.042199,151.041649,,104.1285,C5H16N2,104.131348,104.130798
103.135549,,,,,171.138505,C10H19O2,171.138505,171.137955,,,,,
104.130798,,,,,413.26696,C24H35O3N3,413.267842,413.267292,,,,,
105.069875,,,,,445.120583,C16H21O11N4,445.120686,445.120136,,,,,
139.11174,,,,,,,,,,,,,
151.041649,,,,,,,,,,,,,
171.137955,,,,,,,,,,,,,
413.267292,,,,,,,,,,,,,
445.120136,,,,,,,,,,,,,
