mz,minintensity,sampleID,IsUnique,,Formula,ProdList,+e-,-10 ppm,+10 ppm,,Match found?,Total matches
100.925,2871.993896,1,FALSE,,C3H4O3N,102.019119,102.019669,102.0186488,102.0206892,,0,30
100.925,4140.095703,2,FALSE,,C5H9O3,117.05517,117.05572,117.0545494,117.0568906,,3,
100.925,3354.100098,3,FALSE,,C7H5O2,121.028955,121.029505,121.0282947,121.0307153,,0,
100.925,5120.543457,4,FALSE,,C5H5O4,129.018785,129.019335,129.0180448,129.0206252,,0,
100.925,5523.775391,5,FALSE,,C6H9O3,129.05517,129.05572,129.0544294,129.0570106,,9,
100.925,5434.539063,6,FALSE,,C5H7O4,131.034435,131.034985,131.0336747,131.0362953,,9,
100.925,5964.447266,7,FALSE,,C6H11O3,131.07082,131.07137,131.0700593,131.0726807,,0,
100.925,4692.231445,8,FALSE,,C7H5O3,137.02387,137.02442,137.0230498,137.0257902,,0,
100.925,6260.060059,9,FALSE,,C6H4O3N,138.019119,138.019669,138.0182888,138.0210492,,7,
100.932,4047.625488,1,FALSE,,C6H7O4,143.034435,143.034985,143.0335547,143.0364153,,9,
100.932,9189.71582,2,FALSE,,C7H11O3,143.07082,143.07137,143.0699393,143.0728007,,9,
100.932,12041.82813,3,FALSE,,C6H9O4,145.050085,145.050635,145.0491845,145.0520855,,9,
100.932,12676.1123,4,FALSE,,C7H13O3,145.08647,145.08702,145.0855691,145.0884709,,9,
100.932,15567.80664,5,FALSE,,C5H10O4N,148.060984,148.061534,148.0600534,148.0630146,,0,
100.932,11542.09766,6,FALSE,,C8H7O3,151.03952,151.04007,151.0385596,151.0415804,,8,
100.932,14627.30371,7,FALSE,,C8H11O3,155.07082,155.07137,155.0698193,155.0729207,,0,
100.932,15468.85352,8,FALSE,,C8H13O3,157.08647,157.08702,157.0854491,157.0885909,,9,
100.932,15152.16992,9,FALSE,,C9H17O2,157.122855,157.123405,157.1218338,157.1249762,,0,
101.023,2996.612305,1,FALSE,,C8H5O4,165.018785,165.019335,165.0176848,165.0209852,,0,
101.023,2905.459229,2,FALSE,,C9H11O3,167.07082,167.07137,167.0696993,167.0730407,,0,
101.023,3790.556885,3,FALSE,,C9H13O3,169.08647,169.08702,169.0853291,169.0887109,,9,
101.023,4465.506348,4,FALSE,,C8H11O4,171.065735,171.066285,171.0645743,171.0679957,,0,
101.023,3179.477783,5,FALSE,,C9H15O3,171.10212,171.10267,171.100959,171.104381,,9,
101.023,2985.107178,6,FALSE,,C10H19O2,171.138505,171.139055,171.1373436,171.1407664,,0,
101.023,3058.242188,7,FALSE,,C7H9O5,173.045,173.04555,173.0438195,173.0472805,,9,
101.023,3166.893066,8,FALSE,,C8H13O4,173.081385,173.081935,173.0802042,173.0836658,,9,
101.023,3189.713623,9,FALSE,,C7H11O5,175.06065,175.0612,175.0594494,175.0629506,,6,
102.018,2235.68042,2,FALSE,,C9H11O4,183.065735,183.066285,183.0644543,183.0681157,,0,
102.018,2726.524658,5,FALSE,,C9H13O4,185.081385,185.081935,185.0800842,185.0837858,,9,
102.018,2633.017334,6,FALSE,,C8H11O5,187.06065,187.0612,187.0593294,187.0630706,,0,
102.018,2816.752441,7,FALSE,,C9H15O4,187.097035,187.097585,187.095714,187.099456,,9,
102.018,2604.151123,8,FALSE,,C6H12O6N,194.066464,194.067014,194.0650733,194.0689547,,3,
103.039,3280.019775,1,FALSE,,C10H13O4,197.081385,197.081935,197.0799642,197.0839058,,9,
103.039,2186.040771,2,FALSE,,C9H11O5,199.06065,199.0612,199.0592094,199.0631906,,6,
103.039,2888.667236,3,FALSE,,C10H15O4,199.097035,199.097585,199.095594,199.099576,,9,
103.039,3731.959717,4,FALSE,,C9H13O5,201.0763,201.07685,201.0748392,201.0788608,,8,
103.039,2859.788086,5,FALSE,,C10H17O4,201.112685,201.113235,201.1112239,201.1152461,,6,
103.039,2892.557373,6,FALSE,,C11H15O4,211.097035,211.097585,211.095474,211.099696,,9,
103.039,2436.053955,7,FALSE,,C10H13O5,213.0763,213.07685,213.0747192,213.0789808,,0,
103.039,2499.612061,8,FALSE,,C10H15O5,215.09195,215.0925,215.0903491,215.0946509,,9,
103.039,2391.101807,9,FALSE,,C11H19O4,215.128335,215.128885,215.1267337,215.1310363,,0,
111.044,3161.957275,1,FALSE,,C12H13O4,221.081385,221.081935,221.0797242,221.0841458,,1,
111.044,2725.706787,2,FALSE,,C11H13O5,225.0763,225.07685,225.0745992,225.0791008,,0,
111.044,2455.017822,4,FALSE,,C12H19O4,227.128335,227.128885,227.1266137,227.1311563,,0,
111.044,2680.457764,5,FALSE,,C12H15O5,239.09195,239.0925,239.0901091,239.0948909,,1,
111.044,3080.789063,6,FALSE,,C13H19O4,239.128335,239.128885,239.1264937,239.1312763,,1,
111.044,2611.818115,7,FALSE,,C12H17O5,241.1076,241.10815,241.1057389,241.1105611,,9,
111.044,2327.714844,8,FALSE,,C14H21O4,253.143985,253.144535,253.1420036,253.1470664,,1,
111.044,2389.655518,9,FALSE,,C16H31O2,255.232405,255.232955,255.2304027,255.2355073,,0,
112.998,14832.48242,1,FALSE,,C11H15O7,259.08178,259.08233,259.0797392,259.0849208,,0,
112.998,14179.76855,2,FALSE,,C12H25O4S,265.147357,265.147907,265.1452555,265.1505585,,0,
112.998,16255.08691,3,FALSE,,C14H21O5,269.1389,269.13945,269.1367586,269.1421414,,0,
112.998,16126.25781,4,FALSE,,C18H35O2,283.263705,283.264255,283.2614224,283.2670876,,0,
112.998,14682.90918,5,FALSE,,C14H21O7,301.12873,301.12928,301.1262687,301.1322913,,0,
112.998,17782.45703,6,FALSE,,C14H19O8,315.107995,315.108545,315.1053939,315.1116961,,0,
112.998,14221.84277,7,FALSE,,C15H23O7,315.14438,315.14493,315.1417786,315.1480814,,0,
