"mz","rt","X500_700_Neg_JeansA.mzXML","X500_700_Neg_JeansB.mzXML","X500_700_Neg_JeansC.mzXML","X500_700_Neg_JeansD.mzXML","X500_700_Neg_JeansDx.mzXML","X500_700_Neg_JeansE.mzXML","X500_700_Neg_JeansF.mzXML","X500_700_Neg_JeansG.mzXML","X500_700_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
504.354573567708,4.47685,100,100,443680.21875,7615.93505859375,100,100,4780.99365234375,4266.21337890625,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
505.357950846354,4.47685,100,100,132705.5,4687.982421875,100,100,3705.69750976562,100,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
506.36952718099,5.89495,100,152434.921875,776492.1875,242960.875,50123.91796875,189054.65625,40642.53125,29991.859375,15369.552734375,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
506.889099121094,7.30108333333333,100,100,100,100,100,100,86644.34375,114915.1015625,32631.30078125,8,"C16H13N3S7S2","-0.726386462824401","-4.53973861069221","-5.26612507351661","Nc1ccc2C(=S)C(=N/Nc3ccccc3[S](S)(=S)=S)\C(=Cc2c1)[S](S)(=S)=S","14379","[M+Cl]-","0","-0.5","0","0",0,"0"
509.239959716797,6.42365,77364.4765625,59575.3359375,175723.34375,62473.671875,47989.14453125,47215.8828125,208849.640625,49635.80859375,50004.28125,7,"C28H47NS4;C28H46S4;C28H46S4;C28H46S4;C28H46S4;C28H46S4;C28H46S4","NA;-0.0102740529240469;-0.0102740529240469;-0.0102740529240469;-0.0102740529240469;-0.0102740529240469;-0.0102740529240469","0.00995033085316809;-4.55862343683365;-4.55862343683365;-4.55862343683365;-4.55862343683365;-4.55862343683365;-4.55862343683365","-0.00032372207087885;-4.5688974897577;-4.5688974897577;-4.5688974897577;-4.5688974897577;-4.5688974897577;-4.5688974897577","CCCCCCCCCCCCCCCCCCNc1cc(cc(c1)C(=S)SC)C(=S)SC;CCCCCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCCCC;CC(C)CCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCC(C)C;CC(C)CCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCC(C)C;CCCCC(CCC)CCSC(=S)c1ccccc1C(=S)SCC(CCC)CC(C)CC;CCCCCCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCCC;CC(C)CCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCC(C)C","23342;1296;18193;29008;29013;46137;46687","[M-H-H2O]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-","0","0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5","0;1;1;1;1;1;1","0",0,"-0.00032372207087885;0;0;0;0;0;0"
509.420379638672,7.89076666666667,55880.765625,96679.1015625,111555.125,104760.65625,46415.453125,42636.7890625,97217.3203125,115921.5234375,61405.84375,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
511.167419433594,7.25221666666667,29746.701171875,14569.7353515625,106181.640625,44024.17578125,12486.583984375,100,9044.1240234375,8242.578125,7113.1611328125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
511.363932291667,7.85448333333333,8849.2353515625,9838.28125,11158.0576171875,15437.2255859375,4608.28857421875,4938.8564453125,193649.21875,141232.53125,51470.234375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
513.310343424479,9.66028333333333,1167507.375,560839.5625,3652126.75,1072449.5,603705.4375,159502.234375,1959277.375,1359156.5,684924.375,3,"C25H53ClN2S3;C33H41N3S","-0.601210502091343;-0.547590205453873","0.00995033085316809;-4.52554512977554","-1.06494438176449;-6.07313533522941","[Cl-].CCCCCCCCCCCCCCCCCC(=S)NCCC([NH3+])(CCS)CCS;CCNc1ccc(c2ccccc12)C(S)(c3ccc(cc3)N(CC)CC)c4ccc(cc4)N(CC)CC","35567;449","[M]-;[M]-",";0;0","0;0","0.5;0.5","1;0",0,"0.43505561823551;-5.57313533522941"
513.379516601562,8.47435,4883.45263671875,23908.814453125,4406.57177734375,16189.1357421875,100,12734.9873046875,118880.2109375,78152.9609375,35670.765625,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
514.313456217448,9.68993333333333,323059.875,166227.109375,1007798.9375,272236.1875,196474.484375,42210.375,526709.8125,378036.28125,184041.4375,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
515.130594889323,5.68015,110081.2109375,73503.8203125,52641.56640625,87179.390625,82193.2109375,93739.7109375,151516.90625,80827.1171875,113637.65625,7,"C30H27ClN2S2;C30H26N2S2;C30H26N2S2","-0.627055463049808;-0.627055463049808;-0.627055463049808","-3.65753130707192;-4.0188563358195;-4.0188563358195","-4.28458677012173;-4.64591179886931;-4.64591179886931","[Cl-].CCN1/C(Sc2ccc3ccccc3c12)=C/C(C)=Cc4sc5ccc6ccccc6c5[n+]4CC;Cc1ccc(Nc2ccc(Nc3ccc(C)cc3C)c4C(=S)c5ccccc5C(=S)c24)c(C)c1;CCc1ccc(Nc2cccc3C(=S)c4c(Nc5ccc(CC)cc5)cccc4C(=S)c23)cc1","5552;25188;38663","[M-H]-;[M+Cl]-;[M+Cl]-","0","-0.5;-0.5;-0.5","1;0;0","0",0,"0;0;0"
515.316487630208,9.68993333333333,34006.015625,19284.537109375,108708.71875,48705.28515625,18884.345703125,7356.9765625,85124.75,45740.75,19120.42578125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
516.353983561198,5.30935,100,27216.201171875,180419.84375,100,100,100,19857.740234375,13327.5234375,5680.4443359375,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
518.369710286458,5.66046666666667,100,1332123.375,3626744.5,144840.1875,30673.947265625,8025.58740234375,688049.1875,251422.640625,83484.03125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
519.373067220052,5.66046666666667,100,414663.6875,1143205,37727.15234375,8501.4375,100,200297.75,93983.875,27652.306640625,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
520.375895182292,5.66046666666667,100,77048.6484375,201090.859375,9523.55859375,100,100,17756.921875,10232.052734375,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
519.373046875,5.66046666666667,100,77048.6484375,201090.859375,9523.55859375,100,100,25545.001953125,10232.052734375,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
520.385477701823,6.18818333333333,18538.67578125,1023188.6875,3185848.25,3101609.75,755001.8125,826305.75,1280610.375,319547.3125,154515.375,3,"C30H60S2;C30H60S2;C30H60S2;C30H60S2","-0.577880026555389;-0.577880026555389;-0.577880026555389;-0.577880026555389","-4.52969020384226;-4.52969020384226;-4.52969020384226;-4.52969020384226","-5.10757023039765;-5.10757023039765;-5.10757023039765;-5.10757023039765","CCCCCCCCCCCCCCCCSC(=S)CCCCCCCCCCCCC;CCCCCCCCCCCCCCCC(=S)SCCCCCCCCCCCCCC;CCCCCCCCCCCCCCCCCC(=S)SCCCCCCCCCCCC;CCCCCCCCCCCCCCCCCC(=S)SC(CC(C)C)CC(C)CC(C)C","9191;11558;27288;31826","[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-","0","-0.5;-0.5;-0.5;-0.5","0;0;0;0","0",0,"0;0;0;0"
521.388712565104,6.18818333333333,7471.57763671875,304668.34375,976727.6875,908895.0625,230843.953125,255437.015625,25241.599609375,19747.443359375,46220.296875,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
522.391743977865,6.18818333333333,100,65944.015625,191084.703125,179997.109375,38681.77734375,49537.9453125,9407.4150390625,17267.109375,9722.494140625,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
523.363891601562,7.50661666666667,5216.40625,8755.5107421875,100,6396.2119140625,5016.3876953125,4532.63134765625,170205.734375,179905.671875,55978.9453125,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
