mz,formula,SMILES,matchscore
125.097201,C8H14O,CCC\C=C(/CC)C=O,1.019748354
125.097201,C8H14O,CCCCCC(O)C#C,1.019748354
125.097201,C8H14O,OCCCCCCC#C,1.019748354
125.097201,C8H14O,CCCCC\C=C\C=O,1.019748354
125.097201,C8H14O,CC1CC=CCC1CO,1.019748354
125.097201,C8H14O,CCCCC\C=C\C=O,1.019748354
125.097201,C8H14O,CCCCC#CCCO,1.019748354
125.097201,C8H14O,OCC1CC2CCC1C2,1.019748354
125.097201,C8H14O,CC\C(C=O)=C/C(C)C,1.019748354
125.097201,C8H14O,CCC/C=C/C=C/CO,1.019748354
125.097201,C8H14O,CCCCC\C=C/C=O,1.019748354
125.097201,C8H14O,CCCC\C(=C\C)C=O,1.019748354
125.097201,C8H14O,CCC\C=C(/CC)C=O,1.019748354
125.097201,C8H14O,OC1(CCCC1)CC=C,1.019748354
125.097201,C8H14O,CC\C=C/CCCC=O,1.019748354
125.097201,C8H16O2,CCCCCCC(=O)OC,0.019748354
125.097201,C8H16O2,CC(C)COC(=O)C(C)C,0.019748354
125.097201,C8H16O2,CCC(=O)OCCC(C)C,0.019748354
125.097201,C8H16O2,CC(C)CC(C)OC(C)=O,0.019748354
125.097201,C8H16O2,CCCCOC(=O)CCC,0.019748354
125.097201,C8H16O2,CCCCCCCOC=O,0.019748354
125.097201,C8H16O2,CCCCCC(=O)OCC,0.019748354
125.097201,C8H16O2,CCCCCCCC(O)=O,0.019748354
125.097201,C8H16O2,CCCCC(CC)C(O)=O,0.019748354
125.097201,C8H16O2,CCCCCCOC(C)=O,0.019748354
125.097201,C8H16O2,CCCC(=O)OCC(C)C,0.019748354
125.097201,C8H16O2,CCCCCOC(=O)CC,0.019748354
125.097201,C8H16O2,CCC(C)COC(=O)CC,0.019748354
125.097201,C8H16O2,OCC1CCCC(CO)C1,0.019748354
125.097201,C8H16O2,CCCC(C)COC(C)=O,0.019748354
125.097201,C8H16CrO2,[Cr].CCCCC(CC)C(O)=O,0.019748354
125.097201,C8H16O2,CCCC(C)C1OCCO1,0.019748354
125.097201,C8H16O2,CCCCCCCC(O)=O,0.019748354
125.097201,C8H16O2,CCC/C=C/C(OC)OC,0.019748354
125.097201,C8H16O2,CC(C)CC1OCC(C)O1,0.019748354
125.097201,C8H16O2,CC(C)CCCCC(O)=O,0.019748354
125.097201,C8H16O2,CCOC(=O)CCC(C)C,0.019748354
