"mz","formula","SMILES","matchscore"
305.1761271,"C18H26O4","CCCCCCCCCCOC(=O)c1ccccc1C(O)=O",0.019280548366635
309.1743368,"C14H30O5S","CCCCCCCCCCCCOCCO[S](O)(=O)=O",1.01875958231955
309.1743368,"C13H28O3S","CCCCCCCCCCCCC[S](O)(=O)=O",0.0187595823195453
309.207428,"C18H30O4","CC(=O)OC1(C)CCC2C(C)(C)CCCC2(C)C1CC(O)=O",1.01973677678429
311.1690572,"C16H25NO5","CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O",0.525921856509929
311.1690572,"C15H18N8","Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2",0.025564953939166
311.1693115,"C16H25NO5","CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O",0.525906218339095
311.1693115,"C15H18N8","Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2",0.02555029410782
313.2386882,"C18H33BO4","CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-]",0.0194712820139026
313.2386882,"C18H34O4","OC(=O)CCCCCCCCCCCCCCCCC(O)=O",0.0194712820139026
313.2386882,"C17H32O2","CCCCCCCCCCCCCCOC(=O)C=C",0.0194712820139026
313.2386882,"C17H32O2","CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1",0.0194712820139026
313.2386882,"C17H32O2","CC/C=C/CCCCCCCCO[C@@H]1CCCCO1",0.0194712820139026
313.2385966,"C18H34O4","OC(=O)CCCCCCCCCCCCCCCCC(O)=O",1.0196375019593
313.2385966,"C18H33BO4","CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-]",0.519637501959295
313.2385966,"C17H32O2","CCCCCCCCCCCCCCOC(=O)C=C",0.0196375019592951
313.2385966,"C17H32O2","CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1",0.0196375019592951
313.2385966,"C17H32O2","CC/C=C/CCCCCCCCO[C@@H]1CCCCO1",0.0196375019592951
315.1818034,"C12H30NO6P","CC(C)CCCCCO[P](O)(O)=O.OCCNCCO",0.851373349291853
315.1818034,"C12H30NO6P","CCCCN(CCCC)CCOCCO.O[P](O)(O)=O",0.851373349291853
315.1818034,"C12H30NO6P","CCCCC(CC)CO[P](O)(O)=O.OCCNCCO",0.851373349291853
316.2576803,"C17H34O2","CCCCCCCCCCCCCCCC(=O)OC",2.01714422794941
316.2576803,"C17H34O2","CCCCCCCCCCCCCCOC(=O)CC",2.01714422794941
316.2576803,"C17H34O2","CCCCCCCCCCCC(=O)OCCC(C)C",2.01714422794941
316.2576803,"C17H34O2","CCCCCCCCCCCCCCC(C)C(O)=O",2.01714422794941
316.2576803,"C17H34O2","CCCCCCCCCCCCCCCCC(O)=O",2.01714422794941
316.2576803,"C17H34O2","CCCCCCCCCCCCCC(CC)C(O)=O",2.01714422794941
