mz,rt,X500_700_Neg_JeansA.mzXML,X500_700_Neg_JeansB.mzXML,X500_700_Neg_JeansC.mzXML,X500_700_Neg_JeansD.mzXML,X500_700_Neg_JeansDx.mzXML,X500_700_Neg_JeansE.mzXML,X500_700_Neg_JeansF.mzXML,X500_700_Neg_JeansG.mzXML,X500_700_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore,,214,rows
504.3545736,4.47685,100,100,443680.2188,7615.935059,100,100,4780.993652,4266.213379,100,3,C32H45N3O2,-0.485838363,-1.948380432,-2.767552129,CCc1ccccc1C=C.COC(=O)C=C.CN(C)CCCN.C=CC#N.C=Cc2ccccc2C=C,35663,[M]-,0.5,0,0.5,0,-1.867552129,,194,zeroes
505.3579508,4.47685,100,100,132705.5,4687.982422,100,100,3705.69751,100,100,3,C32H45N3O2,-0.506495829,0.009950331,-0.996545498,CCc1ccccc1C=C.COC(=O)C=C.CN(C)CCCN.C=CC#N.C=Cc2ccccc2C=C,35663,[M]-,0.5,0,0.5,0,-0.096545498,,20,masses matched
506.3695272,5.89495,100,152434.9219,776492.1875,242960.875,50123.91797,189054.6563,40642.53125,29991.85938,15369.55273,3,C26H53O4P,-0.488204284,0.009950331,-0.678253953,CCCCCCCC/C=C/CCCCCCCCO[P](=O)(OCC(C)C)OCC(C)C,40739,[M+CH2O2-H]-,0,0,0,0,-0.678253953,,,
506.8890991,7.301083333,100,100,100,100,100,100,86644.34375,114915.1016,32631.30078,8,0,0,0,0,0,0,0,0,0,0,0,0,,,
509.2399597,6.42365,77364.47656,59575.33594,175723.3438,62473.67188,47989.14453,47215.88281,208849.6406,49635.80859,50004.28125,7,C26H40O11,0.00878026,-3.48764514,-3.47886488,CCCCOC(=O)\C=C/C(=O)OCCCC.CC(=O)OC=C.CC(=C)C(=O)OCC1CO1.OC(=O)C=C,19538,[M-H-H2O]-,0,0,0,0,-3.47886488,,,
509.4203796,7.890766667,55880.76563,96679.10156,111555.125,104760.6563,46415.45313,42636.78906,97217.32031,115921.5234,61405.84375,8,0,0,0,0,0,0,0,0,0,0,0,0,,,
511.1674194,7.252216667,29746.70117,14569.73535,106181.6406,44024.17578,12486.58398,100,9044.124023,8242.578125,7113.161133,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
511.3639323,7.854483333,8849.235352,9838.28125,11158.05762,15437.22559,4608.288574,4938.856445,193649.2188,141232.5313,51470.23438,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
513.3103434,9.660283333,1167507.375,560839.5625,3652126.75,1072449.5,603705.4375,159502.2344,1959277.375,1359156.5,684924.375,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
513.3795166,8.47435,4883.452637,23908.81445,4406.571777,16189.13574,100,12734.9873,118880.2109,78152.96094,35670.76563,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
514.3134562,9.689933333,323059.875,166227.1094,1007798.938,272236.1875,196474.4844,42210.375,526709.8125,378036.2813,184041.4375,3,C24H43N3O6,-4.476900146,0.009950331,-5.244727593,CCC(CO)(CO)CO.CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O.O=C2CCCCCN2,31086,[M+CH2O2-H]-,0,0,0,0,0,,,
