Compound (+ Cl-),Mass + e-,% Abundance,Compound,Average Molecular Weight,Cl Average Weight
C18H33Cl6,461.068943,0.297947412,C18H33Cl5,426.1605821,177.2646746
C18H32Cl7,495.029971,0.263376074,C18H32Cl6,460.0998307,212.6726162
C18H31Cl8,530.988049,0.255398812,C18H31Cl7,493.2661558,248.1578203
C18H30Cl9,564.949077,0.248801649,C18H30Cl8,528.9054471,283.5324144
C18H29Cl10,598.910105,0.235642261,C18H29Cl9,562.2773646,318.7146053
C18H28Cl11,632.871133,0.218219356,C18H28Cl10,596.7211972,354.4084688
C18H27Cl12,668.829211,0.211609822,C18H27Cl11,630.8905713,389.6005103
C18H26Cl13,702.790239,0.208434252,C18H26Cl12,663.7925011,424.4552299
C18H25Cl14,736.751267,0.20099921,C18H25Cl13,699.5890382,460.521393
C18H24Cl15,770.712295,0.190368144,C18H24Cl14,733.3660502,495.4758078
C18H23Cl16,806.670373,0.184602182,C18H23Cl15,765.7313238,531.4616789
C18H22Cl17,840.631401,0.182907836,C18H22Cl16,801.493251,566.5089239
C18H21Cl18,874.592429,0.178183175,C18H21Cl17,834.2787249,601.2115348
C18H20Cl19,908.553457,0.171008993,C18H20Cl18,867.0755532,637.5385858
C19H35Cl6,475.084593,0.294691584,C19H35Cl5,440.0815821,177.2646746
C19H34Cl7,509.045621,0.260498025,C19H34Cl6,473.9748331,212.6726162
C19H33Cl8,545.003699,0.252607935,C19H33Cl7,507.0517547,248.1578203
C19H32Cl9,578.964727,0.246082863,C19H32Cl8,542.776327,283.5324144
C19H31Cl10,612.925755,0.233067274,C19H31Cl9,576.0811232,318.7146053
C19H30Cl11,646.886783,0.215834758,C19H30Cl10,611.0904758,354.4084688
C19H29Cl12,682.844861,0.209297451,C19H29Cl11,644.6492633,389.6005103
C19H28Cl13,716.805889,0.206156581,C19H28Cl12,677.4836481,424.4552299
C19H27Cl14,750.766917,0.198802786,C19H27Cl13,713.3104329,460.521393
C19H26Cl15,784.727945,0.188287892,C19H26Cl14,747.1046696,495.4758078
C19H25Cl16,820.686023,0.182584937,C19H25Cl15,779.3893202,531.4616789
C19H24Cl17,854.647051,0.180909106,C19H24Cl16,815.9218194,566.5089239
C19H23Cl18,888.608079,0.176236074,C19H23Cl17,847.815943,601.2115348
C19H22Cl19,922.569107,0.169140288,C19H22Cl18,880.6340607,637.5385858
C19H21Cl20,958.527185,0.164017285,C19H21Cl19,917.9390884,672.4047643
C20H37Cl6,489.100243,0.291471334,C20H37Cl5,453.9886477,177.2646746
C20H36Cl7,523.061271,0.257651426,C20H36Cl6,487.8334628,212.6726162
C20H35Cl8,559.019349,0.249847555,C20H35Cl7,520.8174147,248.1578203
C20H34Cl9,592.980377,0.243393786,C20H34Cl8,556.6303837,283.5324144
C20H33Cl10,626.941405,0.230520425,C20H33Cl9,589.8655331,318.7146053
C20H32Cl11,660.902433,0.213476218,C20H32Cl10,624.8731806,354.4084688
C20H31Cl12,696.860511,0.207010347,C20H31Cl11,658.384622,389.6005103
C20H30Cl13,730.821539,0.2039038,C20H30Cl12,691.1499755,424.4552299
C20H29Cl14,764.782567,0.196630364,C20H29Cl13,727.0052632,460.521393
C20H28Cl15,798.743595,0.186230371,C20H28Cl14,760.819945,495.4758078
C20H27Cl16,834.701673,0.180589735,C20H27Cl15,793.0221999,531.4616789
C20H26Cl17,868.662701,0.178932217,C20H26Cl16,829.5925617,566.5089239
C20H25Cl18,902.623729,0.17431025,C20H25Cl17,862.2765601,601.2115348
C20H24Cl19,936.584757,0.167292003,C20H24Cl18,894.1625993,637.5385858
C20H23Cl20,972.542835,0.162224982,C20H23Cl19,931.5246943,672.4047643
C20H22Cl21,1006.503863,0.161326963,C20H22Cl20,963.8057591,706.8656082
