Compound (+ Cl-),Mass + e-,% Abundance,Compound,Average Molecular Weight,Cl Average Weight
C14H25Cl6,405.006343,0.311334432,C14H25Cl5,370.35778,177.2646746
C14H24Cl7,438.967371,0.275209776,C14H24Cl6,404.4572984,212.6726162
C14H23Cl8,474.925449,0.266874089,C14H23Cl7,437.9460207,248.1578203
C14H22Cl9,508.886477,0.259980511,C14H22Cl8,473.2755864,283.5324144
C14H21Cl10,542.847505,0.24622986,C14H21Cl9,506.8911158,318.7146053
C14H20Cl11,576.808533,0.22802413,C14H20Cl10,541.5559781,354.4084688
C14H19Cl12,612.766611,0.221117625,C14H19Cl11,575.2444594,389.6005103
C14H18Cl13,646.727639,0.217799373,C14H18Cl12,608.8037049,424.4552299
C14H17Cl14,680.688667,0.210030269,C14H17Cl13,644.4630869,460.521393
C14H16Cl15,714.649695,0.198921541,C14H16Cl14,677.7763396,495.4758078
C15H27Cl6,419.021993,0.307932317,C15H27Cl5,384.3243135,177.2646746
C15H26Cl7,452.983021,0.272202414,C15H26Cl6,418.3872487,212.6726162
C15H25Cl8,488.941099,0.263957816,C15H25Cl7,451.8006008,248.1578203
C15H24Cl9,522.902127,0.257139567,C15H24Cl8,487.2028712,283.5324144
C15H23Cl10,556.863155,0.243539177,C15H23Cl9,520.7611838,318.7146053
C15H22Cl11,590.824183,0.22553239,C15H22Cl10,555.3815271,354.4084688
C15H21Cl12,626.782261,0.218701356,C15H21Cl11,589.4865589,389.6005103
C15H20Cl13,660.743289,0.215419365,C15H20Cl12,622.5821703,424.4552299
C15H19Cl14,694.704317,0.207735158,C15H19Cl13,658.278129,460.521393
C15H18Cl15,728.665345,0.19674782,C15H18Cl14,691.5253564,495.4758078
C15H17Cl16,764.623423,0.190788627,C15H17Cl15,724.6189947,531.4616789
C16H29Cl6,433.037643,0.304567379,C16H29Cl5,398.28094,177.2646746
C16H28Cl7,466.998671,0.269227915,C16H28Cl6,432.3049954,212.6726162
C16H27Cl8,502.956749,0.26107341,C16H27Cl7,465.6395109,248.1578203
C16H26Cl9,536.917777,0.254329668,C16H26Cl8,501.1176414,283.5324144
C16H25Cl10,570.878805,0.240877896,C16H25Cl9,534.6162959,318.7146053
C16H24Cl11,604.839833,0.223067879,C16H24Cl10,569.185076,354.4084688
C16H23Cl12,640.797911,0.216311491,C16H23Cl11,603.3080265,389.6005103
C16H22Cl13,674.758939,0.213065364,C16H22Cl12,636.3405725,424.4552299
C16H21Cl14,708.719967,0.205465126,C16H21Cl13,672.0716299,460.521393
C16H20Cl15,742.680995,0.194597854,C16H20Cl14,705.250019,495.4758078
C16H19Cl16,778.639073,0.18870378,C16H19Cl15,738.3449375,531.4616789
C16H18Cl17,812.600101,0.186971788,C16H18Cl16,774.1870279,566.5089239
C17H31Cl6,447.053293,0.301239211,C17H31Cl5,412.2266943,177.2646746
C17H30Cl7,481.014321,0.26628592,C17H30Cl6,446.2095331,212.6726162
C17H29Cl8,516.972399,0.258220523,C17H29Cl7,479.4617151,248.1578203
C17H28Cl9,550.933427,0.251550474,C17H28Cl8,515.0188554,283.5324144
C17H27Cl10,584.894455,0.238245697,C17H27Cl9,548.4553857,318.7146053
C17H26Cl11,618.855483,0.220630299,C17H26Cl10,582.9653831,354.4084688
C17H25Cl12,654.813561,0.213947742,C17H25Cl11,617.1097591,389.6005103
C17H24Cl13,688.774589,0.210737087,C17H24Cl12,650.0777437,424.4552299
C17H23Cl14,722.735617,0.203219901,C17H23Cl13,685.84235,460.521393
C17H22Cl15,756.696645,0.19247138,C17H22Cl14,719.6053278,495.4758078
C17H21Cl16,792.654723,0.186641714,C17H21Cl15,752.0494528,531.4616789
C17H20Cl17,826.615751,0.184928649,C17H20Cl16,787.8553319,566.5089239
C17H19Cl18,860.576779,0.180151789,C17H19Cl17,820.7079455,601.2115348
