Compound (+ Cl-),Mass + e-,% Abundance,Compound,Average Molecular Weight,Cl Average Weight
C10H17Cl6,348.943743,0.325322943,C10H17Cl5,314.2823995,177.2646746
C10H16Cl7,382.904771,0.287575176,C10H16Cl6,348.6345631,212.6726162
C10H15Cl8,418.862849,0.27886496,C10H15Cl7,382.3908467,248.1578203
C10H14Cl9,452.823877,0.271661648,C10H14Cl8,417.2966233,283.5324144
C10H13Cl10,486.784905,0.257293169,C10H13Cl9,451.1018076,318.7146053
C10H12Cl11,520.745933,0.23826944,C10H12Cl10,486.0581938,354.4084688
C11H19Cl6,362.959393,0.321767968,C11H19Cl5,328.2459057,177.2646746
C11H18Cl7,396.920421,0.284432691,C11H18Cl6,362.6038539,212.6726162
C11H17Cl8,432.878499,0.275817656,C11H17Cl7,396.2982504,248.1578203
C11H16Cl9,466.839527,0.268693058,C11H16Cl8,431.2229855,283.5324144
C11H15Cl10,500.800555,0.254481591,C11H15Cl9,464.9769254,318.7146053
C11H14Cl11,534.761583,0.235665745,C11H14Cl10,499.9595707,354.4084688
C11H13Cl12,570.719661,0.228527787,C11H13Cl11,533.794166,389.6005103
C12H21Cl6,376.975043,0.31825184,C12H21Cl5,342.1983004,177.2646746
C12H20Cl7,410.936071,0.281324545,C12H20Cl6,376.5646683,212.6726162
C12H19Cl8,446.894149,0.272803652,C12H19Cl7,410.1938724,248.1578203
C12H18Cl9,480.855177,0.265756907,C12H18Cl8,445.1354057,283.5324144
C12H17Cl10,514.816205,0.251700737,C12H17Cl9,478.8354366,318.7146053
C12H16Cl11,548.777233,0.233090501,C12H16Cl10,513.8437888,354.4084688
C12H15Cl12,584.735311,0.226030543,C12H15Cl11,547.6321478,389.6005103
C12H14Cl13,618.696339,0.222638565,C12H14Cl12,581.1911705,424.4552299
C13H23Cl6,390.990693,0.314774135,C13H23Cl5,356.1385569,177.2646746
C13H22Cl7,424.951721,0.278250364,C13H22Cl6,390.5161221,212.6726162
C13H21Cl8,460.909799,0.269822583,C13H21Cl7,424.0767823,248.1578203
C13H20Cl9,494.870827,0.262852842,C13H20Cl8,459.0327956,283.5324144
C13H19Cl10,528.831855,0.248950271,C13H19Cl9,493.0071343,318.7146053
C13H18Cl11,562.792883,0.230543399,C13H18Cl10,527.7096594,354.4084688
C13H17Cl12,598.750961,0.223560589,C13H17Cl11,561.4493224,389.6005103
C13H16Cl13,632.711989,0.220205676,C13H16Cl12,595.0063273,424.4552299
C13H15Cl14,666.673017,0.212350737,C13H15Cl13,630.6277301,460.521393
