House Dust,,Consumer Products
121.028955,,100.932
129.05517,,112.984
131.034435,,117.054
135.044605,,121.028
137.02387,,129.054
143.034435,,131.07
145.050085,,132.922
151.03952,,138.018
155.07082,,143.034
165.018785,,143.07
169.08647,,145.086
171.065735,,148.06
171.10212,,155.07
173.081385,,157.086
179.034435,,157.122
181.050085,,169.086
183.065735,,171.138
185.081385,,173.044
187.097035,,174.048
191.107205,,175.06
193.08647,,187.06
197.081385,,199.06
199.06065,,201.076
199.097035,,201.112
207.02935,,213.076
207.10212,,
209.045,,
209.081385,,
211.06065,,
211.097035,,
213.0763,,
221.081385,,
221.11777,,
223.097035,,
225.14907,,
233.154155,,
239.128335,,
249.14907,,
251.09195,,
251.128335,,
253.143985,,
255.232405,,
269.1389,,
277.18037,,
283.263705,,
293.175285,,
309.1702,,
