"mz","minintensity","sampleID"
143.07,71354.5703125,1
201.076,58250.6953125,1
157.086,106636.328125,2
182.988,29094.677734375,2
215.092,51998.49609375,2
241.108,11218.5595703125,2
148.952,570221.375,3
157.086,95687.1171875,3
171.102,128677.609375,3
182.988,25307.861328125,3
215.092,39877.84375,3
241.108,11154.9267578125,3
171.102,62721.3046875,4
182.988,28655.291015625,4
182.988,26054.40625,5
145.086,30913.119140625,6
148.952,453146.65625,6
157.05,87264.9921875,6
157.086,99626.734375,6
159.102,24166.86328125,6
171.102,153149.78125,6
171.138,91012.8984375,6
182.988,27015.599609375,6
131.07,34987.1328125,7
143.07,136479.078125,7
145.086,32058.67578125,7
157.05,89203.2578125,7
157.086,47919.20703125,7
171.102,150178.453125,7
241.108,10770.1015625,7
121.028,63462.23046875,8
143.034,60216.48828125,8
143.07,126880.8515625,8
157.086,70716.25,8
169.05,42068.2578125,8
171.102,137875.484375,8
182.988,29337.060546875,8
143.07,211700.609375,9
171.102,135524.546875,9
182.988,21398.939453125,9
215.092,35515.22265625,9
241.108,10091.4921875,9
143.07,181694.875,10
157.05,109054.390625,10
157.086,88064.71875,10
171.102,144567.53125,10
182.988,27530.54296875,10
241.108,11640.158203125,10
157.086,89050.6328125,11
169.05,47952.1796875,11
171.102,133343.703125,11
182.988,29095.197265625,11
215.092,47062.56640625,11
241.108,11148.9853515625,11
143.07,98412.296875,12
157.086,42624.41015625,12
182.988,22212.61328125,12
215.092,30287.248046875,12
241.108,10517.6181640625,12
100.932,2109.05249023438,13
143.07,213024.484375,13
145.086,25566.67578125,13
157.086,78445.25,13
169.086,24483.40625,13
171.102,117520.7109375,13
215.092,41742.68359375,13
171.102,142200.34375,14
182.988,29118.98828125,14
143.07,198360.53125,15
157.086,91122.8671875,15
171.102,122073.96875,15
182.988,26576.599609375,15
215.092,38241.7890625,15
241.108,10663.390625,15
129.018,46294.51171875,16
143.07,176651.0625,16
148.952,498435,16
157.05,153087.25,16
157.086,72871.046875,16
171.102,99843.09375,16
182.988,25332.869140625,16
215.092,44176.6875,16
241.108,10780.40234375,16
148.952,570775.25,17
171.102,71876.71875,17
182.988,28170.005859375,17
215.092,33956.421875,17
143.07,105030.1015625,18
148.952,562021.8125,18
171.102,59385.4296875,18
182.988,25808.392578125,18
241.108,11642.2958984375,18
148.952,549510.9375,19
171.102,103679.578125,19
182.988,22478.0546875,19
241.108,9342.7421875,19
121.028,64594.9140625,20
131.07,35595.92578125,20
132.922,9797.150390625,20
143.07,241126.234375,20
145.086,27099.908203125,20
148.952,539292.25,20
157.05,161500.34375,20
157.086,92156.8125,20
169.05,46756.53125,20
169.086,26106.9765625,20
171.102,115262.65625,20
182.988,28402.02734375,20
215.092,38384.18359375,20
143.07,265451.1875,21
148.952,478843.4375,21
157.05,186850.96875,21
171.102,142643.78125,21
182.988,25464.12109375,21
201.076,72501.65625,21
148.952,569676.75,22
157.086,49820.1796875,22
171.102,117209.78125,22
182.988,27449.9140625,22
215.092,40335.25390625,22
157.086,93604.96875,23
171.102,122564.65625,23
182.988,29211.513671875,23
215.092,43683.58984375,23
241.108,10073.484375,23
182.988,25818.330078125,24
171.102,132466.671875,25
182.988,25234.498046875,25
215.092,42138.0625,25
241.108,12565.3544921875,25
148.952,616390.875,26
171.102,121896.59375,26
182.988,23532.1015625,26
215.092,38128.6484375,26
241.108,12135.275390625,26
143.07,104290.421875,27
143.034,51580.16015625,28
145.086,21309.28125,28
171.102,132418.46875,28
171.138,53703.86328125,28
201.076,59677.0625,28
143.07,115660.3125,29
157.086,68533.6171875,29
171.102,116195.90625,29
215.092,44085.37890625,29
241.108,11046.7685546875,29
143.07,32684.08984375,30
117.018,27199.5390625,31
143.07,207066,31
145.086,27872.13671875,31
157.086,77343.875,31
169.086,22498.966796875,31
171.102,120103.5,31
182.988,25870.81640625,31
182.988,25575.572265625,32
201.076,68358.0390625,32
215.092,41130.80078125,32
241.108,12626.3818359375,32
143.07,135091.3125,33
157.086,74827.7734375,33
171.102,125398.921875,33
182.988,26494.68359375,33
241.108,9825.669921875,33
157.086,75746.71875,34
182.988,19035.55859375,34
143.07,157912.234375,35
171.102,138049.359375,35
182.988,23613.953125,35
215.092,37402.1796875,35
241.108,12177.21484375,35
112.984,156342.921875,36
131.07,35964.8125,36
143.07,94718.375,36
157.086,48760.046875,36
171.138,40931.0390625,36
182.988,48571.1640625,36
201.076,38822.6875,36
241.108,6042.52490234375,36
248.08,53500.9296875,36
112.984,274942.4375,37
182.988,50002.96875,37
241.108,7744.2158203125,37
112.984,236825.890625,38
112.984,264265.0625,39
143.07,106188.5546875,39
157.086,76353.796875,39
171.102,106509.2890625,39
182.988,48248.7265625,39
201.076,50121.61328125,39
112.984,248915.828125,40
143.07,217484.6875,40
171.102,73181.0390625,40
100.932,4348.79296875,41
112.984,245030.921875,41
132.922,9406.3984375,41
143.07,156893.9375,41
145.086,29497.083984375,41
157.086,83769.7421875,41
171.102,151319.875,41
182.988,40743.53515625,41
201.076,67294.0625,41
112.984,251587.65625,42
132.922,9756.7900390625,42
143.07,103933.484375,42
