mz,minintensity,sampleID,,,,,,
112.984,239584.5625,1,,,FALSE,,,112.984
129.054,470659.2188,1,,,FALSE,,,129.054
143.07,392089.1563,1,,,FALSE,,,143.07
148.06,229966.2188,1,,,FALSE,,,148.06
187.06,223060.0625,1,,,FALSE,,,187.06
201.076,131195.5625,1,,,FALSE,,,201.076
213.076,77457.65625,1,,,FALSE,,,213.076
100.932,2830.940918,2,,,TRUE,,,100.932
112.984,234840.9688,2,,,FALSE,,,112.984
129.054,560014.75,2,,,FALSE,,,157.086
143.07,389986.3125,2,,,FALSE,,,132.922
157.086,141182,2,,,FALSE,,,201.112
213.076,85524.55469,2,,,FALSE,,,
112.984,237818.875,3,,,FALSE,,,
129.054,511368.9688,3,,,FALSE,,,
132.922,9819.103516,3,,,TRUE,,,
143.07,445179.9688,3,,,FALSE,,,
148.06,249093.7031,3,,,FALSE,,,
157.086,119455.6328,3,,,FALSE,,,
187.06,214907.5,3,,,FALSE,,,
201.076,124185.8281,3,,,FALSE,,,
201.112,34118.19141,3,,,TRUE,,,
213.076,71119.53906,3,,,FALSE,,,
