"mz","minintensity","sampleID"
100.112,135004.4375,1
101.003,129143.859375,1
102.128,332510.65625,1
103.131,13479.6162109375,1
105.074,13662.611328125,1
106.52,65474.48828125,1
111.08,50288.0546875,1
114.091,67224.796875,1
115.075,111486.4453125,1
118.086,72477.5234375,1
118.122,830043.75,1
120.065,118019.578125,1
121.017,89270.8828125,1
122.081,17845050,1
123.078,36196.453125,1
123.08,173736.390625,1
123.084,745708.8125,1
123.087,23893.255859375,1
123.116,26967.541015625,1
124.075,12865.9716796875,1
124.085,93519.4609375,1
124.087,8570.705078125,1
125.059,109916.4765625,1
127.075,132698.8125,1
129.979,96404.578125,1
130.158,30993.771484375,1
130.987,141115.640625,1
132.065,537063.375,1
134.117,58292.37109375,1
135.032,34234.65625,1
135.084,60764.69921875,1
136.096,11293.3671875,1
136.111,10877.3798828125,1
137.065,54853.3828125,1
139.111,64031.80078125,1
141.09,179731.796875,1
143.106,36034.41015625,1
148.096,98550.546875,1
150.075,311841.375,1
151.111,30451.5390625,1
152.07,72103.34375,1
152.091,23634.197265625,1
153.09,128874.203125,1
155.106,95515.5546875,1
158.153,21715.7421875,1
160.096,124886.46875,1
161.095,56247.44140625,1
162.075,79559.6640625,1
163.027,46379.16796875,1
163.038,48789.953125,1
164.091,81154.8359375,1
165.051,10327.181640625,1
169.046,50379.94921875,1
169.085,256786.375,1
171.137,44028.30859375,1
171.148,104718.59375,1
172.057,51124.91796875,1
173.028,139679.46875,1
174.127,75775.3046875,1
176.091,166497.21875,1
179.067,16039.9697265625,1
179.106,47679.1171875,1
180.101,79612.15625,1
181.082,58500.078125,1
181.104,8129.45654296875,1
183.101,50163.984375,1
188.127,25733.91796875,1
191.067,11684.1796875,1
193.046,21417.216796875,1
195.062,49106.484375,1
195.137,37263.39453125,1
196.096,9152.1142578125,1
197.077,39833.4140625,1
199.168,56328.2265625,1
200.127,11241.9765625,1
200.236,125984.2578125,1
207.062,11415.447265625,1
208.117,16123.9521484375,1
213.072,16135.572265625,1
214.252,117060.9765625,1
216.122,39561.37890625,1
220.117,25195.443359375,1
223.093,26224.974609375,1
225.072,41432.7109375,1
235.093,17890.416015625,1
237.078,30728.392578125,1
242.283,57492.62890625,1
244.226,79914.2265625,1
248.148,12005.72265625,1
259.074,58020.828125,1
265.103,21610.3984375,1
277.103,30999.423828125,1
281.098,11568.640625,1
321.129,16761.203125,1
365.155,17840.587890625,1
100.112,134108.59375,2
101.003,115908.015625,2
102.128,341834.65625,2
103.131,16834.900390625,2
105.074,10265.3564453125,2
111.044,65382.5625,2
111.08,54195.72265625,2
114.091,69085.9921875,2
115.075,112901.125,2
118.086,89586.8125,2
118.122,948550.5625,2
120.065,128432.9140625,2
121.017,79383.9921875,2
122.081,18812600,2
123.078,49805.16015625,2
123.08,160150.078125,2
123.084,777379.25,2
123.087,24836.443359375,2
123.116,27596.580078125,2
124.075,11739.6845703125,2
124.085,88621.328125,2
124.087,8314.93359375,2
125.059,131234.15625,2
127.075,93333.4765625,2
129.09,49527.62109375,2
129.979,92234.0234375,2
130.158,32553.576171875,2
130.987,104600.953125,2
132.065,578025.4375,2
132.101,61707.046875,2
132.982,73197.2109375,2
134.117,46955.78125,2
135.084,71719.1640625,2
136.111,11649.671875,2
138.091,22669.0078125,2
139.075,150606.9375,2
139.111,68046.125,2
141.09,130808.1484375,2
143.106,40399.49609375,2
144.062,57808.2421875,2
146.08,811327,2
147.084,58241.80859375,2
148.096,99351.21875,2
150.075,298474.9375,2
152.07,87880.546875,2
152.091,21219.927734375,2
153.051,43699.20703125,2
153.09,140729.125,2
155.106,106095.515625,2
156.101,9761.533203125,2
158.08,81051.1015625,2
158.096,287908.375,2
158.153,22413.5546875,2
160.096,142899.109375,2
162.075,61064.0703125,2
164.091,60831.86328125,2
167.142,18839.71484375,2
169.046,85429.8671875,2
169.085,267172.96875,2
171.101,36633.4296875,2
171.137,45827.8203125,2
171.148,91913.921875,2
172.057,51553.36328125,2
172.096,47176.29296875,2
173.028,155295.375,2
173.077,189371.796875,2
174.127,92224.515625,2
176.091,155861.5625,2
179.063,35598.30078125,2
179.106,59260.6640625,2
180.086,122368.4375,2
180.101,91072.78125,2
181.082,40473.5703125,2
181.104,10958.787109375,2
183.101,99165.109375,2
186.221,66770.796875,2
188.091,61407.56640625,2
190.106,51936.609375,2
191.067,15215.36328125,2
192.086,47344.5703125,2
193.046,23241.65625,2
194.101,258840.96875,2
195.062,86402.1328125,2
195.098,56000.62890625,2
195.137,45028.31640625,2
196.096,8865.5400390625,2
197.077,40353.37890625,2
199.132,17571.685546875,2
199.168,43500.2890625,2
200.127,13106.8642578125,2
200.236,97694.6875,2
202.106,27048.1171875,2
206.101,27404.7890625,2
207.062,10895.0908203125,2
208.117,16468.982421875,2
209.077,60253.95703125,2
211.093,45269.37109375,2
