Formula,mz_e
C10H17Cl6,348.9437416
C10H16Cl7,382.9047696
C10H15Cl8,418.8628476
C10H14Cl9,452.8238756
C10H13Cl10,486.7849036
C10H12Cl11,520.7459316
C11H19Cl6,362.9593916
C11H18Cl7,396.9204196
C11H17Cl8,432.8784976
C11H16Cl9,466.8395256
C11H15Cl10,500.8005536
C11H14Cl11,534.7615816
C11H13Cl12,570.7196596
C12H21Cl6,376.9750416
C12H20Cl7,410.9360696
C12H19Cl8,446.8941476
C12H18Cl9,480.8551756
C12H17Cl10,514.8162036
C12H16Cl11,548.7772316
C12H15Cl12,584.7353096
C12H14Cl13,618.6963376
C13H23Cl6,390.9906916
C13H22Cl7,424.9517196
C13H21Cl8,460.9097976
C13H20Cl9,494.8708256
C13H19Cl10,528.8318536
C13H18Cl11,562.7928816
C13H17Cl12,598.7509596
C13H16Cl13,632.7119876
C13H15Cl14,666.6730156
C14H25Cl6,405.0063416
C14H24Cl7,438.9673696
C14H23Cl8,474.9254476
C14H22Cl9,508.8864756
C14H21Cl10,542.8475036
C14H20Cl11,576.8085316
C14H19Cl12,612.7666096
C14H18Cl13,646.7276376
C14H17Cl14,680.6886656
C14H16Cl15,714.6496936
C15H27Cl6,419.0219916
C15H26Cl7,452.9830196
C15H25Cl8,488.9410976
C15H24Cl9,522.9021256
C15H23Cl10,556.8631536
C15H22Cl11,590.8241816
C15H21Cl12,626.7822596
C15H20Cl13,660.7432876
C15H19Cl14,694.7043156
C15H18Cl15,728.6653436
C15H17Cl16,764.6234216
C16H29Cl6,433.0376416
C16H28Cl7,466.9986696
C16H27Cl8,502.9567476
C16H26Cl9,536.9177756
C16H25Cl10,570.8788036
C16H24Cl11,604.8398316
C16H23Cl12,640.7979096
C16H22Cl13,674.7589376
C16H21Cl14,708.7199656
C16H20Cl15,742.6809936
C16H19Cl16,778.6390716
C16H18Cl17,812.6000996
C17H31Cl6,447.0532916
C17H30Cl7,481.0143196
C17H29Cl8,516.9723976
C17H28Cl9,550.9334256
C17H27Cl10,584.8944536
C17H26Cl11,618.8554816
C17H25Cl12,654.8135596
C17H24Cl13,688.7745876
C17H23Cl14,722.7356156
C17H22Cl15,756.6966436
C17H21Cl16,792.6547216
C17H20Cl17,826.6157496
C17H19Cl18,860.5767776
C18H33Cl6,461.0689416
C18H32Cl7,495.0299696
C18H31Cl8,530.9880476
C18H30Cl9,564.9490756
C18H29Cl10,598.9101036
C18H28Cl11,632.8711316
C18H27Cl12,668.8292096
C18H26Cl13,702.7902376
C18H25Cl14,736.7512656
C18H24Cl15,770.7122936
C18H23Cl16,806.6703716
C18H22Cl17,840.6313996
C18H21Cl18,874.5924276
C18H20Cl19,908.5534556
C19H35Cl6,475.0845916
C19H34Cl7,509.0456196
C19H33Cl8,545.0036976
C19H32Cl9,578.9647256
C19H31Cl10,612.9257536
C19H30Cl11,646.8867816
C19H29Cl12,682.8448596
C19H28Cl13,716.8058876
C19H27Cl14,750.7669156
C19H26Cl15,784.7279436
C19H25Cl16,820.6860216
C19H24Cl17,854.6470496
C19H23Cl18,888.6080776
C19H22Cl19,922.5691056
C19H21Cl20,958.5271836
C20H37Cl6,489.1002416
C20H36Cl7,523.0612696
C20H35Cl8,559.0193476
C20H34Cl9,592.9803756
C20H33Cl10,626.9414036
C20H32Cl11,660.9024316
C20H31Cl12,696.8605096
C20H30Cl13,730.8215376
C20H29Cl14,764.7825656
C20H28Cl15,798.7435936
C20H27Cl16,834.7016716
C20H26Cl17,868.6626996
C20H25Cl18,902.6237276
C20H24Cl19,936.5847556
C20H23Cl20,972.5428336
C20H22Cl21,1006.503862
