SCCP 51.5,Area,%Cl,SCCP 63,Area,%Cl
C10H17Cl5,0.019194634,0.564029913,C10H17Cl5,0.003472497,0.564029913
C10H16Cl6,0.019647706,0.61001587,C10H16Cl6,0.065889201,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.091932328,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.044215549,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.200266024,0.540036209,C11H19Cl5,0.023616363,0.540036209
C11H18Cl6,0.226520279,0.586515046,C11H18Cl6,0.22711466,0.586515046
C11H17Cl7,0.069742001,0.626189543,C11H17Cl7,0.619673588,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.549744051,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.1756612,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0.008069382,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.34097731,0.518017402,C12H21Cl5,0.008415757,0.518017402
C12H20Cl6,0.451589805,0.564770501,C12H20Cl6,0.118701814,0.564770501
C12H19Cl7,0.183575229,0.604976907,C12H19Cl7,0.535743165,0.604976907
C12H18Cl8,0.03581931,0.636957678,C12H18Cl8,0.793593613,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.452267765,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.093720045,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.246007112,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.409171821,0.544593691,C13H22Cl6,0.026741976,0.544593691
C13H21Cl7,0.225175711,0.585171909,C13H21Cl7,0.228920393,0.585171909
C13H20Cl8,0.047715389,0.617673546,C13H20Cl8,0.557530936,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.202105419,0.671597464
