mzref,mzmatch,mzshift,mzshiftcal
348.9437416,348.9437256,-0.045892964,0.041564051
362.9593916,362.9592285,-0.449318515,0.475560044
376.9750416,376.9750061,-0.094161365,0.472515532
382.9047696,382.9046326,-0.357873945,-0.118773413
390.9906916,390.9905396,-0.38888194,-0.31083001
396.9204196,396.9197998,-1.561510272,-0.869537298
410.9360696,410.9354858,-1.420561979,-0.826453447
418.8628476,418.862915,0.161005119,0.161005119
424.9517196,424.9517212,0.003744911,0.506444481
432.8784976,432.8782349,-0.606952575,-0.183957509
438.9673696,438.96698,-0.887581989,-0.470454245
446.8941476,446.8940735,-0.16584167,0.175599119
460.9097976,460.9098206,0.049807231,0.182230444
461.0689416,461.0683594,-1.26277211,-0.998017099
474.9254476,474.9252319,-0.454105812,-0.261332958
480.8551756,480.85495,-0.469265674,-0.34233524
488.9410976,488.9411316,0.069521251,0.131936905
494.8708256,494.8712158,0.788529637,0.850197403
508.8864756,508.885498,-1.920965032,-1.920965032
