Sample (400-405),r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
1,0.926325523,0.923255754,6.15E-07,301.7573192,4.27E-15,2,336.006273,-666.0125461,-662.2382565,9.07E-12,24
2,0.922091897,0.918381988,7.80E-07,248.5483428,4.10E-13,2,291.8948678,-577.7897356,-574.3832529,1.28E-11,21
3,0.945699252,0.943527222,5.34E-07,435.3988177,2.48E-17,2,352.6856814,-699.3713629,-695.4838523,7.13E-12,25
4,0.921647969,0.917295079,7.43E-07,211.7323992,2.14E-11,2,254.9191938,-503.8383876,-500.8511907,9.94E-12,18
5,0.914031525,0.909937788,6.83E-07,223.2755898,1.16E-12,2,294.9431237,-583.8862473,-580.4797647,9.79E-12,21
6,0.931462934,0.928607223,6.23E-07,326.1754782,1.79E-15,2,335.6469217,-665.2938433,-661.5195537,9.32E-12,24
7,0.948857917,0.946533277,5.10E-07,408.1741081,1.08E-15,2,314.7154047,-623.4308093,-619.8966478,5.73E-12,22
8,0.913996264,0.909469752,6.96E-07,201.9206362,1.42E-11,2,268.9804537,-531.9609073,-528.82734,9.21E-12,19
9,0.941866882,0.938807244,5.62E-07,307.836072,3.39E-13,2,273.482318,-540.9646359,-537.8310686,6.00E-12,19
10,0.949701935,0.947839043,5.37E-07,509.7999719,4.61E-19,2,378.5793786,-751.1587571,-747.0568697,7.78E-12,27
11,0.943453949,0.94076128,5.93E-07,350.3787182,1.40E-14,2,298.173228,-590.346456,-586.9399734,7.39E-12,21
12,0.927414142,0.923593833,6.47E-07,242.7589768,2.82E-12,2,270.5087821,-535.0175643,-531.8839969,7.96E-12,19
13,0.9130469,0.908906276,7.11E-07,220.5095042,1.31E-12,2,294.0197781,-582.0395562,-578.6330735,1.06E-11,21
14,0.910294694,0.905809428,7.22E-07,202.9522509,6.20E-12,2,280.941398,-555.8827961,-552.6096687,1.04E-11,20
15,0.907514863,0.903957742,6.37E-07,255.126253,5.87E-15,2,360.7651941,-715.5303883,-711.5337748,1.06E-11,26
16,0.943821344,0.941012411,5.60E-07,336.0070939,5.66E-14,2,286.5406221,-567.0812441,-563.8081168,6.27E-12,20
17,0.949247033,0.947294996,5.26E-07,486.2853184,2.35E-18,2,366.153698,-726.307396,-722.3107825,7.18E-12,26
18,0.903560606,0.897131313,8.37E-07,140.5380988,5.10E-09,2,214.8273515,-423.654703,-421.1550629,1.05E-11,15
19,0.919385301,0.915880314,6.95E-07,262.3077695,4.54E-14,2,320.0432722,-634.0865445,-630.429917,1.11E-11,23
20,0.95224105,0.950070188,5.44E-07,438.6466419,5.07E-16,2,313.174712,-620.349424,-616.8152625,6.51E-12,22
21,0.918439185,0.914555336,6.87E-07,236.476582,6.65E-13,2,294.7995314,-583.5990627,-580.1925801,9.91E-12,21
22,0.931190576,0.92736783,5.78E-07,243.5920738,6.62E-12,2,259.9614709,-513.9229418,-510.9357449,6.01E-12,18
23,0.951706132,0.949023139,5.27E-07,354.7181275,2.71E-13,2,261.7939876,-517.5879751,-514.6007783,5.00E-12,18
24,0.929843802,0.926920627,5.88E-07,318.0937951,2.37E-15,2,337.1578978,-668.3157956,-664.541506,8.30E-12,24
,,,,,,,,,,,
Median Values:,0.928628972,0.92525723,6.18913E-07,282.0325443,1.63814E-13,2,294.8713275,-583.742655,-580.3361724,8.68234E-12,21
,,,,,,,,,,,
,0.903560606,,,,4.60889E-19,,,,,,
,0.95224105,,,,5.10389E-09,,,,,,
