mz,rt,X300_500_Neg_JeansA.mzXML,X300_500_Neg_JeansB.mzXML,X300_500_Neg_JeansC.mzXML,X300_500_Neg_JeansD.mzXML,X300_500_Neg_JeansDx.mzXML,X300_500_Neg_JeansE.mzXML,X300_500_Neg_JeansF.mzXML,X300_500_Neg_JeansG.mzXML,X300_500_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore,,460,rows
303.2002563,7.121183333,3404.296875,100,86558.27344,100,100,3309.440186,318679.2188,491643.125,206153.8906,8,C14H27NO3,-0.484014474,-3.905299147,-5.38931362,CCCCC(CC)C(=O)NCCCCCC(O)=O,42863,[M+CH2O2-H]-,0,0,0,0,-5.38931362,,237,zeroes
304.9147339,0.636528333,111267.5234,44283.66016,40872.29688,49329.21094,47019.51172,36085.42969,36889.02734,44868.94922,38585.65234,1,0,0,0,0,0,0,0,0,0,0,0,0,,223,masses matched
305.1761271,6.12595,105610.7266,128426.75,59825.08203,126346.7109,166198.5156,109989.8125,111445.9219,92040.50781,128770.1016,5,C18H26O4;C18H26O4;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2;C17H24O2,0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674;0.00933021751346674,0.00995033085316809;0.00995033085316809;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852;-2.5028818821852,-0.980719451633365;-0.980719451633365;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173,CCCCCCCCCCOC(=O)c1ccccc1C(O)=O;CCCCCOC(=O)c1ccccc1C(=O)OCCCCC;COc1cc(ccc1O)C2CC3CCC2(C)C3(C)C;COc1cc(ccc1O)C2CC3CC2C(C)(C)C3C;COc1ccc(cc1O)C2CC3CC2C(C)(C)C3C;COc1cccc(C2CC3CC2C(C)(C)C3C)c1O;C[C@@H]1CC[C@@H](C(C)C)[C@@H](C1)OC(=O)c2ccccc2;CC(C)COC(=O)C(C)=C.Cc1ccccc1C=C;COc1ccccc1O.CC2(C)C3CCC(C3)C2=C;COc1c(C=O)c(C)cc2c1C(C)(C)CCC2(C)C,17038;3931;4014;14472;14720;14721;14722;22028;22521;38055,[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0;0;0;0;0,0;-0.5;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0,0.019280548366635;0;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173;-3.49355166467173,,,
305.2163493,6.086483333,100,100,275003.4063,4153.476563,100,9912.583984,6631.715332,33310.90234,15857.89355,3,C15H33NO6;C15H33NO6;C14H29NO3;C14H29NO3;C14H29NO3,-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974,OCCCOCCN(CCOCCCO)CCOCCCO;COCCOCCN(CCOCCOC)CCOCCOC;CCCCCCCCCC(=O)N(CCO)CCO;CCCCCCCCCC(O)=O.C1COCCN1;CC(C)CCCCCOCCCNCCC(O)=O,21641;35334;390;16226;37520,[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;0;0;0,-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974,,,
305.2163493,6.086483333,100,100,393151.6875,4189.969727,2972.075684,17376.46289,9324.382813,9776.072266,4997.130859,3,C15H33NO6;C15H33NO6;C14H29NO3;C14H29NO3;C14H29NO3,-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974,OCCCOCCN(CCOCCCO)CCOCCCO;COCCOCCN(CCOCCOC)CCOCCOC;CCCCCCCCCC(=O)N(CCO)CCO;CCCCCCCCCC(O)=O.C1COCCN1;CC(C)CCCCCOCCCNCCC(O)=O,21641;35334;390;16226;37520,[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;0;0;0,-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974,,,
307.1590678,5.0669,8644.96875,13715.27148,61334.67969,8238.228516,5558.119141,4519.050293,248196.5,123588.4531,40885.60938,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
307.1952311,7.048983333,9240666,6407192.5,35775508,6266628.5,1175465.375,42469.76172,8865967,13775270,3425748.25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
307.1952718,7.33,9240666,4152419,8402588,6266628.5,875957.8125,23216.14453,212275.9375,1134923.5,2795575.75,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
308.1986287,7.048983333,1514831.75,1070896.125,5970147,969300,192653.5,5890.248535,1312804.375,2188113.25,518139.4063,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
307.1953125,7.048983333,229539.4688,114935.375,5379940,74996.07813,26804.05273,3507.393311,35397.64063,188664.3125,54463.23828,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
