"mz","rt","X300_500_Neg_JeansA.mzXML","X300_500_Neg_JeansB.mzXML","X300_500_Neg_JeansC.mzXML","X300_500_Neg_JeansD.mzXML","X300_500_Neg_JeansDx.mzXML","X300_500_Neg_JeansE.mzXML","X300_500_Neg_JeansF.mzXML","X300_500_Neg_JeansG.mzXML","X300_500_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore","Final","avg","allscore0"
395.247629801432,9.84341666666667,6335705,3400888,35175240,4311402,1103665,25867.744140625,2006293,4151149.75,2628795.25,3,"C19H40O6S;C18H38O4S","0.00971119667165154;0.00971119667165154","0.00995033085316809;0.00995033085316809","-0.98033847247518;-0.98033847247518","CSC[C@@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)O","40161;4234","[M-H]-;[M+CH2O2-H]-",";0;0","0;0","1;0","1;1",0,"1.01966152752482;0.01966152752482","C19H40O6S",6571000.63823785,"1.01966152752482"
309.174336751302,5.77165,1580069,3139675,145522.59375,3882525,2716417.75,2044376.25,8499306,3211171,3854087.25,7,"C14H30O5S;C13H28O3S;C17H26N2O","0.00880925146637723;0.00880925146637723;-0.0432206018301957","0.00995033085316809;0.00995033085316809;-4.0085185768303","0.0187595823195453;0.0187595823195453;-4.0517391786605","CCCCCCCCCCCCOCCO[S](O)(=O)=O","23693;24007;20515","[M-H]-;[M+CH2O2-H]-;[M+Cl]-","0","0;0;-0.5","1;0;0","0",0,"1.01875958231955;0.0187595823195453;0","C14H30O5S",3230349.98263889,"1.01875958231955"
325.184356689453,9.3284,564796.375,550239.25,454825.6875,594252.375,1122806.625,576103.1875,565167.4375,477986.3125,522454.59375,5,"C18H30O3S;C18H30O3S;C18H30O3S;C18H30O3S;C17H29NO6;C16H20N8;C17H27NO5","0.00879808834452949;0.00879808834452949;0.00879808834452949;0.00879808834452949;-0.484100129611752;-0.484458420886351;-0.484100129611752","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-4.52137790855957;-4.56174676083705;-4.56661718257081","0.0187484191976976;0.0187484191976976;0.0187484191976976;0.0187484191976976;-5.00547803817132;-5.0462051817234;-5.05071731218257","CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O","28583;3371;8002;24641;43018;18336;27209","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M]-;[M-H]-","0","0;-0.5;0;0;0;0;0","1;1;1;1;0;0.5;1","0",0,"1.0187484191977;0;1.0187484191977;1.0187484191977;-5.00547803817132;-4.5462051817234;-4.05071731218257","C18H30O3S",603181.315972222,"1.0187484191977"
327.25434366862,8.04791666666667,102422.9453125,122078.8828125,97686.0859375,112073.5,87791.15625,126188.2890625,905917.875,733054.8125,291058.625,7,"C19H36O4;C19H36O4;C19H36O4;C19H36O4;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2;C18H34O2","0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243;0.00979813716114243","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689;-0.980251531985689","CCCCCCCCCC(CCCCCCCC(O)=O)C(O)=O","12965;15166;18526;22652;719;6035;7516;9000;14995;17509;18204;21001;23152;24381;27283;36341;38630;38838","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-",";0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;0;0.5;0.5;0;0;0;0","-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",0,"0;0;0;1.41974846801431;0.419748468014311;0.419748468014311;0.419748468014311;0.419748468014311;0.019748468014311;0.419748468014311;0.419748468014311;0.019748468014311;0.419748468014311;0.419748468014311;0.019748468014311;0.019748468014311;0.019748468014311;0.019748468014311","C19H36O4",286474.685763889,"1.41974846801431"
313.238596598307,7.78653333333333,48915.78125,72522,118160.4296875,79882.609375,24093.982421875,86238.1640625,550653.6875,197904.796875,73921.3984375,7,"C18H33BO4;C18H34O4;C18H34O4;C18H34O4;C17H32O2;C17H32O2;C17H32O2","0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951","OC(=O)CCCCCCCCCCCCCCCCC(O)=O","39568;6163;6376;19350;19354;21252;23617","[M]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;-0.5;0;-0.5;0;0;0","0.5;1;1;1;0;0;0","0",0,"0.519637501959295;0;1.0196375019593;0;0.0196375019592951;0.0196375019592951;0.0196375019592951","C18H34O4",139143.649956597,"1.0196375019593"
409.311391194661,8.77345,528672.1875,157611.203125,144238.40625,106411.7265625,17311.84375,73251.6484375,72809.9921875,43591.36328125,16352.3623046875,1,"C28H42O2;C28H42O2;C28H42O2","0.0098815202298973;0.0098815202298973;0.0098815202298973","0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0198318510830654;0.0198318510830654;0.0198318510830654","CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCc2c(C)c(O)cc(C)c2O1","4768;12424;12856","[M-H]-;[M-H]-;[M-H]-","0","0;0;-0.5","1;1;1","0",0,"1.01983185108307;1.01983185108307;0","C28H42O2",128916.748155382,"1.01983185108307"
411.34819539388,7.32033333333333,116154.2265625,99236.6875,73910.015625,99232.4375,107449.8828125,103030.0078125,230377.046875,158782.921875,131796.796875,7,"C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C24H46O2;C24H46O2","0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395","CCCCCCCCCCCCCCCCCCCCOC(=O)CCCC(O)=O","2665;10825;14519;18033;18527;25650;26711;29994;30816;32039;32730;41472;15939;23551","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;0;0","1;1;1;1;1;1;1;1;1;1;1;1;0;0","0",0,"0;0;0;0;0;0;0;1.01904661010474;0;0;0;0;0.0190466101047395;0.0190466101047395","C25H48O4",124441.113715278,"1.01904661010474"
369.301340738932,7.26235,79861.15625,87063.265625,83284.65625,86165.703125,100279.0546875,81373.546875,254904.75,158388.296875,91698.6796875,7,"C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C21H40O2;C21H40O2;C21H40O2;C21H40O2;C21H40O2;C21H40O2","0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316","CCCCCCCC\C=C/CCCCCCCC(=O)OCCOCCO","2664;2774;2874;3501;7242;16553;23983;30821;33619;38085;41809;3094;3138;10512;27281;39144;43235","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;0;0;0;0;0;0;0","1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0","0",0,"0;1.01880614160253;0;0;0;0;0;0;1.01880614160253;0;1.01880614160253;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316","C22H42O4",113668.789930556,"1.01880614160253"
339.254109700521,7.87395,9948.009765625,33290.19921875,148515.484375,17958.763671875,4740.03515625,3844.56005859375,413795.28125,241906.90625,48878.96875,7,"C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H38O5;C20H38O5;C20H38O5;C19H34O2;C19H34O2;C19H34O2;C19H34O2;C16H38NO4P;C16H38NO4P","0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00725983790070458;0.00725983790070458","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0172101687538727;0.0172101687538727","[O-]C(=O)CCCCCCCCCCCCCCCCCCC([O-])=O","4123;4186;8598;9532;9636;31103;44198;44199;48052;26394;26729;40385;707;15816;30804;38350;10529;11499","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M]-;[M]-","0","-0.5;-0.5;0;-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0","1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0.5;0.5","0",0,"0;0;1.01959412044335;0;0;0;1.01959412044335;1.01959412044335;1.01959412044335;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.517210168753873;0.517210168753873","C20H36O4",102542.023166233,"1.01959412044335"
397.332458496094,7.96066666666667,41782.65234375,17474.03515625,25354.453125,22738.27734375,40632.5234375,19635.083984375,326749.125,163165.25,66808.046875,7,"C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H48O5;C24H48O5;C23H44O2;C23H44O2","0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921;-0.73029375370921","CCCCCCCC\C=C/CCCCCCCC(=O)OCC(CC)(CO)CO","773;1964;2744;8668;9198;10513;11593;19799;20117;25952;40524;40940","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-",";0;0;0;0;0;0;0;0;0.5;0;0;0","-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;0;0;0;0","1;1;1;1;1;1;1;1;0;0;0;0","0.792859141494578;0.792859141494578;0.792859141494578;0.792859141494578;0.792859141494578;0.792859141494578;0.792859141494578;0.792859141494578;0.63378152547423;0.63378152547423;0.426188411299146;0.426188411299146",0,"0;0;1.06256538778537;0;0;0;0;0;0.30348777176502;-0.0965122282349801;-0.304105342410064;-0.304105342410064","C24H46O4",80482.1608072917,"1.06256538778537"
