"mz","minintensity","sampleID"
100.932,2932.43969726562,1
112.984,239584.5625,1
117.054,164494.671875,1
129.054,470659.21875,1
131.07,66026.84375,1
143.034,134432.09375,1
143.07,392089.15625,1
145.086,31679.20703125,1
148.06,229966.21875,1
157.086,91397.8515625,1
157.122,69639.9765625,1
169.086,37780.62109375,1
174.048,75033.890625,1
187.06,223060.0625,1
199.06,92784.3359375,1
201.076,131195.5625,1
201.112,40680.7265625,1
213.076,77457.65625,1
100.932,2830.94091796875,2
112.984,234840.96875,2
117.054,144560.421875,2
129.054,560014.75,2
132.922,9850.8095703125,2
143.07,389986.3125,2
148.06,240855.234375,2
157.086,141182,2
157.122,156264.65625,2
187.06,181122.375,2
199.06,116940.3203125,2
201.076,136304.15625,2
201.112,50198.55859375,2
213.076,85524.5546875,2
100.932,2471.3447265625,3
112.984,237818.875,3
117.054,122577.2578125,3
129.054,511368.96875,3
132.922,9819.103515625,3
138.018,29041.44140625,3
143.07,445179.96875,3
145.086,38578.9296875,3
148.06,249093.703125,3
157.086,119455.6328125,3
169.086,33413.9296875,3
173.044,1180675.375,3
174.048,84866.25,3
187.06,214907.5,3
199.06,100548.1640625,3
201.076,124185.828125,3
201.112,34118.19140625,3
213.076,71119.5390625,3
239.128,13953.9423828125,3
112.984,210212.625,4
117.054,161219.171875,4
121.028,99446.28125,4
129.054,503472.875,4
131.07,72044.375,4
132.922,11469.931640625,4
138.018,23807.00390625,4
143.07,389853.28125,4
148.06,250462.515625,4
157.086,83252.203125,4
157.122,110761.0859375,4
171.138,89331.6953125,4
174.048,84541.625,4
187.06,161378.15625,4
199.06,105008.8984375,4
201.076,145682.84375,4
201.112,22608.509765625,4
213.076,87370.0625,4
100.932,3007.62646484375,5
112.984,114831.15625,5
121.028,80341.78125,5
129.054,432934.78125,5
143.07,389678.40625,5
148.06,246173.96875,5
157.086,124735.0625,5
199.06,104962.6875,5
201.076,130905.4140625,5
201.112,32069.19140625,5
213.076,75666.9609375,5
100.932,2101.0283203125,6
112.984,211815.015625,6
117.054,121251.3046875,6
129.054,492910.65625,6
132.922,13347.353515625,6
143.034,257334.625,6
143.07,404187.40625,6
145.086,53823.28125,6
148.06,238415.890625,6
157.086,131246.828125,6
157.122,170181.171875,6
169.086,38646.8828125,6
187.06,150349.6875,6
199.06,91633.6484375,6
201.076,135280.796875,6
201.112,66636.0859375,6
213.076,82251.359375,6
239.128,11447.1669921875,6
100.932,2543.240234375,7
112.984,194157.34375,7
117.054,210630.78125,7
121.028,132603.09375,7
129.054,490491.34375,7
131.07,65754.1484375,7
132.922,13035.9072265625,7
143.07,390487.78125,7
145.086,44145.0625,7
148.06,232327.484375,7
157.086,122413.4765625,7
169.086,29888.708984375,7
171.138,90510.515625,7
173.044,1136821.25,7
174.048,83687.84375,7
187.06,184697.90625,7
194.066,26459.53125,7
199.06,111979.828125,7
201.076,122093.34375,7
201.112,46192,7
213.076,81593.140625,7
227.128,16527.1171875,7
239.128,14371.19140625,7
100.932,2463.12084960938,8
112.984,222270.640625,8
117.054,221258.046875,8
128.948,4301.7392578125,8
129.054,550028.75,8
132.922,12330.951171875,8
138.018,24817.83203125,8
143.07,402786.6875,8
145.086,46491.27734375,8
148.06,224208.109375,8
155.07,40879.0546875,8
157.086,127417.71875,8
173.044,1195542.375,8
174.048,81078.515625,8
187.06,217527.140625,8
199.06,105460.296875,8
201.076,147009.703125,8
201.112,50395.2890625,8
213.076,81390.0390625,8
100.932,2632.84790039062,9
112.984,209430.046875,9
117.054,208595.59375,9
129.054,459095.4375,9
131.07,66172.2578125,9
132.922,13365.412109375,9
143.07,363057,9
145.086,41282.03515625,9
148.06,228886.578125,9
155.07,36713.1875,9
157.086,121125.53125,9
173.044,1144246.375,9
187.06,162165.65625,9
199.06,89401.3046875,9
201.076,120065.0546875,9
201.112,38234.4140625,9
213.076,66068.4375,9
239.128,11927.6708984375,9
100.932,2126.02709960938,10
112.984,213536.046875,10
117.054,186271.265625,10
121.028,164346.921875,10
129.054,483467.5625,10
131.07,66423.0390625,10
132.922,11861.115234375,10
138.018,25829.783203125,10
143.07,404897.125,10
145.086,46276.97265625,10
148.06,245324.265625,10
157.086,132211.8125,10
157.122,129719.5390625,10
173.044,1151202.875,10
174.048,92247.4375,10
187.06,170507.78125,10
199.06,103999.3671875,10
201.076,133355.546875,10
201.112,41080.1953125,10
213.076,74192.7265625,10
100.932,2326.560546875,11
112.984,230925.09375,11
117.054,154910.46875,11
121.028,102734.171875,11
129.018,60510.94140625,11
129.054,533728.1875,11
132.922,11067.984375,11
138.018,24570.529296875,11
143.07,415836.125,11
145.086,44004.49609375,11
148.06,230003.75,11
157.086,118225.109375,11
157.122,113707.578125,11
169.086,34978.95703125,11
171.138,77697.1875,11
173.044,1125979.25,11
174.048,84406.0078125,11
187.06,199924.859375,11
199.06,92799.2265625,11
201.076,151571.46875,11
201.112,36601.92578125,11
213.076,88435.3125,11
239.128,14403.2470703125,11
100.932,2586.24438476562,12
112.984,231756.125,12
117.054,164077.484375,12
129.054,525265.25,12
131.07,71566.78125,12
132.922,11092.8740234375,12
143.07,412989.09375,12
145.086,45721.359375,12
148.06,233856.578125,12
157.086,113198.34375,12
171.138,106533.9296875,12
187.06,255463.453125,12
199.06,118296.4765625,12
201.076,149910.59375,12
201.112,41884.1015625,12
213.076,87802.453125,12
100.932,2192.94360351562,13
112.984,216224.5,13
117.054,146975.328125,13
121.028,147196.21875,13
129.054,568896.875,13
131.07,69757.9140625,13
132.922,11824.14453125,13
138.018,23728.916015625,13
143.07,383840.875,13
148.06,236541.09375,13
157.086,106627.9765625,13
187.06,159935.21875,13
199.06,122318.0234375,13
201.076,140999.28125,13
213.076,87655.5546875,13
100.932,3222.70581054688,14
112.984,205905.109375,14
117.054,224765.203125,14
121.028,120435.09375,14
129.054,529424.25,14
131.07,69540.3203125,14
132.922,12884.8642578125,14
138.018,25160.9609375,14
143.07,452170.78125,14
145.086,39897.7578125,14
148.06,231359.671875,14
157.086,100426.125,14
157.122,105529.171875,14
169.086,39971.484375,14
173.044,1262711.125,14
187.06,242014.5625,14
194.066,30056.2265625,14
199.06,103613.53125,14
201.076,137736.53125,14
213.076,90732.1015625,14
100.932,2550.60278320312,15
112.984,227043.921875,15
117.054,230316.9375,15
121.028,167383.921875,15
129.054,542876.375,15
131.07,64199.0703125,15
132.922,11666.619140625,15
138.018,24774.169921875,15
143.07,343944.6875,15
145.086,42265.98046875,15
148.06,231572.46875,15
157.086,116249.8984375,15
169.086,34976.81640625,15
171.138,116207.2265625,15
187.06,276072.71875,15
194.066,30038.314453125,15
199.06,103671.1875,15
201.076,146549.59375,15
201.112,39133.0234375,15
213.076,79299.7109375,15
239.128,10184.8984375,15
100.932,2245.50830078125,16
112.984,239564.6875,16
117.054,121213.765625,16
121.028,104273.7734375,16
129.054,549906.875,16
132.922,10967.091796875,16
138.018,23291.857421875,16
143.07,411919.25,16
145.086,48780.140625,16
148.06,233315.109375,16
155.07,42589.47265625,16
157.086,115899.1484375,16
173.044,1280742.25,16
174.048,98825.8125,16
187.06,193259.15625,16
199.06,118334.8046875,16
201.076,150723.75,16
201.112,46703.4609375,16
213.076,90826.0234375,16
239.128,12007.5029296875,16
283.118,3698.94604492188,16
100.932,2574.67993164062,17
112.984,229006.875,17
117.054,173503.421875,17
129.054,461424.0625,17
131.07,62257.66796875,17
132.922,11728.623046875,17
138.018,24270.28125,17
143.07,449382.65625,17
145.086,40985.30859375,17
148.06,233862.453125,17
157.086,113375.6953125,17
169.086,37578.28125,17
173.044,1103628.5,17
174.048,85355.859375,17
187.06,175437.375,17
199.06,88178.1640625,17
201.076,116624.7578125,17
201.112,35692.16015625,17
213.076,71604.9609375,17
112.984,190595.25,18
117.054,147481.96875,18
121.028,127454.296875,18
129.054,539043.25,18
131.07,71260.3984375,18
132.922,10827.8466796875,18
138.018,26875.728515625,18
143.07,389166.5,18
145.086,46392.77734375,18
148.06,257300.5,18
157.086,122138.828125,18
199.06,123180.9296875,18
201.076,135939.859375,18
201.112,38365.53125,18
213.076,82938.953125,18
100.932,2356.0126953125,19
112.984,196926.53125,19
117.054,196364.390625,19
121.028,144887.703125,19
129.054,586550.625,19
131.07,73203.109375,19
132.922,8584.134765625,19
138.018,25221.6484375,19
143.07,446530.46875,19
145.086,49130.58203125,19
148.06,230109.546875,19
157.086,135298.078125,19
157.122,159293.0625,19
171.138,127540.875,19
173.044,1198842.5,19
187.06,201565.03125,19
194.066,32556.404296875,19
199.06,117881.5,19
201.076,155283.1875,19
201.112,59174.86328125,19
213.076,87470.625,19
213.112,24912.181640625,19
239.128,14423.6943359375,19
100.932,2396.09497070312,20
112.984,209152.515625,20
117.054,181603.65625,20
121.028,136881.875,20
129.054,474319.5,20
131.07,66650.828125,20
132.922,10797.6845703125,20
138.018,25828.173828125,20
143.07,417985.03125,20
145.086,43379.72265625,20
148.06,208824.546875,20
157.086,115550.3203125,20
167.07,19423.44921875,20
169.086,33557.7734375,20
173.044,1220855.375,20
187.06,280982.4375,20
199.06,106005.4609375,20
201.076,127728.6953125,20
201.112,51186.25390625,20
213.076,84012,20
100.932,2250.88012695312,21
112.984,238237.40625,21
121.028,161372.0625,21
129.054,545872.125,21
131.07,73532.296875,21
132.922,11924.298828125,21
138.018,22376.349609375,21
143.07,405980.0625,21
145.086,49084.9375,21
148.06,240837.90625,21
155.07,41899.75,21
157.086,130551.0703125,21
169.086,34938.203125,21
171.138,87801.890625,21
173.044,1292977.875,21
187.06,200810.515625,21
194.066,28659.923828125,21
199.06,122083.765625,21
201.076,152223.9375,21
201.112,43384.7265625,21
213.076,88161.8203125,21
100.932,2224.05151367188,22
112.984,245206.484375,22
117.054,135204.015625,22
121.028,81226.6484375,22
129.054,571610.3125,22
131.07,74011.8671875,22
132.922,12504.6220703125,22
138.018,26162.41796875,22
143.07,460151.1875,22
145.086,47913.69921875,22
148.06,220898.34375,22
157.086,136272.671875,22
169.086,43949.68359375,22
173.044,1264692.125,22
187.06,232817.234375,22
199.06,116798.828125,22
201.076,140805.203125,22
201.112,40795.69140625,22
213.076,86406.0078125,22
100.932,2736.64038085938,23
112.984,210894.90625,23
117.054,186862.46875,23
121.028,123510.890625,23
129.054,563040.0625,23
131.07,79914.671875,23
132.922,11338.8046875,23
138.018,21027.048828125,23
143.034,201965.28125,23
143.07,409607.96875,23
145.086,45520.98046875,23
148.06,240462.71875,23
157.086,126753.03125,23
169.086,36007.44921875,23
187.06,171719.9375,23
194.066,28693.33203125,23
199.06,114494.265625,23
201.076,127320.8515625,23
201.112,38008.21875,23
213.076,75370.703125,23
225.076,11054.625,23
100.932,2011.14099121094,24
112.984,231018.1875,24
121.028,129514.5703125,24
129.054,516753.03125,24
131.07,76763.75,24
132.922,13082.759765625,24
143.07,420599.75,24
145.086,46759.21484375,24
148.06,234122.265625,24
157.086,128847.7890625,24
157.122,118804.7734375,24
169.086,41852.546875,24
174.048,94470.765625,24
187.06,282133.5,24
199.06,100166.3203125,24
201.076,124485.3203125,24
201.112,33981.63671875,24
213.076,81001.2421875,24
259.082,48927.4609375,24
100.932,3007.30346679688,25
112.984,232882.59375,25
117.054,177965.6875,25
121.028,139404.875,25
129.054,528779.0625,25
131.07,67959.71875,25
132.922,13426.951171875,25
138.018,24863.97265625,25
143.07,409247.71875,25
145.086,46693.62109375,25
148.06,255686.390625,25
155.07,37588.859375,25
157.086,122398.5,25
157.122,134521.046875,25
167.07,23542.82421875,25
171.138,85779.25,25
174.048,85016.4140625,25
187.06,182708.1875,25
194.066,34572.9609375,25
199.06,95041.375,25
201.076,133605.125,25
201.112,45099.2421875,25
213.076,85243.765625,25
100.932,2310.01489257812,26
112.984,206263.328125,26
117.054,210608.625,26
121.028,102516.625,26
129.054,568767.3125,26
131.07,66837.46875,26
132.922,13339.423828125,26
138.018,21267.84375,26
143.07,400790.59375,26
145.086,41755.91796875,26
148.06,249420.875,26
157.086,129960.3671875,26
171.138,108148.6484375,26
173.044,1325093.5,26
187.06,173136.265625,26
199.06,103452.453125,26
201.076,148101.28125,26
201.112,44096.625,26
213.076,85158.625,26
100.932,2009.28601074219,27
112.984,193178.9375,27
117.054,158374.078125,27
129.054,439719.78125,27
131.07,63852.91015625,27
132.922,11508.6435546875,27
143.07,398440.09375,27
148.06,227093.765625,27
157.086,117733.984375,27
157.122,128670.359375,27
169.086,33208.22265625,27
175.06,91134.6484375,27
187.06,252808.671875,27
199.06,105702.578125,27
201.076,140576.1875,27
201.112,39894.76953125,27
213.076,82610.421875,27
259.082,47457.44140625,27
100.932,2510.55102539062,28
112.984,204934.984375,28
117.054,224909.21875,28
121.028,142701.734375,28
129.054,471647.5,28
131.07,63183.48828125,28
132.922,11292.9951171875,28
143.07,435075.59375,28
145.086,49590.578125,28
148.06,229201.4375,28
157.086,125078.203125,28
169.086,37936.96875,28
174.048,84332.078125,28
187.06,215112.328125,28
199.06,108310.1015625,28
201.076,141584.703125,28
201.112,48878.9375,28
213.076,82573.2265625,28
259.082,50453.48046875,28
100.932,2870.57788085938,29
112.984,200655.65625,29
117.054,167905.671875,29
121.028,121536.1484375,29
129.054,484962.25,29
131.07,72743.828125,29
138.018,22761.177734375,29
143.07,419524.15625,29
145.086,54127.375,29
148.06,172783.203125,29
157.086,96322.296875,29
157.122,93575.265625,29
169.086,40643.58203125,29
174.048,90079.0390625,29
199.06,102462.0078125,29
201.076,131991.578125,29
201.112,59340.296875,29
213.076,80757.546875,29
100.932,2651.54956054688,30
112.984,221097.53125,30
117.054,100471.0234375,30
129.054,322214.8125,30
132.922,10495.7509765625,30
138.018,20884.869140625,30
143.07,349681.46875,30
148.06,210098.359375,30
157.086,136366.015625,30
165.04,66838.2890625,30
171.138,87975.75,30
173.044,1085399,30
187.06,173760.421875,30
199.06,92239.765625,30
201.076,142559.234375,30
201.112,45830.84375,30
213.076,90720.421875,30
102.018,31816.86328125,31
112.984,209982.734375,31
117.054,131239.71875,31
121.028,85731.640625,31
129.018,60013.6640625,31
129.054,486234.5625,31
131.07,73188.4375,31
143.07,356138.28125,31
145.086,49197.33203125,31
146.062,44068.8515625,31
148.06,190778.0625,31
155.07,37820.46875,31
157.086,119104.21875,31
157.122,120907.9921875,31
169.086,34156.8359375,31
174.048,78598.5546875,31
175.06,104589.4453125,31
187.06,240219.09375,31
199.06,100486.046875,31
201.076,137721.203125,31
201.112,49888.20703125,31
213.076,81463,31
215.128,11635.51171875,31
225.076,9109.5732421875,31
239.128,12458.025390625,31
259.082,48546.55859375,31
100.932,2063.09033203125,32
112.984,228414.859375,32
117.054,115020.1875,32
121.028,111360.515625,32
129.054,426493.34375,32
143.07,363561.5,32
148.06,232056.984375,32
157.086,136283.890625,32
157.122,87057.953125,32
169.086,38649.85546875,32
171.138,77210.84375,32
187.06,208535.78125,32
199.06,107064.90625,32
201.076,102409.640625,32
201.112,59934.04296875,32
213.076,83398.34375,32
100.932,2890.2255859375,33
112.984,194656.4375,33
117.054,229498.640625,33
121.028,219823.59375,33
129.054,464896.6875,33
131.07,75955.875,33
132.922,11286.005859375,33
138.018,22312.859375,33
143.07,404971.03125,33
145.086,46661.59765625,33
148.06,193019.96875,33
155.07,36600.48828125,33
157.086,132018.515625,33
157.122,149337.90625,33
171.138,124731.203125,33
187.06,234139.4375,33
199.06,98174.9296875,33
201.076,125935.46875,33
201.112,56570.328125,33
213.076,84425.78125,33
239.128,18007.166015625,33
100.932,2388.77026367188,34
112.984,278256.34375,34
129.054,606558.625,34
143.07,480387.4375,34
148.06,245447.46875,34
157.086,162114.1875,34
187.06,225384.046875,34
199.06,128930.0859375,34
201.076,169475.4375,34
201.112,50790.69921875,34
213.076,114385.1015625,34
100.932,2595.60913085938,35
112.984,242020.359375,35
117.054,207054.171875,35
121.028,187690.265625,35
129.054,556987.125,35
131.07,87975.703125,35
132.922,10856.0283203125,35
143.07,417073.75,35
145.086,51885.4765625,35
148.06,255745,35
157.086,148732.21875,35
157.122,156137.625,35
165.04,54738.89453125,35
171.138,147555.65625,35
174.048,99084.3046875,35
187.06,191232.78125,35
194.066,15992.0654296875,35
199.06,120419.03125,35
201.076,148697.796875,35
201.112,61806.30078125,35
213.076,107318.09375,35
100.932,19703.083984375,36
112.984,327774.96875,36
117.054,251037.21875,36
121.028,256890.640625,36
129.054,698679.375,36
131.07,135536,36
132.922,62823.1640625,36
138.018,72294.2109375,36
143.07,589540.8125,36
145.086,91949.1796875,36
148.06,374815.71875,36
157.086,320316.96875,36
171.138,127755.9375,36
187.06,206122.84375,36
194.066,77811.671875,36
201.076,128996.640625,36
201.112,49916.12109375,36
213.076,65405.4765625,36
215.128,19044.4609375,36
239.092,10853.9091796875,36
100.932,19764.884765625,37
102.018,36350.390625,37
112.984,331968.0625,37
117.054,204399.9375,37
121.028,160005.109375,37
129.054,677099.0625,37
131.07,132236.21875,37
132.922,50184.33984375,37
138.018,60732.65625,37
143.07,559763,37
145.086,89865.7890625,37
148.06,370574.0625,37
157.086,297655.71875,37
157.122,133430.421875,37
169.086,65371.0625,37
174.048,132610.75,37
199.06,106124.25,37
201.076,142693.15625,37
201.112,58383.9609375,37
213.076,64000.54296875,37
100.932,20457.52734375,38
112.984,337107.8125,38
117.054,227458.578125,38
129.054,649658.75,38
131.07,114388.5703125,38
143.07,587517.1875,38
148.06,375265.53125,38
157.086,310345.5,38
201.076,139211.046875,38
213.076,62684.234375,38
100.932,15989.78125,39
112.984,337651.09375,39
117.054,194647.765625,39
121.028,152293.75,39
129.054,565834,39
131.07,104802.1875,39
132.922,36530.7734375,39
143.07,513082.125,39
145.086,79786.578125,39
148.06,346924.9375,39
157.086,247500.875,39
201.076,133967.765625,39
201.112,50427.86328125,39
213.076,67973.53125,39
100.932,12885.556640625,40
102.018,43702.90625,40
112.984,337400.03125,40
117.054,251081.953125,40
121.028,74029.0390625,40
129.018,48931.58984375,40
129.054,390527.15625,40
130.058,29709.486328125,40
131.034,107531.25,40
131.07,85424.3671875,40
132.922,19696.115234375,40
138.018,48535.390625,40
143.034,199887.5625,40
143.07,268007.84375,40
145.086,60479.87890625,40
148.06,66046.9609375,40
155.07,49060.61328125,40
157.086,79340.6484375,40
157.122,41468.921875,40
165.04,44413.59765625,40
167.07,20648.541015625,40
169.086,40657.78125,40
171.138,35278.5546875,40
174.048,90696.2890625,40
175.06,109596.15625,40
187.06,246116.703125,40
194.066,26471.970703125,40
199.06,117451.875,40
201.076,83112.6953125,40
201.112,29829.0234375,40
213.076,60965.671875,40
215.092,89256.15625,40
239.128,20741.529296875,40
259.082,46753.359375,40
273.098,25566.7421875,40
100.932,14023.193359375,41
112.984,287262.34375,41
117.054,152434.984375,41
121.028,132223.328125,41
129.054,638616.5625,41
131.07,113769.2109375,41
132.922,33354.3046875,41
138.018,43726.16015625,41
143.07,523932.90625,41
145.086,70403.140625,41
148.06,347044.96875,41
157.086,228014.125,41
157.122,112336.046875,41
169.086,53803.21875,41
171.138,159649.625,41
174.048,119816.5,41
187.06,208881.28125,41
199.06,106994.140625,41
201.076,132801.78125,41
100.932,11645.9814453125,42
112.984,245816.296875,42
117.054,116639.5546875,42
121.028,94821.0234375,42
129.054,206580.421875,42
131.07,103998.7421875,42
132.922,29829.048828125,42
138.018,49931.8359375,42
143.07,275874.15625,42
145.086,67432.34375,42
148.06,335789.4375,42
157.086,226792.109375,42
169.086,41811.76171875,42
171.138,80877.4921875,42
187.06,223634.1875,42
201.076,144086.046875,42
201.112,43453.1875,42
241.108,27880.62890625,42
100.932,8974.857421875,43
112.984,302148.3125,43
117.054,142692.078125,43
121.028,219570.921875,43
129.018,52979.1640625,43
129.054,612142.625,43
131.07,101857.0703125,43
132.922,33776.30078125,43
143.034,172242.84375,43
143.07,483045.46875,43
145.086,69227.109375,43
148.06,316130.875,43
157.086,210661.9375,43
157.122,108880.7578125,43
169.086,49099.16796875,43
174.048,104943.9296875,43
187.06,211512.4375,43
194.066,52800.640625,43
199.06,127267.328125,43
201.076,128676.6171875,43
213.076,74017.609375,43
241.108,27403.6484375,43
100.932,7456.6953125,44
112.984,298432.90625,44
117.054,203730.859375,44
121.028,150136.40625,44
131.07,107057.8125,44
132.922,25438.48046875,44
143.034,195875.734375,44
143.07,454868.34375,44
145.086,65598.8671875,44
148.06,304372.875,44
157.086,182294.15625,44
169.086,47218.6328125,44
171.138,88394.765625,44
174.048,106980.15625,44
187.06,129127.6640625,44
201.076,151450.9375,44
215.128,13051.0869140625,44
100.932,5524.4052734375,45
112.984,273712.375,45
117.054,223010.90625,45
121.028,162180.171875,45
131.07,97561.890625,45
132.922,21437.67578125,45
143.034,250255.796875,45
143.07,502429.53125,45
145.086,62638.125,45
148.06,317581.15625,45
157.086,190211.1875,45
157.122,98721.2890625,45
169.086,42689.08984375,45
171.138,140037.953125,45
174.048,109313.0390625,45
187.06,199184.875,45
201.076,132640,45
241.108,32471.724609375,45
265.148,40048.328125,45
100.932,7716.43505859375,47
112.984,266365.6875,47
129.054,449023.53125,47
131.07,98923.90625,47
132.922,21574.375,47
143.034,233503.65625,47
143.07,443975.25,47
145.086,53512.30078125,47
148.06,298615.875,47
157.086,180105.625,47
169.086,44336.66015625,47
171.138,141270.359375,47
174.048,103677.65625,47
187.06,210329,47
201.076,143444.171875,47
241.108,27917.060546875,47
100.932,6961.33837890625,48
112.984,278789.96875,48
117.054,181141.140625,48
131.07,102829.4296875,48
132.922,22899.939453125,48
143.034,192082.515625,48
143.07,463643.84375,48
145.086,59498.18359375,48
148.06,291948.53125,48
157.086,176824.765625,48
157.122,110525.125,48
187.06,204541.28125,48
201.076,145596.140625,48
121.028,188850.53125,50
100.932,4461.478515625,51
112.984,225394.90625,51
117.054,218158.578125,51
121.028,220728.640625,51
131.07,86493.78125,51
132.922,16639.94921875,51
143.07,453270.71875,51
145.086,50932.67578125,51
148.06,286837,51
157.086,178504.5,51
157.122,125781.40625,51
169.086,35611.95703125,51
171.138,148774.796875,51
174.048,94572.796875,51
182.988,19138.9453125,51
187.06,212357.484375,51
201.076,127934.5078125,51
213.076,66934.0390625,51
225.076,9174.3232421875,51
241.108,27973.099609375,51
100.932,5075.4833984375,52
112.984,251952.6875,52
117.054,196201.140625,52
121.028,160944.609375,52
131.07,86819.390625,52
143.034,180491.71875,52
143.07,420171.75,52
145.086,55268.3828125,52
148.06,265806.03125,52
157.086,148332.609375,52
169.086,44848.10546875,52
182.988,22297.509765625,52
201.076,126374.5546875,52
215.128,15717.412109375,52
241.108,29423.21875,52
265.148,50778.515625,52
100.932,3447.5693359375,53
112.984,270886.09375,53
117.054,105040.703125,53
121.028,144925.5625,53
129.054,367759.90625,53
131.07,64756.734375,53
138.018,34387.7265625,53
143.034,179900.640625,53
143.07,278964.59375,53
145.086,51273.7421875,53
148.06,128553.3046875,53
157.086,111389.96875,53
201.076,153975.375,53
213.076,87482.9921875,53
100.932,5329.56298828125,54
112.984,251348.203125,54
117.054,251932.171875,54
121.028,265264.65625,54
129.054,601711.3125,54
131.07,110744.2890625,54
132.922,21753.90234375,54
143.07,468584.59375,54
145.086,62551.53515625,54
148.06,285609.28125,54
157.086,200344.46875,54
157.122,178885.25,54
169.086,45714.9296875,54
171.138,167297.984375,54
174.048,107687.65625,54
187.06,240914.40625,54
201.076,145872.6875,54
201.112,52593.91015625,54
213.076,83320.96875,54
227.128,23484.421875,54
241.108,35208.84375,54
259.082,60742.80078125,54
100.932,3118.1845703125,55
112.984,240454.140625,55
117.054,214841.5625,55
121.028,272972.75,55
129.054,578773.25,55
131.07,92908.9609375,55
132.922,20016.8359375,55
143.07,472782.59375,55
145.086,58249.99609375,55
148.06,294084.96875,55
157.086,159585.15625,55
157.122,153699.203125,55
171.138,148279.40625,55
199.06,105640.84375,55
201.076,134557.359375,55
201.112,47595.5625,55
241.108,31529.09375,55
100.932,3649.341796875,56
112.984,179848.609375,56
117.054,64195.0234375,56
121.028,122743.2421875,56
129.054,421497.78125,56
131.07,89622.078125,56
132.922,20267.96875,56
143.034,149521.96875,56
143.07,448797.46875,56
145.086,58485.87109375,56
148.06,270496.84375,56
157.086,153482.96875,56
171.138,95004.4921875,56
201.076,148651.09375,56
213.076,83890.4609375,56
241.108,28491.166015625,56
100.932,4111.02685546875,57
112.984,265212.5,57
