"mz","minintensity","sampleID"
112.984,239584.5625,1
129.054,470659.21875,1
143.07,392089.15625,1
148.06,229966.21875,1
187.06,223060.0625,1
201.076,131195.5625,1
213.076,77457.65625,1
100.932,2830.94091796875,2
112.984,234840.96875,2
129.054,560014.75,2
143.07,389986.3125,2
157.086,141182,2
213.076,85524.5546875,2
112.984,237818.875,3
129.054,511368.96875,3
132.922,9819.103515625,3
143.07,445179.96875,3
148.06,249093.703125,3
157.086,119455.6328125,3
187.06,214907.5,3
201.076,124185.828125,3
201.112,34118.19140625,3
213.076,71119.5390625,3
112.984,210212.625,4
129.054,503472.875,4
143.07,389853.28125,4
148.06,250462.515625,4
201.076,145682.84375,4
213.076,87370.0625,4
112.984,114831.15625,5
129.054,432934.78125,5
143.07,389678.40625,5
148.06,246173.96875,5
157.086,124735.0625,5
201.076,130905.4140625,5
213.076,75666.9609375,5
112.984,211815.015625,6
129.054,492910.65625,6
143.07,404187.40625,6
148.06,238415.890625,6
201.076,135280.796875,6
201.112,66636.0859375,6
112.984,194157.34375,7
117.054,210630.78125,7
129.054,490491.34375,7
131.07,65754.1484375,7
143.07,390487.78125,7
148.06,232327.484375,7
157.086,122413.4765625,7
199.06,111979.828125,7
201.112,46192,7
112.984,222270.640625,8
129.054,550028.75,8
132.922,12330.951171875,8
138.018,24817.83203125,8
143.07,402786.6875,8
148.06,224208.109375,8
157.086,127417.71875,8
199.06,105460.296875,8
201.076,147009.703125,8
201.112,50395.2890625,8
112.984,209430.046875,9
129.054,459095.4375,9
132.922,13365.412109375,9
143.07,363057,9
145.086,41282.03515625,9
148.06,228886.578125,9
157.086,121125.53125,9
173.044,1144246.375,9
187.06,162165.65625,9
201.076,120065.0546875,9
213.076,66068.4375,9
112.984,213536.046875,10
129.054,483467.5625,10
131.07,66423.0390625,10
132.922,11861.115234375,10
138.018,25829.783203125,10
143.07,404897.125,10
148.06,245324.265625,10
157.086,132211.8125,10
199.06,103999.3671875,10
201.076,133355.546875,10
201.112,41080.1953125,10
213.076,74192.7265625,10
112.984,230925.09375,11
129.054,533728.1875,11
132.922,11067.984375,11
143.07,415836.125,11
148.06,230003.75,11
157.086,118225.109375,11
187.06,199924.859375,11
199.06,92799.2265625,11
201.076,151571.46875,11
112.984,231756.125,12
129.054,525265.25,12
143.07,412989.09375,12
148.06,233856.578125,12
157.086,113198.34375,12
187.06,255463.453125,12
199.06,118296.4765625,12
201.076,149910.59375,12
213.076,87802.453125,12
112.984,216224.5,13
129.054,568896.875,13
143.07,383840.875,13
148.06,236541.09375,13
201.076,140999.28125,13
112.984,205905.109375,14
121.028,120435.09375,14
129.054,529424.25,14
132.922,12884.8642578125,14
138.018,25160.9609375,14
143.07,452170.78125,14
148.06,231359.671875,14
157.086,100426.125,14
199.06,103613.53125,14
201.076,137736.53125,14
213.076,90732.1015625,14
112.984,227043.921875,15
117.054,230316.9375,15
129.054,542876.375,15
131.07,64199.0703125,15
132.922,11666.619140625,15
143.07,343944.6875,15
145.086,42265.98046875,15
148.06,231572.46875,15
157.086,116249.8984375,15
199.06,103671.1875,15
201.076,146549.59375,15
213.076,79299.7109375,15
112.984,239564.6875,16
117.054,121213.765625,16
129.054,549906.875,16
132.922,10967.091796875,16
138.018,23291.857421875,16
143.07,411919.25,16
148.06,233315.109375,16
157.086,115899.1484375,16
173.044,1280742.25,16
199.06,118334.8046875,16
201.076,150723.75,16
201.112,46703.4609375,16
213.076,90826.0234375,16
112.984,229006.875,17
129.054,461424.0625,17
132.922,11728.623046875,17
143.07,449382.65625,17
148.06,233862.453125,17
157.086,113375.6953125,17
199.06,88178.1640625,17
201.076,116624.7578125,17
213.076,71604.9609375,17
112.984,190595.25,18
117.054,147481.96875,18
129.054,539043.25,18
131.07,71260.3984375,18
143.07,389166.5,18
148.06,257300.5,18
157.086,122138.828125,18
201.076,135939.859375,18
213.076,82938.953125,18
112.984,196926.53125,19
117.054,196364.390625,19
129.054,586550.625,19
132.922,8584.134765625,19
143.07,446530.46875,19
148.06,230109.546875,19
157.086,135298.078125,19
173.044,1198842.5,19
201.076,155283.1875,19
201.112,59174.86328125,19
213.076,87470.625,19
112.984,209152.515625,20
117.054,181603.65625,20
129.054,474319.5,20
131.07,66650.828125,20
132.922,10797.6845703125,20
138.018,25828.173828125,20
143.07,417985.03125,20
148.06,208824.546875,20
