"mz","minintensity","sampleID"
100.932,2932.43969726562,1
112.984,239584.5625,1
115.039,136776.25,1
115.919,128134.9140625,1
116.927,293115.15625,1
117.054,164494.671875,1
127.039,264765.875,1
127.075,45787.67578125,1
129.054,470659.21875,1
130.943,98913.2890625,1
131.07,66026.84375,1
131.943,11223.5224609375,1
143.034,134432.09375,1
143.07,392089.15625,1
145.049,159748.859375,1
145.086,31679.20703125,1
148.06,229966.21875,1
148.951,527216.8125,1
157.086,91397.8515625,1
157.122,69639.9765625,1
159.065,452494.15625,1
169.086,37780.62109375,1
171.065,133079.65625,1
173.081,99122.140625,1
173.117,37670.73046875,1
174.048,75033.890625,1
183.065,37298.96484375,1
185.081,62115.93359375,1
187.06,223060.0625,1
187.133,20478.076171875,1
197.081,25773.70703125,1
199.06,92784.3359375,1
199.097,39695.3125,1
199.133,35946.66796875,1
201.076,131195.5625,1
201.112,40680.7265625,1
213.076,77457.65625,1
229.071,77512.546875,1
231.087,146266.140625,1
243.087,49698.4375,1
100.932,2830.94091796875,2
112.984,234840.96875,2
115.919,177341.234375,2
116.927,271075.71875,2
117.054,144560.421875,2
127.075,53903.26953125,2
129.054,560014.75,2
130.943,121384.6640625,2
131.943,8589.220703125,2
132.922,9850.8095703125,2
143.07,389986.3125,2
145.049,99512.953125,2
148.06,240855.234375,2
148.951,514390.53125,2
157.086,141182,2
157.122,156264.65625,2
159.065,276349.25,2
171.065,138992.59375,2
173.081,112089.8359375,2
173.117,49764.08984375,2
185.117,73120.7734375,2
187.06,181122.375,2
199.06,116940.3203125,2
201.076,136304.15625,2
201.112,50198.55859375,2
213.076,85524.5546875,2
243.087,57951.72265625,2
243.123,12448.76953125,2
266.151,4283.4912109375,2
100.932,2471.3447265625,3
112.984,237818.875,3
115.919,170879.328125,3
116.927,268430.5625,3
117.054,122577.2578125,3
127.039,339561.8125,3
127.075,52979.5234375,3
129.054,511368.96875,3
130.943,135131.171875,3
131.943,14375.72265625,3
132.922,9819.103515625,3
138.018,29041.44140625,3
143.07,445179.96875,3
145.049,154658.421875,3
145.086,38578.9296875,3
148.06,249093.703125,3
148.951,513402.125,3
157.086,119455.6328125,3
159.065,202125.984375,3
169.086,33413.9296875,3
171.065,124417.578125,3
173.044,1180675.375,3
173.081,101232.59375,3
173.117,42537.7578125,3
174.048,84866.25,3
183.065,33055.71484375,3
185.081,64554.81640625,3
185.117,54757.73046875,3
187.06,214907.5,3
197.081,24330.455078125,3
199.06,100548.1640625,3
199.133,31473.7421875,3
201.076,124185.828125,3
201.112,34118.19140625,3
213.076,71119.5390625,3
239.128,13953.9423828125,3
243.087,51950,3
243.123,11594.259765625,3
112.984,210212.625,4
115.919,133032.453125,4
116.927,297254.28125,4
117.054,161219.171875,4
121.028,99446.28125,4
127.075,59906.98828125,4
129.054,503472.875,4
130.943,108298.9140625,4
131.07,72044.375,4
131.943,11592.9755859375,4
132.922,11469.931640625,4
138.018,23807.00390625,4
143.07,389853.28125,4
145.049,128852.0390625,4
148.06,250462.515625,4
148.951,469846.65625,4
157.086,83252.203125,4
157.122,110761.0859375,4
159.065,260877.734375,4
171.065,134648.5625,4
171.138,89331.6953125,4
173.081,122491.4375,4
173.117,37162.73046875,4
174.048,84541.625,4
185.081,64263.75390625,4
185.117,40943.4609375,4
187.06,161378.15625,4
199.06,105008.8984375,4
199.133,36036.78515625,4
201.076,145682.84375,4
201.112,22608.509765625,4
213.076,87370.0625,4
217.107,28876.453125,4
231.087,171540.8125,4
243.087,56178.21484375,4
100.932,3007.62646484375,5
112.984,114831.15625,5
115.919,173874.796875,5
116.927,170681.421875,5
121.028,80341.78125,5
127.075,52633.67578125,5
129.054,432934.78125,5
130.943,142962.828125,5
131.943,13217.439453125,5
143.07,389678.40625,5
148.06,246173.96875,5
148.951,519718.21875,5
157.086,124735.0625,5
159.065,223005.59375,5
171.065,123447.6640625,5
199.06,104962.6875,5
201.076,130905.4140625,5
201.112,32069.19140625,5
213.076,75666.9609375,5
229.071,76810.0390625,5
243.087,59602.109375,5
243.123,12380.1865234375,5
100.932,2101.0283203125,6
111.007,44765.48046875,6
112.984,211815.015625,6
115.039,196409.203125,6
115.919,175181.8125,6
116.927,224385.65625,6
117.054,121251.3046875,6
127.075,55912.578125,6
129.054,492910.65625,6
130.943,141617.421875,6
131.943,12720.908203125,6
132.922,13347.353515625,6
143.034,257334.625,6
143.07,404187.40625,6
145.049,194933.828125,6
145.086,53823.28125,6
148.06,238415.890625,6
148.951,511063.46875,6
157.086,131246.828125,6
157.122,170181.171875,6
159.065,412704.90625,6
169.086,38646.8828125,6
171.065,121085.4140625,6
173.081,172889.4375,6
173.117,47664.15625,6
185.081,72453.546875,6
185.117,61419.828125,6
187.06,150349.6875,6
187.133,25288.443359375,6
199.06,91633.6484375,6
199.133,41256.2890625,6
201.076,135280.796875,6
201.112,66636.0859375,6
213.076,82251.359375,6
217.071,82516.5859375,6
217.107,24458.876953125,6
229.071,78337.4140625,6
239.128,11447.1669921875,6
243.087,56209.90625,6
243.123,24720.318359375,6
100.932,2543.240234375,7
111.007,34652.11328125,7
112.984,194157.34375,7
115.919,141949.703125,7
116.927,290931.53125,7
117.054,210630.78125,7
121.028,132603.09375,7
127.039,301055.9375,7
127.075,57172.87890625,7
129.054,490491.34375,7
130.943,106765.34375,7
131.07,65754.1484375,7
131.943,7927.50048828125,7
132.922,13035.9072265625,7
143.07,390487.78125,7
145.049,192690.640625,7
145.086,44145.0625,7
148.06,232327.484375,7
148.951,508353.65625,7
153.091,5977.28955078125,7
157.086,122413.4765625,7
159.065,423644.46875,7
169.086,29888.708984375,7
171.065,127123.84375,7
171.138,90510.515625,7
173.044,1136821.25,7
173.081,107548.8984375,7
173.117,41796.8515625,7
174.048,83687.84375,7
185.117,66080.328125,7
187.06,184697.90625,7
187.133,21095.1171875,7
194.066,26459.53125,7
197.081,25791.841796875,7
199.06,111979.828125,7
199.133,35671.0625,7
201.076,122093.34375,7
201.112,46192,7
213.076,81593.140625,7
227.128,16527.1171875,7
229.071,83323.7265625,7
239.128,14371.19140625,7
243.087,60645.9453125,7
243.123,14343.9423828125,7
257.139,8303.853515625,7
100.932,2463.12084960938,8
112.984,222270.640625,8
115.919,179753.21875,8
116.927,370305.4375,8
117.054,221258.046875,8
127.075,53209.8984375,8
128.948,4301.7392578125,8
129.054,550028.75,8
130.943,128846.59375,8
131.943,14011.1650390625,8
132.922,12330.951171875,8
138.018,24817.83203125,8
143.07,402786.6875,8
145.086,46491.27734375,8
148.06,224208.109375,8
148.951,486971.96875,8
155.07,40879.0546875,8
157.086,127417.71875,8
159.065,313800.1875,8
171.065,129821.6015625,8
173.044,1195542.375,8
173.081,121679.8125,8
173.117,43160.36328125,8
174.048,81078.515625,8
185.081,61500.9609375,8
185.117,63575.51171875,8
187.06,217527.140625,8
187.133,22936.89453125,8
199.06,105460.296875,8
199.133,43386.89453125,8
201.076,147009.703125,8
201.112,50395.2890625,8
213.076,81390.0390625,8
217.107,29069.681640625,8
229.071,88822.3828125,8
231.087,186169.046875,8
243.087,60967.546875,8
243.123,13368.1943359375,8
100.932,2632.84790039062,9
111.007,39969.8203125,9
112.984,209430.046875,9
115.919,177892.75,9
116.927,270301.40625,9
117.054,208595.59375,9
127.075,53176.046875,9
129.054,459095.4375,9
130.943,124344.109375,9
131.07,66172.2578125,9
131.943,12100.701171875,9
132.922,13365.412109375,9
143.07,363057,9
145.086,41282.03515625,9
148.06,228886.578125,9
148.951,557631.5625,9
155.07,36713.1875,9
157.086,121125.53125,9
159.065,422076.53125,9
171.065,118818.2578125,9
173.044,1144246.375,9
173.081,95393.5390625,9
173.117,43718.52734375,9
185.081,62661.5,9
185.117,61103.03125,9
187.06,162165.65625,9
187.133,21915.486328125,9
197.081,26569.099609375,9
199.06,89401.3046875,9
199.133,40546.3125,9
201.076,120065.0546875,9
201.112,38234.4140625,9
213.076,66068.4375,9
229.071,83093.8515625,9
231.087,138613.25,9
239.128,11927.6708984375,9
243.087,48850.41796875,9
243.123,13946.966796875,9
100.932,2126.02709960938,10
111.007,53946.5859375,10
112.984,213536.046875,10
115.919,183687.71875,10
116.927,376493.6875,10
117.054,186271.265625,10
121.028,164346.921875,10
127.039,337170.21875,10
127.075,51017.015625,10
129.054,483467.5625,10
130.943,142099.34375,10
131.07,66423.0390625,10
131.943,13229.591796875,10
132.922,11861.115234375,10
138.018,25829.783203125,10
143.07,404897.125,10
145.049,147650.109375,10
145.086,46276.97265625,10
148.06,245324.265625,10
148.951,506033.53125,10
157.086,132211.8125,10
157.122,129719.5390625,10
159.065,471707.5625,10
171.065,135971.9375,10
173.044,1151202.875,10
173.081,90550.328125,10
173.117,45781.5546875,10
174.048,92247.4375,10
185.081,64119.07421875,10
185.117,59554.78125,10
187.06,170507.78125,10
187.133,23592.859375,10
199.06,103999.3671875,10
201.076,133355.546875,10
201.112,41080.1953125,10
213.076,74192.7265625,10
243.087,53669.1484375,10
243.123,9859.9931640625,10
100.932,2326.560546875,11
112.984,230925.09375,11
115.919,166709.859375,11
116.927,384958.9375,11
117.054,154910.46875,11
121.028,102734.171875,11
127.039,324167.65625,11
127.075,56321.7734375,11
129.018,60510.94140625,11
129.054,533728.1875,11
130.943,119430.5234375,11
131.943,16591.572265625,11
132.922,11067.984375,11
138.018,24570.529296875,11
143.07,415836.125,11
145.049,124967.0234375,11
145.086,44004.49609375,11
148.06,230003.75,11
148.951,469377.125,11
157.086,118225.109375,11
157.122,113707.578125,11
159.065,436064.03125,11
169.086,34978.95703125,11
171.065,127091.984375,11
171.138,77697.1875,11
173.044,1125979.25,11
173.081,105745.6953125,11
173.117,39482.4375,11
174.048,84406.0078125,11
185.081,63826.05859375,11
185.117,62120.0625,11
187.06,199924.859375,11
187.133,22754.5859375,11
197.081,27028.76953125,11
199.06,92799.2265625,11
199.133,36746.19921875,11
201.076,151571.46875,11
201.112,36601.92578125,11
213.076,88435.3125,11
217.107,25336.890625,11
229.071,84449.5234375,11
231.123,7741.81640625,11
239.128,14403.2470703125,11
243.087,54893.328125,11
243.123,12549.9541015625,11
100.932,2586.24438476562,12
112.984,231756.125,12
115.039,173374.1875,12
115.919,181840.984375,12
116.927,401384.65625,12
117.054,164077.484375,12
127.075,53984.21484375,12
129.054,525265.25,12
130.943,135620.9375,12
131.07,71566.78125,12
131.943,15370.3955078125,12
132.922,11092.8740234375,12
143.07,412989.09375,12
145.049,126472.8203125,12
145.086,45721.359375,12
148.06,233856.578125,12
148.951,522554.8125,12
157.086,113198.34375,12
159.065,282724.59375,12
171.065,125621.8984375,12
171.138,106533.9296875,12
173.081,126758.6328125,12
173.117,43811.19921875,12
185.081,65414.16796875,12
185.117,60768.19921875,12
187.06,255463.453125,12
187.133,22889.40234375,12
197.081,23969.203125,12
199.06,118296.4765625,12
201.076,149910.59375,12
201.112,41884.1015625,12
213.076,87802.453125,12
243.087,59484.0546875,12
243.123,11424.05078125,12
100.932,2192.94360351562,13
111.007,40452.40625,13
112.984,216224.5,13
115.919,170653.75,13
116.927,195483.03125,13
117.054,146975.328125,13
121.028,147196.21875,13
127.039,319790.25,13
127.075,58846.421875,13
129.054,568896.875,13
130.943,132082.578125,13
131.07,69757.9140625,13
131.943,13886.068359375,13
132.922,11824.14453125,13
138.018,23728.916015625,13
143.07,383840.875,13
145.049,130251.03125,13
148.06,236541.09375,13
148.951,537283.5625,13
153.091,12936.28515625,13
157.086,106627.9765625,13
159.065,259911.890625,13
171.065,125055.2421875,13
173.117,47689.8828125,13
185.081,67238.2578125,13
185.117,61697.73828125,13
187.06,159935.21875,13
187.133,20798.072265625,13
197.081,28466.43359375,13
199.06,122318.0234375,13
199.133,35180.5625,13
201.076,140999.28125,13
213.076,87655.5546875,13
229.071,92688.1015625,13
243.087,51345.76953125,13
243.123,13576.61328125,13
257.139,6968.98681640625,13
100.932,3222.70581054688,14
112.984,205905.109375,14
115.919,168980.78125,14
116.927,360048.6875,14
117.054,224765.203125,14
121.028,120435.09375,14
127.075,57415.8046875,14
129.054,529424.25,14
130.943,120509.671875,14
131.07,69540.3203125,14
131.943,13728.3828125,14
132.922,12884.8642578125,14
138.018,25160.9609375,14
143.07,452170.78125,14
145.049,150188.5625,14
145.086,39897.7578125,14
148.06,231359.671875,14
148.951,518458.90625,14
157.086,100426.125,14
157.122,105529.171875,14
159.065,344530.3125,14
169.086,39971.484375,14
171.065,138006.53125,14
173.044,1262711.125,14
173.081,119129.625,14
173.117,43897.2265625,14
185.081,61691.88671875,14
185.117,62688.5234375,14
187.06,242014.5625,14
194.066,30056.2265625,14
199.06,103613.53125,14
199.133,41163.61328125,14
201.076,137736.53125,14
213.076,90732.1015625,14
229.071,88276.6171875,14
243.087,60013.3125,14
243.123,12846.859375,14
257.139,8533.86328125,14
100.932,2550.60278320312,15
112.984,227043.921875,15
115.919,167426.046875,15
116.927,286733.6875,15
117.054,230316.9375,15
121.028,167383.921875,15
127.075,50595.375,15
129.054,542876.375,15
130.943,136478.4375,15
131.07,64199.0703125,15
131.943,12880.845703125,15
132.922,11666.619140625,15
138.018,24774.169921875,15
143.07,343944.6875,15
145.049,192198.9375,15
145.086,42265.98046875,15
148.06,231572.46875,15
148.951,510981.9375,15
157.086,116249.8984375,15
159.065,430890.46875,15
169.086,34976.81640625,15
171.065,106877.9296875,15
171.138,116207.2265625,15
173.081,115532.125,15
173.117,42040.78125,15
184.037,26876.599609375,15
185.081,63983.40625,15
185.117,60280.47265625,15
187.06,276072.71875,15
187.133,21884.083984375,15
194.066,30038.314453125,15
197.081,24266,15
199.06,103671.1875,15
199.133,32302.783203125,15
201.076,146549.59375,15
201.112,39133.0234375,15
213.076,79299.7109375,15
217.071,102591.8515625,15
217.107,28116.888671875,15
239.128,10184.8984375,15
243.087,48855.44921875,15
243.123,10804.9443359375,15
100.932,2245.50830078125,16
112.984,239564.6875,16
115.919,180060.296875,16
116.927,282900.65625,16
117.054,121213.765625,16
121.028,104273.7734375,16
125.059,54549.828125,16
127.075,50931.0390625,16
129.054,549906.875,16
130.943,149688.015625,16
131.943,14717.783203125,16
132.922,10967.091796875,16
138.018,23291.857421875,16
143.07,411919.25,16
145.049,173848.265625,16
145.086,48780.140625,16
148.06,233315.109375,16
148.951,542598.625,16
155.07,42589.47265625,16
157.086,115899.1484375,16
159.065,350211.46875,16
171.065,137953.640625,16
173.044,1280742.25,16
173.081,107364.6796875,16
173.117,41627.11328125,16
174.048,98825.8125,16
185.081,64924.078125,16
185.117,66007.390625,16
187.06,193259.15625,16
187.133,24089.80859375,16
197.081,29515.3515625,16
199.06,118334.8046875,16
199.133,37517.30859375,16
201.076,150723.75,16
201.112,46703.4609375,16
213.076,90826.0234375,16
229.071,86292.515625,16
239.128,12007.5029296875,16
243.087,61385.3125,16
243.123,11625.4296875,16
257.139,11258.9375,16
283.118,3698.94604492188,16
100.932,2574.67993164062,17
112.984,229006.875,17
115.919,190502.125,17
116.927,343136.8125,17
117.054,173503.421875,17
127.039,357875.78125,17
127.075,48109.6796875,17
129.054,461424.0625,17
130.943,152725.75,17
131.07,62257.66796875,17
131.943,14337.537109375,17
132.922,11728.623046875,17
138.018,24270.28125,17
143.07,449382.65625,17
145.049,212893.5625,17
145.086,40985.30859375,17
148.06,233862.453125,17
148.951,478084.25,17
157.086,113375.6953125,17
159.065,346782.875,17
169.086,37578.28125,17
171.065,126090.1015625,17
173.044,1103628.5,17
173.081,87278.171875,17
173.117,38217.80859375,17
174.048,85355.859375,17
185.081,63200.39453125,17
185.117,47397.19921875,17
187.06,175437.375,17
199.06,88178.1640625,17
199.133,39307.06640625,17
201.076,116624.7578125,17
201.112,35692.16015625,17
213.076,71604.9609375,17
229.071,69432.015625,17
229.107,18866.181640625,17
243.087,53560.83984375,17
243.123,11335.2275390625,17
266.151,5354.3037109375,17
112.984,190595.25,18
115.919,163818.546875,18
116.927,307941.59375,18
117.054,147481.96875,18
121.028,127454.296875,18
127.075,48859.0546875,18
129.054,539043.25,18
130.943,119148.7109375,18
131.07,71260.3984375,18
131.943,14202.0107421875,18
132.922,10827.8466796875,18
138.018,26875.728515625,18
143.07,389166.5,18
145.049,133248.734375,18
145.086,46392.77734375,18
148.06,257300.5,18
148.951,528113.5625,18
157.049,538130.5,18
157.086,122138.828125,18
159.065,388814.53125,18
171.065,130243.0625,18
173.081,122728.953125,18
185.081,59934.78125,18
185.117,65002.44140625,18
199.06,123180.9296875,18
201.076,135939.859375,18
201.112,38365.53125,18
213.076,82938.953125,18
243.087,65504.4921875,18
257.139,9313.900390625,18
100.932,2356.0126953125,19
112.984,196926.53125,19
115.075,13856.216796875,19
115.919,166777.65625,19
116.927,370535.25,19
117.054,196364.390625,19
121.028,144887.703125,19
125.059,51626.91796875,19
127.039,331350.21875,19
127.075,52814.8671875,19
129.054,586550.625,19
129.091,21484.771484375,19
130.943,125959.0625,19
131.07,73203.109375,19
131.943,14600.060546875,19
132.922,8584.134765625,19
138.018,25221.6484375,19
143.07,446530.46875,19
145.049,158377.25,19
145.086,49130.58203125,19
148.06,230109.546875,19
148.951,532155.5,19
157.086,135298.078125,19
157.122,159293.0625,19
159.065,531514.1875,19
171.065,120945.4375,19
171.138,127540.875,19
173.044,1198842.5,19
173.081,175636.6875,19
173.117,42565.09375,19
183.065,31284.134765625,19
185.081,67671.0625,19
185.117,69509.9140625,19
187.06,201565.03125,19
187.133,26380.296875,19
194.066,32556.404296875,19
199.06,117881.5,19
199.133,38200.28515625,19
201.076,155283.1875,19
201.112,59174.86328125,19
213.076,87470.625,19
213.112,24912.181640625,19
231.087,189682.265625,19
239.128,14423.6943359375,19
243.087,61538.6640625,19
243.123,17808.908203125,19
100.932,2396.09497070312,20
111.007,42759.23046875,20
112.984,209152.515625,20
115.039,171560.578125,20
115.919,173601.4375,20
116.927,286512.46875,20
117.054,181603.65625,20
121.028,136881.875,20
127.039,319329.875,20
127.075,55532.3984375,20
129.054,474319.5,20
130.943,137608.03125,20
131.07,66650.828125,20
131.943,14437.296875,20
132.922,10797.6845703125,20
138.018,25828.173828125,20
143.07,417985.03125,20
145.049,136877.5,20
145.086,43379.72265625,20
148.06,208824.546875,20
148.951,512130.40625,20
153.091,13869.3798828125,20
157.086,115550.3203125,20
159.065,551126.1875,20
167.07,19423.44921875,20
169.086,33557.7734375,20
171.065,111017.328125,20
173.044,1220855.375,20
173.081,114135.7734375,20
173.117,38659.37890625,20
185.081,62180.953125,20
185.117,65732.8828125,20
187.06,280982.4375,20
187.133,25652.154296875,20
197.081,21756.697265625,20
199.06,106005.4609375,20
199.133,33583.7421875,20
201.076,127728.6953125,20
201.112,51186.25390625,20
213.076,84012,20
243.087,51149.015625,20
243.123,14484.6884765625,20
257.103,25673.947265625,20
257.139,8570.6806640625,20
266.151,4398.91748046875,20
100.932,2250.88012695312,21
112.984,238237.40625,21
115.919,189426.828125,21
116.927,272397.53125,21
121.028,161372.0625,21
127.039,346851.28125,21
127.075,56219.8828125,21
129.054,545872.125,21
130.943,140235.09375,21
131.07,73532.296875,21
131.943,14452.736328125,21
132.922,11924.298828125,21
138.018,22376.349609375,21
143.07,405980.0625,21
145.049,154908.515625,21
145.086,49084.9375,21
148.06,240837.90625,21
148.951,561687.5,21
155.07,41899.75,21
157.086,130551.0703125,21
159.065,317921.90625,21
169.086,34938.203125,21
171.065,139569.8125,21
171.138,87801.890625,21
173.044,1292977.875,21
173.081,124166.0546875,21
173.117,44340.01953125,21
185.081,65642.796875,21
185.117,68828.6796875,21
187.06,200810.515625,21
187.133,25832.9140625,21
194.066,28659.923828125,21
199.06,122083.765625,21
199.133,40283.984375,21
201.076,152223.9375,21
201.112,43384.7265625,21
213.076,88161.8203125,21
229.071,83805.7421875,21
231.123,8584.3720703125,21
243.087,50144.703125,21
243.123,13131.193359375,21
100.932,2224.05151367188,22
111.007,53868.4140625,22
112.984,245206.484375,22
115.919,184279.5,22
116.927,340080.03125,22
117.054,135204.015625,22
121.028,81226.6484375,22
127.039,354411.34375,22
127.075,60299.4140625,22
129.054,571610.3125,22
130.943,126887.0234375,22
131.07,74011.8671875,22
131.943,10668.5439453125,22
132.922,12504.6220703125,22
138.018,26162.41796875,22
143.07,460151.1875,22
145.049,111633.0625,22
145.086,47913.69921875,22
148.06,220898.34375,22
148.951,557924.3125,22
157.086,136272.671875,22
159.065,370052.1875,22
169.086,43949.68359375,22
171.065,137394.171875,22
173.044,1264692.125,22
173.081,113671.625,22
173.117,48310.12109375,22
185.081,70339.78125,22
185.117,61286,22
187.06,232817.234375,22
187.133,24812.59765625,22
199.06,116798.828125,22
201.076,140805.203125,22
201.112,40795.69140625,22
213.076,86406.0078125,22
229.071,80969.8671875,22
231.087,161754.125,22
243.087,56716.89453125,22
243.123,12934.40625,22
257.139,9696.6640625,22
100.932,2736.64038085938,23
112.984,210894.90625,23
115.919,170246.21875,23
116.927,231815.765625,23
117.054,186862.46875,23
121.028,123510.890625,23
127.039,306905.8125,23
127.075,59126.875,23
129.054,563040.0625,23
130.943,140866.609375,23
131.07,79914.671875,23
131.943,13637.7197265625,23
132.922,11338.8046875,23
138.018,21027.048828125,23
143.034,201965.28125,23
143.07,409607.96875,23
145.086,45520.98046875,23
148.06,240462.71875,23
148.951,513285.15625,23
153.091,13619.748046875,23
157.086,126753.03125,23
159.065,328235.3125,23
169.086,36007.44921875,23
171.065,132247.71875,23
173.081,119139.1953125,23
173.117,40377.6953125,23
183.065,36020.5625,23
185.081,65065.296875,23
187.06,171719.9375,23
187.133,20339.66015625,23
194.066,28693.33203125,23
197.081,24225.27734375,23
199.06,114494.265625,23
199.133,39972.37890625,23
201.076,127320.8515625,23
201.112,38008.21875,23
213.076,75370.703125,23
225.076,11054.625,23
229.071,89814.421875,23
243.087,55791.23828125,23
257.139,8748.8193359375,23
266.151,5060.92041015625,23
100.932,2011.14099121094,24
112.984,231018.1875,24
115.039,109942.2734375,24
115.919,165146.203125,24
116.927,310663.5625,24
121.028,129514.5703125,24
127.039,351643.375,24
127.075,63828.80078125,24
129.054,516753.03125,24
130.943,140398.375,24
131.07,76763.75,24
131.943,14536.6962890625,24
132.922,13082.759765625,24
143.07,420599.75,24
145.049,156335.234375,24
145.086,46759.21484375,24
148.06,234122.265625,24
148.951,503917.65625,24
157.086,128847.7890625,24
157.122,118804.7734375,24
159.065,263282.875,24
169.086,41852.546875,24
171.065,137793.296875,24
173.081,112065.96875,24
173.117,36706.51953125,24
174.048,94470.765625,24
185.081,71842.046875,24
185.117,60239.625,24
187.06,282133.5,24
187.133,19340.31640625,24
197.081,29006.12109375,24
199.06,100166.3203125,24
199.133,36591.9921875,24
201.076,124485.3203125,24
201.112,33981.63671875,24
213.076,81001.2421875,24
229.071,83016.2734375,24
243.087,51171.68359375,24
243.123,13727.7978515625,24
259.082,48927.4609375,24
266.151,4437.9453125,24
100.932,3007.30346679688,25
111.007,38324.57421875,25
112.984,232882.59375,25
115.075,15550.86328125,25
115.919,180704.421875,25
116.927,165882.984375,25
117.054,177965.6875,25
121.028,139404.875,25
127.039,357583.34375,25
127.075,61079.59375,25
129.054,528779.0625,25
129.091,11526.49609375,25
130.943,140522.9375,25
131.07,67959.71875,25
131.943,14569.6474609375,25
132.922,13426.951171875,25
138.018,24863.97265625,25
143.07,409247.71875,25
145.049,145647.453125,25
145.086,46693.62109375,25
148.06,255686.390625,25
148.951,492847.8125,25
155.07,37588.859375,25
157.086,122398.5,25
157.122,134521.046875,25
159.065,475763.5,25
167.07,23542.82421875,25
171.065,148035.15625,25
171.138,85779.25,25
173.081,97156.0859375,25
173.117,41317.33984375,25
174.048,85016.4140625,25
183.065,36843.265625,25
185.081,74922.9375,25
185.117,62124.375,25
187.06,182708.1875,25
187.133,23643.234375,25
194.066,34572.9609375,25
199.06,95041.375,25
199.133,39445.3359375,25
201.076,133605.125,25
201.112,45099.2421875,25
213.076,85243.765625,25
229.071,88059.0234375,25
231.123,5794.52978515625,25
243.087,50593.09375,25
243.123,10554.7275390625,25
257.139,11075.9482421875,25
266.151,4360.71142578125,25
100.932,2310.01489257812,26
111.007,44030.421875,26
112.984,206263.328125,26
115.919,170818.921875,26
116.927,275962.1875,26
117.054,210608.625,26
121.028,102516.625,26
127.039,333492.3125,26
