mzref,mzmatch,mzshift
348.9437416,348.9437561,0.041564051
362.9593916,362.9593506,-0.112999039
376.9750416,376.9750061,-0.094161365
382.9047696,382.9046631,-0.278173768
390.9906916,390.9902649,-1.091349311
396.9204196,396.9201355,-0.715765527
410.9360696,410.9360046,-0.158081349
418.8628476,418.8629456,0.233863283
424.9517196,424.9507141,-2.366124492
432.8784976,432.8782654,-0.536453397
446.8941476,446.8941345,-0.029265354
452.8238756,452.822998,-1.937956836
452.9830196,452.9823914,-1.386900945
460.9097976,460.909729,-0.148827589
461.0689416,461.0680847,-1.858470883
466.8395256,466.8395386,0.027791603
466.9986696,466.9983521,-0.679978851
474.9254476,474.9259033,0.95956179
480.8551756,480.8551941,0.038456063
481.0143196,481.0145874,0.556745055
488.9410976,488.9411011,0.007105598
494.8708256,494.8711853,0.726861871
495.0299696,495.0299377,-0.064351375
500.8005536,500.8002014,-0.703242003
502.9567476,502.9566345,-0.224827515
508.8864756,508.8859253,-1.081394491
509.0456196,509.0460205,0.787567552
514.8162036,514.8161621,-0.080593083
516.9723976,516.9718018,-1.15256093
522.9021256,522.9019165,-0.399876159
528.8318536,528.831543,-0.587391338
530.9880476,530.987854,-0.364595954
536.9177756,536.9172974,-0.890707554
542.8475036,542.8476563,0.281202362
545.0036976,545.0038452,0.270851087
550.9334256,550.9334717,0.083639303
556.8631536,556.8630981,-0.099585452
562.7928816,562.7930908,0.371753658
564.9490756,564.9487915,-0.502870269
570.8788036,570.8789063,0.179810495
576.8085316,576.8084717,-0.1038825
578.9647256,578.9642944,-0.744719647
584.8944536,584.8944092,-0.07594586
590.8241816,590.8240967,-0.143731951
592.9803756,592.9801025,-0.460488995
598.9101036,598.9099731,-0.217821453
604.8398316,604.8396606,-0.282645851
612.7666096,612.7653198,-2.104840181
612.9257536,612.9255981,-0.253628548
618.8554816,618.8556519,0.275113454
626.7822596,626.7819824,-0.442223947
626.9414036,626.94104,-0.5798962
632.8711316,632.8711548,0.036634877
640.7979096,640.7979126,0.004678006
646.7276376,646.7279663,0.508264337
646.8867816,646.8869629,0.280250934
654.8135596,654.8134155,-0.220020881
660.7432876,660.7428589,-0.648834864
660.9024316,660.9028931,0.698236811
668.8292096,668.8292847,0.112237874
674.7589376,674.758606,-0.491498445
682.8448596,682.8449707,0.162706248
688.7745876,688.7745972,0.013891292
696.8605096,696.8604736,-0.051613181
702.7902376,702.7901611,-0.108805136
716.8058876,716.8057861,-0.141554623
722.7356156,722.7357788,0.225820605
730.8215376,730.8214722,-0.089532161
736.7512656,736.7512207,-0.060938986
750.7669156,750.7668457,-0.093100633
764.7825656,764.7825928,0.035530932
770.7122936,770.7132568,1.249799628
784.7279436,784.7280273,0.106716921
798.7435936,798.743103,-0.614180396
