mz,,,,,Found
100.9335207,,,,,145.0506575
100.9335316,,,,,171.0121551
100.9335476,,,,,171.1026633
100.9335548,,,,,187.0975686
100.9335583,,,,,189.0768319
100.9335658,,,,,201.1132236
100.9335666,,,,,233.1030862
100.9335908,,,,,255.2331378
100.9336153,,,,,129.0193193
100.9337158,,,,,283.2642891
103.0763575,,,,,317.0878576
104.0351461,,,,,325.184236
107.017002,,,,,339.1999503
107.0424988,,,,,361.1173677
107.0425491,,,,,369.2131668
108.0120656,,,,,381.2317202
108.0120758,,,,,401.0878116
109.0084853,,,,,415.2187751
109.0084862,,,,,459.2450829
109.9680064,,,,,
110.9757066,,,,,
112.9306533,,,,,
112.9306856,,,,,
112.9307372,,,,,
112.9714854,,,,,
113.0354771,,,,,
115.0036216,,,,,
115.0148526,,,,,
115.0764706,,,,,
115.9207004,,,,,
115.9207142,,,,,
115.9207174,,,,,
115.9207203,,,,,
115.9207283,,,,,
115.9207305,,,,,
115.9207412,,,,,
115.9207422,,,,,
115.9207561,,,,,
115.9207608,,,,,
116.0716355,,,,,
116.0798153,,,,,
116.9208486,,,,,
116.920852,,,,,
116.9208557,,,,,
116.9208592,,,,,
116.9208649,,,,,
116.9208704,,,,,
116.9208739,,,,,
116.9208762,,,,,
116.9209029,,,,,
116.9209074,,,,,
117.0556869,,,,,
118.0590209,,,,,
118.9420695,,,,,
119.0501876,,,,,
119.0598942,,,,,
119.0622605,,,,,
119.0713023,,,,,
119.9414605,,,,,
120.0818117,,,,,
120.946244,,,,,
121.0134074,,,,,
121.0294897,,,,,
121.0295168,,,,,
121.0656967,,,,,
121.0657149,,,,,
122.0328443,,,,,
122.0691782,,,,,
122.9755729,,,,,
123.0121539,,,,,
123.0337105,,,,,
123.036175,,,,,
124.9914832,,,,,
125.008012,,,,,
125.0971381,,,,,
125.0971775,,,,,
126.0197939,,,,,
127.0190968,,,,,
127.0191095,,,,,
127.0191671,,,,,
127.0513006,,,,,
127.0571727,,,,,
127.059397,,,,,
127.9377755,,,,,
127.9378212,,,,,
128.035297,,,,,
128.9330232,,,,,
128.9496751,,,,,
128.9497024,,,,,
128.9497187,,,,,
128.949725,,,,,
128.9497253,,,,,
128.9497374,,,,,
128.9497431,,,,,
128.9497448,,,,,
128.9497518,,,,,
128.9497519,,,,,
128.9595599,,,,,
129.0193193,,,,,
129.0920902,,,,,
129.0920949,,,,,
129.1284601,,,,,
130.0954346,,,,,
130.9441333,,,,,
130.9441496,,,,,
130.9441666,,,,,
130.9441681,,,,,
130.9441716,,,,,
130.944172,,,,,
130.944176,,,,,
130.9441787,,,,,
130.9441836,,,,,
130.9441837,,,,,
130.9441899,,,,,
130.9441911,,,,,
130.9442013,,,,,
130.9442039,,,,,
131.0349694,,,,,
131.0906691,,,,,
131.9442974,,,,,
131.9443078,,,,,
131.9443105,,,,,
131.9443152,,,,,
131.9443195,,,,,
131.9443266,,,,,
131.9443272,,,,,
131.9443281,,,,,
131.9443285,,,,,
131.9443335,,,,,
131.9443517,,,,,
131.94438,,,,,
131.9810515,,,,,
131.9832885,,,,,
132.0127903,,,,,
132.0128466,,,,,
132.0302063,,,,,
132.0488437,,,,,
132.8678064,,,,,
132.9234114,,,,,
132.9234295,,,,,
132.9234339,,,,,
132.9234469,,,,,
132.9234566,,,,,
132.923457,,,,,
132.9234574,,,,,
132.9234678,,,,,
132.923469,,,,,
132.9234749,,,,,
133.0059922,,,,,
133.0335417,,,,,
133.0658711,,,,,
133.0869999,,,,,
133.0870261,,,,,
134.0093441,,,,,
134.0326591,,,,,
134.0458012,,,,,
134.0903687,,,,,
134.0903839,,,,,
134.8651115,,,,,
134.9356621,,,,,
134.9357501,,,,,
134.9939292,,,,,
135.0451374,,,,,
135.0451455,,,,,
135.9935046,,,,,
136.011932,,,,,
136.0165964,,,,,
136.0485026,,,,,
136.0485039,,,,,
136.8631649,,,,,
136.9526393,,,,,
136.968753,,,,,
136.9856144,,,,,
136.99137,,,,,
137.0082995,,,,,
137.0095828,,,,,
137.0244189,,,,,
137.0356486,,,,,
137.0356511,,,,,
138.0076911,,,,,
138.0091258,,,,,
138.0196643,,,,,
138.9706618,,,,,
139.0039168,,,,,
139.0070229,,,,,
139.0230148,,,,,
139.1128524,,,,,
139.9989096,,,,,
140.0035417,,,,,
140.0272345,,,,,
140.0716923,,,,,
140.9670257,,,,,
140.9863254,,,,,
141.0669475,,,,,
141.0921173,,,,,
141.0921288,,,,,
141.9826902,,,,,
142.0121818,,,,,
142.0242643,,,,,
142.9788237,,,,,
142.980883,,,,,
142.9809457,,,,,
143.0157161,,,,,
143.107771,,,,,
143.10778,,,,,
144.0428243,,,,,
144.0454919,,,,,
144.0455282,,,,,
144.0666602,,,,,
144.111101,,,,,
144.1111281,,,,,
144.8715004,,,,,
144.871581,,,,,
