mz,,,,max,step 0.002,upper,lower,Match?,Match total,,step 0.001,upper,lower,Match?,Match total,,step 0.0005,upper,lower,Match?,Match total,,step 0.0002,step 0.0001
100.0023422,TRUE,100.0023,2,100.9934769,100,100.0005,99.9995,FALSE,41,,100,100.0005,99.9995,FALSE,93,,100,100.0005,99.9995,FALSE,188,,,
100.0023499,TRUE,100.0023,2,,100.002,100.0025,100.0015,TRUE,,,100.001,100.0015,100.0005,FALSE,,,100.0005,100.001,100,FALSE,,,,
100.0023804,TRUE,100.0024,6,total,100.004,100.0045,100.0035,FALSE,,,100.002,100.0025,100.0015,TRUE,,,100.001,100.0015,100.0005,FALSE,,,,
100.0023956,TRUE,100.0024,6,96,100.006,100.0065,100.0055,FALSE,,,100.003,100.0035,100.0025,TRUE,,,100.0015,100.002,100.001,FALSE,,,,
100.0023956,TRUE,100.0024,6,,100.008,100.0085,100.0075,FALSE,,,100.004,100.0045,100.0035,FALSE,,,100.002,100.0025,100.0015,TRUE,,,,
100.0024033,TRUE,100.0024,6,>1 scan,100.01,100.0105,100.0095,FALSE,,,100.005,100.0055,100.0045,FALSE,,,100.0025,100.003,100.002,TRUE,,,,
100.0024033,TRUE,100.0024,6,42,100.012,100.0125,100.0115,FALSE,,,100.006,100.0065,100.0055,FALSE,,,100.003,100.0035,100.0025,TRUE,,,,
100.0024261,TRUE,100.0024,6,,100.014,100.0145,100.0135,FALSE,,,100.007,100.0075,100.0065,TRUE,,,100.0035,100.004,100.003,FALSE,,,,
100.0024643,TRUE,100.0025,24,">1 scan, unique",100.016,100.0165,100.0155,FALSE,,,100.008,100.0085,100.0075,FALSE,,,100.004,100.0045,100.0035,FALSE,,,,
100.0024643,TRUE,100.0025,24,15,100.018,100.0185,100.0175,FALSE,,,100.009,100.0095,100.0085,FALSE,,,100.0045,100.005,100.004,FALSE,,,,
100.0024719,TRUE,100.0025,24,,100.02,100.0205,100.0195,TRUE,,,100.01,100.0105,100.0095,FALSE,,,100.005,100.0055,100.0045,FALSE,,,,
100.0024719,TRUE,100.0025,24,,100.022,100.0225,100.0215,FALSE,,,100.011,100.0115,100.0105,TRUE,,,100.0055,100.006,100.005,FALSE,,,,
100.0024796,TRUE,100.0025,24,,100.024,100.0245,100.0235,FALSE,,,100.012,100.0125,100.0115,FALSE,,,100.006,100.0065,100.0055,FALSE,,,,
100.0024872,TRUE,100.0025,24,,100.026,100.0265,100.0255,FALSE,,,100.013,100.0135,100.0125,FALSE,,,100.0065,100.007,100.006,FALSE,,,,
100.0024872,TRUE,100.0025,24,,100.028,100.0285,100.0275,FALSE,,,100.014,100.0145,100.0135,FALSE,,,100.007,100.0075,100.0065,TRUE,,,,
100.0024948,TRUE,100.0025,24,,100.03,100.0305,100.0295,FALSE,,,100.015,100.0155,100.0145,TRUE,,,100.0075,100.008,100.007,TRUE,,,,
100.0024948,TRUE,100.0025,24,,100.032,100.0325,100.0315,FALSE,,,100.016,100.0165,100.0155,FALSE,,,100.008,100.0085,100.0075,FALSE,,,,
100.0024948,TRUE,100.0025,24,,100.034,100.0345,100.0335,TRUE,,,100.017,100.0175,100.0165,FALSE,,,100.0085,100.009,100.008,FALSE,,,,
100.0024948,TRUE,100.0025,24,,100.036,100.0365,100.0355,FALSE,,,100.018,100.0185,100.0175,FALSE,,,100.009,100.0095,100.0085,FALSE,,,,
100.0025024,TRUE,100.0025,24,,100.038,100.0385,100.0375,FALSE,,,100.019,100.0195,100.0185,FALSE,,,100.0095,100.01,100.009,FALSE,,,,
100.0025101,TRUE,100.0025,24,,100.04,100.0405,100.0395,FALSE,,,100.02,100.0205,100.0195,TRUE,,,100.01,100.0105,100.0095,FALSE,,,,
100.0025101,TRUE,100.0025,24,,100.042,100.0425,100.0415,TRUE,,,100.021,100.0215,100.0205,FALSE,,,100.0105,100.011,100.01,TRUE,,,,
100.0025101,TRUE,100.0025,24,,100.044,100.0445,100.0435,FALSE,,,100.022,100.0225,100.0215,FALSE,,,100.011,100.0115,100.0105,TRUE,,,,
100.0025253,TRUE,100.0025,24,,100.046,100.0465,100.0455,TRUE,,,100.023,100.0235,100.0225,FALSE,,,100.0115,100.012,100.011,FALSE,,,,
100.0025253,TRUE,100.0025,24,,100.048,100.0485,100.0475,FALSE,,,100.024,100.0245,100.0235,FALSE,,,100.012,100.0125,100.0115,FALSE,,,,
100.002533,TRUE,100.0025,24,,100.05,100.0505,100.0495,FALSE,,,100.025,100.0255,100.0245,FALSE,,,100.0125,100.013,100.012,FALSE,,,,
100.002533,TRUE,100.0025,24,,100.052,100.0525,100.0515,TRUE,,,100.026,100.0265,100.0255,FALSE,,,100.013,100.0135,100.0125,FALSE,,,,
100.0025406,TRUE,100.0025,24,,100.054,100.0545,100.0535,FALSE,,,100.027,100.0275,100.0265,TRUE,,,100.0135,100.014,100.013,FALSE,,,,
100.0025406,TRUE,100.0025,24,,100.056,100.0565,100.0555,FALSE,,,100.028,100.0285,100.0275,FALSE,,,100.014,100.0145,100.0135,FALSE,,,,
100.0025406,TRUE,100.0025,24,,100.058,100.0585,100.0575,FALSE,,,100.029,100.0295,100.0285,FALSE,,,100.0145,100.015,100.014,TRUE,,,,
100.0025482,TRUE,100.0025,24,,100.06,100.0605,100.0595,TRUE,,,100.03,100.0305,100.0295,FALSE,,,100.015,100.0155,100.0145,TRUE,,,,
100.0025482,TRUE,100.0025,24,,100.062,100.0625,100.0615,FALSE,,,100.031,100.0315,100.0305,FALSE,,,100.0155,100.016,100.015,TRUE,,,,
